00012F98 00012FA8 _GetEnvironmentStringsW@0
00012FAD 00012FB3 _GetCommandLineA@0
00012FC9 00013014 _GetStdHandle@4
00013019 000130A9 _ProcessIdToSessionId@8
000130AE 000130C3 _BasepSxsActivationContextNotification@24
000130C8 000130DD _GetSystemDefaultUILanguage@0
000130EF 000130FB _ReleaseActCtx@4
00013100 0001311E _GetUserDefaultUILanguage@0
00013123 00013131 _IsDebuggerPresent@0
00013136 0001316C _BasepSxsCloseHandles@4
000131D0 0001325A _OpenEventW@12
0001329C 000132EF _OpenEventA@12
0001337E 00013384 _WTSGetActiveConsoleSessionId@0
00013389 000133DE _IsLongName_U@8
000133E3 000136F7 _GetLongPathNameW@12
00013767 000137F0 _TlsFree@4
00013841 00013864 _GetFileAttributesExA@12
00013869 00013987 _FindFirstFileA@8
0001398C 00013ADE _GetFullPathNameA@16
00014B77 00014B7D _FreeEnvironmentStringsW@4
00014B82 00014CC7 _GetEnvironmentVariableA@12
00014CCC 00014E8E _BasepLoadLibraryAsDataFile@12
00014E9F 00014EA5 _LdrLoadAlternateResourceModule@8
00014ED4 00014EDA _LdrUnloadAlternateResourceModule@4
00014F7A 00014FE7 _GetSystemDirectoryA@8
00014FEC 0001507E _NlsConvertIntegerToString@20
0001509C 000150D2 _IsShimInfrastructureDisabled@0
000150D7 0001514D _QueryRegValue@20
00015152 000151AB @GetLocHashNode@4
000151B0 00015216 _BaseUpdateAppcompatCache@12
00015229 00015265 _IsWow64Process@8
000152B9 00015326 _BasepSxsCreateFileStream@16
0001532B 00015398 _BasepSxsCreateStreams@60
0001539D 000153C6 _BasepSxsIsStatusFileNotFoundEtc@4
000153D5 000153DB _LdrCreateOutOfProcessImage@16
000153E0 0001548D _BasepSxsCreateResourceStream@20
000154D6 000154DC _LdrFindCreateProcessManifest@20
000154E1 000154E7 _LdrDestroyOutOfProcessImage@4
000154EC 0001599D _CreateActCtxW@4
000159B1 000161AF _BasepCreateActCtx@12
000161BF 00016288 _CsrBasepCreateActCtx@4
00016338 0001633E _LdrAccessOutOfProcessResource@20
0001636B 00016421 _QueryActCtxW@28
00016426 000164B7 _BasepShimCacheCheckIntegrity@4
000164BC 000164FE _BasepBitMapCountBits@8
00016503 00016558 _BasepShimCacheSearch@16
0001655D 000165D0 _BaseInitAppcompatCache@0
000165F2 00016668 _BasepShimCacheLock@8
00016679 0001668D _BasepShimCacheUnlock@0
00016692 000166ED _BasepInitUserTempPath@4
000166F2 000167CE _BasepShimCacheCheckBypass@20
000167F3 00016862 _BasepCheckStringPrefixUnicode@12
00016867 000168F2 _BaseCheckAppcompatCache@16
00016909 00016946 _BasepShimCacheLookup@16
0001694B 0001699D _BasepBitMapSetBit@12
000169A2 000169A8 __allshl
000169AD 00016A0A _BasepIsRemovableMedia@8
00016A0F 00016A75 _BasepShimCacheUpdateLRUIndex@12
00016A7A 00016AD6 _BasepShimCacheQueryFileInformation@12
00016C05 00016EFB _BasepCheckCacheExcludeList@4
00016F00 00016F34 _GetLocaleFileInfo@12
00016F39 0001700E _MakeLocHashNode@16
00017013 00017019 _GetCommandLineW@0
0001701E 0001702F _RegisterWaitForInputIdle@4
00017044 0001706D _BaseProcessStart@4
00017081 00017118 _CsrBasepNlsGetUserInfo@8
00017220 0001729B _BasepSxsFindSuitableManifestResourceFor@12
000172A0 00017314 _NlsIsInteractiveUserProcess@0
0001736E 000173DA _OpenSection@20
000173DF 00017424 _MapSection@16
000174D3 000174E4 _BaseProcessInitPostImport@0
000174E9 000174F7 _InitializeTermsrvFpns@0
000174FC 00017524 _IsTerminalServerCompatible@0
00017529 00017618 _IsTSAppCompatEnabled@0
0001776B 00017793 _BasepLocateExeLdrEntry@12
00017809 0001780F _LdrEnumerateLoadedModules@12
000178B6 000178EB _BaseDllInitializeMemoryManager@0
000178F0 00017914 _InitializeCtrlHandling@0
00017919 00017975 _BaseDllInitializeIniFileMappings@4
000179B3 000179E9 _NlsServerInitialize@0
000179EE 00017A75 _AllocTables@0
00017A7A 00017C88 _GetUnicodeFileInfo@0
00017D45 00017F9C _GetDefaultSortTablesFileInfo@0
00017FD1 00018008 _GetPerUserWindowsDirectory@8
0001800D 0001804C _GetNlsSectionName@24
00018051 000180D0 _InitKoreanWeights@0
000180D5 000180DB _LdrSetDllManifestProber@4
000180E0 000180E6 _RtlSetThreadPoolStartFunc@8
000180EB 00018131 _NlsDllInitialize@12
00018136 00018322 _NlsProcessInitialize@0
00018327 000183A9 _GetLanguageFileInfo@16
000183AE 00018426 _MakeLangHashNode@16
0001842B 00018489 _GetSortTablesFileInfo@8
0001848E 00018567 _GetSortkeyFileInfo@8
0001856C 000185DD @FindExceptionPointers@20
0001898C 00018A7D _MakeCPHashNode@20
00018A8C 00018AAC ___security_init_cookie
00018AB1 00018B52 _GetDefaultSortkeyFileInfo@0
00018CF4 00018D76 _ConnectConsoleInternal@12
0001939F 00019568 _BasepCheckBadapp@28
0001956D 0001959E _BasepIsProcessAllowed@4
000195A3 00019704 _BasepCheckWinSaferRestrictions@24
00019726 0001972C _DbgPrintEx
0001976E 00019797 _BasepSxsIsStatusResourceNotFound@4
0001979C 00019A6D _CreateProcessInternalW@48
0001A28B 0001A2BB _BasepIsImageVersionOk@8
0001A319 0001A31F _LdrQueryImageFileExecutionOptions@24
0001A3E3 0001A947 _BasePushProcessParameters@52
0001A987 0001AAEC _BasepSxsCreateProcessCsrMessage@40
0001AAF1 0001AB2B _BasepSxsGetProcessImageBaseAddress@8
0001AB3B 0001AB7D _GetExitCodeProcess@8
0001AB82 0001ABC9 _BaseCheckForVDM@8
0001ABCE 0001AC33 _VerifyConsoleIoHandle@4
0001AC38 0001ACB5 _GetConsoleMode@8
0001ACF5 0001AD0E _SetTEBLangID@0
0001AD13 0001AD77 _GetConsoleLangId@4
0001AD89 0001AE2A _InitExeName@0
0001AE2F 0001AEAA _SetUpAppName@16
0001AEAF 0001AF0B _GetConsoleOutputCP@0
0001AF10 0001AF73 _SetConsoleMode@8
0001AF78 0001B070 _SetThreadUILanguage@4
0001B075 0001B0CC _SetConsoleInputExeNameW@4
0001B14D 0001B28D _BaseDllReadVariableNames@8
0001B2AB 0001B2E1 _SetConsoleCtrlHandler@8
0001B2E6 0001B380 _SetCtrlHandler@4
0001B75C 0001B785 _GetConsoleTitleW@8
0001B78A 0001B862 _GetConsoleTitleInternal@12
0001B8DA 0001B946 _SetThreadLocale@4
0001B94B 0001B9CA _GetConsoleScreenBufferInfo@8
0001BA1E 0001BAED _OpenRegKey@16
0001BAF2 0001BC6A @NlsStrCatW@8
0001C1AB 0001C3C6 _IsValidLocale@8
0001C514 0001C573 _BaseDllReadWriteIniFileViaMapping@4
0001C578 0001C5B8 _BaseDllFlushRegistryCache@0
0001C5C6 0001C5F6 _BaseDllFindVarNameMapping@8
0001C5FB 0001C7DD _BaseDllOpenMappingTarget@20
0001C7E2 0001C98A _BaseDllReadVariableValue@16
0001CA54 0001CACF __ExitProcess@4
0001CAFA 0001CB0E _ExitProcess@4
0001CB18 0001CB1E _LdrShutdownProcess@0
