000074B7 000074D9 ?Alloc@CBaseAllocator@@MAEJXZ
000074DE 000075AE ?SetProperties@CMemAllocator@@UAGJPAU_AllocatorProperties@@0@Z
000075B3 000075B4 ?Free@CSampAllocator@@UAEXXZ
000075B9 000075F6 ?ReallyFree@CMemAllocator@@IAEXXZ
000075FB 00007624 ??1CMemAllocator@@UAE@XZ
00007629 0000776F _AMovieSetupRegisterFilter@12
00007774 0000779C ??1CBaseFilter@@UAE@XZ
000077A1 00007813 ?Stop@CBaseFilter@@UAGJXZ
00007818 00007885 ?Pause@CBaseFilter@@UAGJXZ
0000788A 0000791D ?Run@CBaseFilter@@UAGJ_J@Z
00007922 000079AE ?FindPin@CBaseFilter@@UAGJPBGPAPAUIPin@@@Z
000079B3 00007A18 ?Register@CBaseFilter@@UAGJXZ
00007A1D 00007A93 ?Unregister@CBaseFilter@@UAGJXZ
00007A98 00007AB9 ??_ECEnumPins@@UAEPAXI@Z
00007ABE 00007B9C ?Next@CEnumPins@@UAGJKPAPAUIPin@@PAK@Z
00007BA1 00007BDD ?Skip@CEnumPins@@UAGJK@Z
00007BE2 00007C03 ??_GCEnumMediaTypes@@UAEPAXI@Z
00007C08 00007CF6 ?Next@CEnumMediaTypes@@UAGJKPAPAU_AMMediaType@@PAK@Z
00007CFB 00007D6A ?Skip@CEnumMediaTypes@@UAGJK@Z
00007D6F 00007DE6 ?Connect@CBasePin@@UAGJPAUIPin@@PBU_AMMediaType@@@Z
00007DEB 00007E2A ?Disconnect@CBasePin@@UAGJXZ
00007E2F 00007E66 ??0CMediaSample@@QAE@PAGPAVCBaseAllocator@@PAJPAEJ@Z
00007E6B 00007F00 ?ReleaseBuffer@CBaseAllocator@@UAGJPAUIMediaSample@@@Z
00007F05 00007F26 ??_ECMemAllocator@@UAEPAXI@Z
00007F2B 00007FAB ??0CEnumPins@@QAE@PAVCBaseFilter@@PAV0@@Z
00007FB0 0000800F ?Clone@CEnumPins@@UAGJPAPAUIEnumPins@@@Z
00008014 00008060 ??0CEnumMediaTypes@@QAE@PAVCBasePin@@PAV0@@Z
00008065 000080C4 ?Clone@CEnumMediaTypes@@UAGJPAPAUIEnumMediaTypes@@@Z
000080C9 00008177 ??0CBasePin@@QAE@PAGPAVCBaseFilter@@PAVCCritSec@@PAJPBGW4_PinDirection@@@Z
0000817C 000081C5 ?EnumMediaTypes@CBasePin@@UAGJPAPAUIEnumMediaTypes@@@Z
000081CA 000081FD ??0CBaseOutputPin@@QAE@PAGPAVCBaseFilter@@PAVCCritSec@@PAJPBG@Z
00008202 0000824B ??0CBaseInputPin@@QAE@PAGPAVCBaseFilter@@PAVCCritSec@@PAJPBG@Z
00008250 000082C8 ??0CBaseAllocator@@QAE@PAGPAUIUnknown@@PAJHH@Z
000082CD 000082FF ??0CMemAllocator@@QAE@PAGPAUIUnknown@@PAJ@Z
00008304 00008422 ?Alloc@CMemAllocator@@MAEJXZ
00008427 00008473 ??0CBaseFilter@@QAE@PBGPAUIUnknown@@PAVCCritSec@@ABU_GUID@@@Z
00008478 000084C1 ?EnumPins@CBaseFilter@@UAGJPAPAUIEnumPins@@@Z
000084C6 000084E0 ??1CNodeCache@CBaseList@@QAE@XZ
000084E5 0000850F ?AddToCache@CNodeCache@CBaseList@@QAEXPAVCNode@2@@Z
00008514 0000852B ?Next@CBaseList@@QBEPAU__POSITION@@PAU2@@Z
00008530 00008551 ??0CBaseList@@QAE@PAGH@Z
00008556 00008572 ??0CBaseList@@QAE@PAG@Z
00008577 0000859C ?RemoveAll@CBaseList@@QAEXXZ
000085A1 000085BB ?GetNextI@CBaseList@@IBEPAXAAPAU__POSITION@@@Z
000085C0 000085D3 ?GetI@CBaseList@@IBEPAXPAU__POSITION@@@Z
000085D8 00008608 ?FindI@CBaseList@@IBEPAU__POSITION@@PAX@Z
0000860D 00008659 ?RemoveI@CBaseList@@IAEPAXPAU__POSITION@@@Z
0000865E 000086AE ?AddTailI@CBaseList@@IAEPAU__POSITION@@PAX@Z
000086B3 00008700 ?AddHeadI@CBaseList@@IAEPAU__POSITION@@PAX@Z
00008705 00008744 ?AddTail@CBaseList@@QAEHPAV1@@Z
00008749 0000875C ??1CBaseList@@QAE@XZ
00008761 00008769 ?RemoveHeadI@CBaseList@@IAEPAXXZ
0000876E 00008786 ?IsValid@CMediaType@@QBEHXZ
0000878B 000087A1 ?SetType@CMediaType@@QAEXPBU_GUID@@@Z
000087A6 000087BD ?SetSubtype@CMediaType@@QAEXPBU_GUID@@@Z
000087C2 000087C7 ?SetVariableSize@CMediaType@@QAEXXZ
000087CC 000087DB ?SetTemporalCompression@CMediaType@@QAEXH@Z
000087E0 000087F7 ?SetFormatType@CMediaType@@QAEXPBU_GUID@@@Z
000087FC 0000884C ?AllocFormatBuffer@CMediaType@@QAEPAEK@Z
00008851 00008868 ?InitMediaType@CMediaType@@QAEXXZ
0000886D 0000889B ?IsPartiallySpecified@CMediaType@@QBEHXZ
000088A0 00008936 ?MatchesPartial@CMediaType@@QBEHPBV1@@Z
0000893B 000089A0 ?CopyMediaType@@YGJPAU_AMMediaType@@PBU1@@Z
000089A5 000089DB ?FreeMediaType@@YGXAAU_AMMediaType@@@Z
000089E0 000089E9 ??1CMediaType@@QAE@XZ
000089EE 000089FC ??0CMediaType@@QAE@XZ
00008A01 00008A26 ??0CMediaType@@QAE@ABU_AMMediaType@@PAJ@Z
00008A2B 00008A89 ??8CMediaType@@QBEHABV0@@Z
00008A8E 00008AA4 ??9CMediaType@@QBEHABV0@@Z
00008AA9 00008AD7 ?Set@CMediaType@@QAEJABU_AMMediaType@@@Z
00008ADC 00008AE9 ?GetSampleSize@CMediaType@@QBEKXZ
