00013C82 00013CCA _MTX_mem_FreeAllMemory@4
00013CCF 00013CFF _MTX_mem_CloseMemory@4
00013D04 00013D3B _MTX_mem_Create@12
00013D40 00013D51 _MTX_mem_Destroy@4
00013D56 00013D88 _MTX_mem_GetSize@8
00013D8D 00013DFE _MTX_mem_realloc@12
00013E03 00013E2A _memcpyHuge@12
00013E2F 00013E4E _IntToUInt@8
00013E53 00013E76 _UIntToInt@8
00013E7B 00013EA1 _ULongAdd@12
000157A8 000158CE _is_TTF_Test@8
000158D3 0001597E _MTX_TTC_TTF_To_CTF@36
00015983 00015A99 _MTX_TTC_CTF_To_TTF@32
00015A9F 00015AE4 _MTX_TTC_Create@8
00015AE9 00015AFE _MTX_TTC__Destroy@4
000164D3 00016517 _MTX_LZCOMP_Create2@8
0001651C 00016569 _MTX_LZCOMP_Destroy@4
0001656E 00016651 _MTX_RUNLENGTHCOMP_PackData@16
00016656 0001684D _MTX_RUNLENGTHCOMP_SaveBytes@20
00016852 0001686F _MTX_RUNLENGTHCOMP_Create@4
00016874 00016889 _MTX_RUNLENGTHCOMP_Destroy@4
00016D18 00016EB2 _MTX_LZCOMP_PackMemory@16
00016EB7 00016FC0 _MTX_LZCOMP_UnPackMemory@20
00017020 00017049 _ReadByteAtPointer@12
00017942 00017EAD _MTX_Glyph_WriteTTFSpline@16
00017EB3 0001810C _InitCoordEncoding@0
00018111 00018195 _WriteCVTShort@8
0001819A 00018242 _ReadCVTShort@12
00018D7D 00019494 _MTX_Glyph_WriteCTFSpline@16
0001949A 00019563 _MTX_Glyph_Create@40
00019568 000195E2 _MTX_Glyph_Destroy@4
000195E7 00019757 _MTX_AHUFF_BitsUsed@4
000198E8 00019ADD _MTX_AHUFF_Create@12
00019AE2 00019B0E _MTX_AHUFF_Destroy@4
00019B13 00019B44 _MTX_AHUFF_WriteSymbolCost@8
00019B49 00019BC9 _MTX_AHUFF_WriteSymbol@8
00019BCE 00019C2C _MTX_AHUFF_ReadSymbol@4
00019C31 00019C8C _MTX_BITIO_input_bit@4
00019C91 00019D46 _MTX_BITIO_output_bit@8
00019D4C 00019DED _MTX_BITIO_flush_bits@4
00019DF3 00019E01 _MTX_BITIO_GetMemoryPointer@4
00019E06 00019E15 _MTX_BITIO_GetBytesOut@4
00019E1A 00019E5F _MTX_BITIO_Create@16
00019E64 00019E87 _MTX_BITIO_Destroy@4
00019E8C 00019EB2 _MTX_BITIO_WriteValue@12
00019EB7 00019EE6 _MTX_BITIO_ReadValue@8
00019EEC 00019EF2 _memmove
00019EF8 00019EFE __setjmp3
00019F04 00019F0A _longjmp
