00005355 00005444 _gethostbyname@4
00005449 0000555A _gethostname@8
00005578 00005625 ?getxyDataEnt@@YGPAUtagBLOB@@PAPADKPADPAU_GUID@@0@Z
0000562A 000056B5 _WSALookupServiceBeginA@12
000056BA 000057CC ?MapAnsiQuerySetToUnicode@@YGHPAU_WSAQuerySetA@@PAKPAU_WSAQuerySetW@@@Z
000057D1 00005831 ?WSABuildQuerySetBufferA@@YGHPAU_WSAQuerySetA@@K0@Z
00005956 00005974 ?WSNoteSuccessfulHostentLookup@@YGXPBDK@Z
00005983 000059DB ?CopyHostEnt@DTHREAD@@QAEPADPAUtagBLOB@@@Z
00005A28 00005A88 ?wcs_dup_from_ansi@@YGPAGPAD@Z
00005A8D 00005B2A _WSALookupServiceNextA@16
00005B2F 00005C06 ?MapUnicodeQuerySetToAnsi@@YGHPAU_WSAQuerySetW@@PAKPAU_WSAQuerySetA@@@Z
00005C0B 00005C6F ?ansi_dup_from_wcs@@YGPADPAG@Z
00005C74 00005CA0 ?UnpackHostEnt@@YGXPAUhostent@@@Z
00005CA5 00005CCA ?FixList@@YGXPAPAPADPAD@Z
00005CEC 00005D39 ?CopyBlobIndirect@@YGXPAVSPACE_MGR@@PAUtagBLOB@@1@Z
00005D5B 00005D7D ?CopyBlobDirect@@YGPAUtagBLOB@@PAVSPACE_MGR@@PAU1@@Z
00005D82 00005D99 ?IsIp6Running@@YGHXZ
00005DF0 00005F3C ?LookupAddressForName@@YGHPBGHHHGHPAPAPAUaddrinfoW@@@Z
00005F41 00005FBB ?QueryDns@@YGHPBGIPAPAUsockaddr_in@@PAIPAPAUsockaddr_in6@@2PAPAGG@Z
00005FC0 00006183 ?QueryDnsForFamily@@YGHPBGKPAPAUsockaddr@@PAIPAPAGG@Z
00006188 000061B3 ?UnmapV4Address@@YGXPAUsockaddr_in@@PAUsockaddr_in6@@@Z
000061B8 0000621B ?CreateStringCopy_UnicodeToAnsi@@YGPADPBG@Z
00006220 00006260 ?AppendAddrInfo@@YGHPAUsockaddr@@HHPAPAPAUaddrinfo@@@Z
00006265 0000629E ?IN6_IS_ADDR_V4MAPPED@@YGHPBUin6_addr@@@Z
000063E0 00006492 ?SortIPAddrs@@YGHPAUsockaddr_in@@IPAUsockaddr_in6@@IPAPAU_SOCKET_ADDRESS_LIST@@PAI@Z
00006497 000064D4 ?MapV4Address@@YGXPAUsockaddr_in6@@PAUsockaddr_in@@@Z
000064D9 0000653F _WSAEventSelect@12
0000655D 0000656B _WSACreateEvent@0
0000657D 000065E3 _WSAEnumNetworkEvents@12
000065E8 0000661C _WSACloseEvent@4
00006632 00006685 ?FindIFSSocket@DSOCKET@@CGPAV1@I@Z
0000668A 0000676A ?FindIFSProviderForSocket@DCATALOG@@QAEHI@Z
0000676F 00006803 _recv@16
000068FA 00006974 _WSASend@28
00006979 00006A36 _WSAAddressToStringW@20
00006A55 00006B66 _WSAStartup@8
00006B91 00006BBD ?SetVersion@DPROCESS@@QAEXG@Z
0000735C 000073A1 ?CheckForHookersOrChainers@@YGHXZ
00007406 00007497 ?ReadRegistryEntry@@YGHPAUHKEY__@@PADPAXKK@Z
000074B6 00007543 ?OpenWinSockRegistryRoot@@YGPAUHKEY__@@XZ
000075A4 00007706 ?RefreshFromRegistry@DCATALOG@@QAEHPAX@Z
0000770B 000077AD ?SynchronizeSharedCatalogAccess@@YGHPAUHKEY__@@PAXPAK@Z
000077BD 000077D3 ?Dereference@DPROVIDER@@QAEXXZ
000077D8 000077E5 ??0DPROVIDER@@QAE@XZ
000077EA 00007A89 ?Initialize@DPROVIDER@@QAEHPADPAU_WSAPROTOCOL_INFOW@@@Z
00007B61 00007C49 _WSCEnumProtocols@16
00007C7B 00007C90 ??0PROTO_CATALOG_ITEM@@QAE@XZ
00007CA8 00007D22 ?InitializeFromRegistry@PROTO_CATALOG_ITEM@@QAEHPAUHKEY__@@H@Z
00007D27 00007DFE ?IoRegistry@PROTO_CATALOG_ITEM@@AAEHPAUHKEY__@@H@Z
00007E8B 00007ED4 ?DProcessClassInitialize@DPROCESS@@SGHXZ
00007ED9 00007FE1 ?Initialize@DPROCESS@@QAEHXZ
00007FF9 00008023 ?InitializeFromRegistry@DCATALOG@@QAEHPAUHKEY__@@PAX@Z
0000803F 00008056 ??0DCATALOG@@QAE@XZ
0000805B 00008080 ??0DPROCESS@@QAE@XZ
00008085 0000811C ?OpenCatalog@DCATALOG@@AAEHPAUHKEY__@@@Z
000081A9 00008214 ?UpdateProtocolList@DCATALOG_ITEMS@@AAEXPAU_LIST_ENTRY@@@Z
00008219 00008232 ?DSocketClassInitialize@DSOCKET@@SGHXZ
00008237 00008259 ?DThreadClassInitialize@DTHREAD@@SGHXZ
0000825E 00008271 ??0NSCATALOG@@QAE@XZ
00008276 0000829A ??0NSCATALOGENTRY@@QAE@XZ
0000829F 000082C9 ?InitializeFromRegistry@NSCATALOG@@QAEHPAUHKEY__@@PAX@Z
000082CE 0000842F ?RefreshFromRegistry@NSCATALOG@@QAEHPAX@Z
00008434 000084A8 ?UpdateNamespaceList@NSCATALOG@@AAEXPAU_LIST_ENTRY@@@Z
000084AD 00008527 ?InitializeFromRegistry@NSCATALOGENTRY@@QAEHPAUHKEY__@@H@Z
0000852C 00008771 ?IoRegistry@NSCATALOGENTRY@@AAEHPAUHKEY__@@H@Z
00008787 0000881E ?OpenCatalog@NSCATALOG@@AAEHPAUHKEY__@@@Z
00008845 00008887 ?OpenAsyncHelperDevice@DPROCESS@@AAEHPAPAX@Z
0000888C 00008931 _WSAEnumProtocolsW@12
00008B6A 00008BB7 _WSASocketA@24
00008BBC 00008BD9 ?GetNotificationHelperDeviceID@DPROCESS@@QAEHPAPAX@Z
00008BD9 00008C1B ?OpenNotificationHelperDevice@DPROCESS@@AAEHPAPAX@Z
00008C20 00008CB8 _WSAProviderConfigChange@12
00008CD3 00008D39 _listen@8
00008E27 00008E2F _WSCGetProviderPath@16
00008E34 00008F07 _WPUGetProviderPath@16
