00016F8F 00016FE1 ?TranslateFilePointerToVirtualAddress@@YGHKPAK@Z
00016FE6 00017142 _lmi@24
00017147 000172A0 _omap@24
000172A5 0001737D _srcfiles@24
00017382 0001761F ?DumpDebugDirectory@@YGXPAU_IMAGE_DEBUG_DIRECTORY@@@Z
00017660 00017771 ?DumpDebugDirectories@@YGXPAU_IMAGE_SECTION_HEADER@@@Z
00017776 00017850 ?DumpSections@@YGXXZ
00017855 00017A60 ?DumpImage@@YGX_KHH@Z
00017A83 00017C11 ?ImageExtension@@YGXPAD@Z
00017C16 00017C27 _dh@24
00017C2C 00017C43 ?tlsInit@@YGXPAUTLS@@@Z
00017C48 00017C8B ?GetTlsPtr@@YGPAUTLS@@XZ
00017C90 00017CCB ?FillTemporary@FunctionEntryCache@@IAEPAUFeCacheEntry@@PAX0@Z
00017CD0 00017CF7 ??0FunctionEntryCache@@QAE@KKK@Z
00017CFC 00017D10 ??1FunctionEntryCache@@QAE@XZ
00017D15 00017D59 ?Initialize@FunctionEntryCache@@QAEHKK@Z
00017D5E 00017E44 ?ReadImage@FunctionEntryCache@@QAEPAUFeCacheEntry@@PAX_KP6GH010KPAK@ZP6G_K01@Z@Z
00017E49 00017EA5 ?InvalidateProcessOrModule@FunctionEntryCache@@QAEXPAX_K@Z
00017EAA 00017F31 ?Promote@FunctionEntryCache@@IAEPAUFeCacheEntry@@PAU2@@Z
00017F36 00017FF0 ?FunctionTableBase@FunctionEntryCache@@IAE_KPAXP6GH0_K0KPAK@Z12@Z
00017FF5 00018001 ?SearchForPrimaryEntry@FunctionEntryCache@@MAEPAUFeCacheEntry@@PAU2@PAXP6GH1_K1KPAK@ZP6G_K12@ZP6GPAX12@Z@Z
00018006 00018026 ?TranslateRawData@Ia64FunctionEntryCache@@MAEXPAUFeCacheEntry@@@Z
0001802B 00018042 ?TranslateRawData@Amd64FunctionEntryCache@@MAEXPAUFeCacheEntry@@@Z
00018047 00018066 ?TranslateRvaDataToRawData@Amd64FunctionEntryCache@@MAEXPAUIMGHLP_RVA_FUNCTION_DATA@@_KPATFeCacheData@@@Z
0001806B 000180B9 ?TranslateRvaDataToRawData@AlphaFunctionEntryCache@@MAEXPAUIMGHLP_RVA_FUNCTION_DATA@@_KPATFeCacheData@@@Z
000180BE 000180FF _ConvertAlphaRf32To64@8
00018104 0001813F ?TranslateRawData@Axp32FunctionEntryCache@@MAEXPAUFeCacheEntry@@@Z
00018144 00018162 ?TranslateRawData@Axp64FunctionEntryCache@@MAEXPAUFeCacheEntry@@@Z
00018167 00018180 ??0Ia64FunctionEntryCache@@QAE@XZ
00018185 0001819E ??0Amd64FunctionEntryCache@@QAE@XZ
000181A3 000181BC ??0Axp64FunctionEntryCache@@QAE@XZ
000181C1 000182E0 ?FindStatic@FunctionEntryCache@@IAEPAUFeCacheEntry@@PAX_KP6GH010KPAK@ZP6G_K01@ZP6GPAX01@ZPA_K@Z
000182E5 00018306 ??_GAxp64FunctionEntryCache@@QAEPAXI@Z
0001830B 00018324 ??0Axp32FunctionEntryCache@@QAE@XZ
00018329 00018437 ?FindDirect@FunctionEntryCache@@QAEPAUFeCacheEntry@@PAX_KP6GH010KPAK@ZP6G_K01@ZP6GPAX01@Z@Z
0001843C 000185AF ?GetFeCache@@YGPAVFunctionEntryCache@@KH@Z
000185B4 000185F0 ?Find@FunctionEntryCache@@QAEPAUFeCacheEntry@@PAX_KP6GH010KPAK@ZP6G_K01@ZP6GPAX01@Z@Z
000185F5 000186A1 ?SearchForPrimaryEntry@AlphaFunctionEntryCache@@MAEPAUFeCacheEntry@@PAU2@PAXP6GH1_K1KPAK@ZP6G_K12@ZP6GPAX12@Z@Z
000186A6 00018749 ?ClearFeCaches@@YGXXZ
0001874E 000187DA ?LookupRegID@@YGHKKPAK@Z
000187DF 00018838 _RtlpImageNtHeader@4
0001883D 00018848 _ImageNtHeader@4
0001884D 000188EC ?ImageDirectoryEntryToDataRom@@YGPAXPAXEGPAKPAPAU_IMAGE_SECTION_HEADER@@PAU_IMAGE_FILE_HEADER@@PAU_IMAGE_ROM_OPTIONAL_HEADER@@@Z
