00004AA0 00004AD3 glPixelMapusv
00004AD4 00004B07 glReadBuffer
00004B08 00004B3B glGetBooleanv
00004B3C 00004B6F glGetClipPlane
00004B70 00004BA3 glGetDoublev
00004BA4 00004BD7 glGetError
00004BD8 00004C0B glGetFloatv
00004C0C 00004C3F glGetIntegerv
00004C40 00004C73 glGetLightfv
00004C74 00004CA7 glGetLightiv
00004CA8 00004CDB glGetMapdv
00004CDC 00004D0F glGetMapfv
00004D10 00004D43 glGetMapiv
00004D44 00004D77 glGetMaterialfv
00004D78 00004DAB glGetMaterialiv
00004DAC 00004DDF glGetPixelMapfv
00004DE0 00004E13 glGetPixelMapuiv
00004E14 00004E47 glGetPixelMapusv
00004E48 00004E7B glGetPolygonStipple
00004E7C 00004EAF glGetString
00004EB0 00004EE3 glGetTexEnvfv
00004EE4 00004F17 glGetTexEnviv
00004F18 00004F4B glGetTexGendv
00004F4C 00004F7F glGetTexGenfv
00004F80 00004FB3 glGetTexGeniv
00004FB4 00004FE7 glGetTexImage
00004FE8 0000501B glGetTexParameterfv
0000501C 0000504F glGetTexParameteriv
00005050 00005083 glGetTexLevelParameterfv
00005084 000050B7 glGetTexLevelParameteriv
000050B8 000050EB glIsEnabled
000050EC 0000511F glIsList
00005120 00005153 glDepthRange
00005154 00005187 glFrustum
00005188 000051BB glOrtho
000051BC 000051EF glViewport
000051F0 00005223 glAreTexturesResident
00005224 00005257 glCopyTexImage1D
00005258 0000528B glCopyTexImage2D
0000528C 000052BF glCopyTexSubImage1D
000052C0 000052F3 glCopyTexSubImage2D
000052F4 00005327 glDeleteTextures
00005328 0000535B glGenTextures
0000535C 0000538F glIsTexture
00005390 000053C3 glPrioritizeTextures
000053C4 000053F7 glTexSubImage1D
000053F8 0000542B glTexSubImage2D
0000A322 0000A37D DllEntryPoint
0000D511 0000D56C fn
0000E70C 0000E73D wglUseFontOutlinesA
0000E742 0000E773 wglUseFontOutlinesW
0001917D 0001920C wglDescribeLayerPlane
00019211 00019281 wglSetLayerPaletteEntries
00019286 000192E7 wglGetLayerPaletteEntries
000192EC 00019350 wglRealizeLayerPalette
00019355 00019422 wglSwapLayerBuffers
00019BD5 00019C66 wglMakeCurrent
0001A5DB 0001A6D5 GlmfInitPlayback
0001A6DA 0001A70C GlmfBeginGlsBlock
0001A711 0001A802 GlmfPlayGlsRecord
0001A807 0001A82B GlmfEndGlsBlock
0001A830 0001A863 GlmfEndPlayback
0001A868 0001A8D2 GlmfCloseMetaFile
0001A95D 0001ACCA wglSwapMultipleBuffers
0001B994 0001BAC9 wglCreateLayerContext
0001BACE 0001BAE1 wglCreateContext
0001BB1C 0001BBA8 wglDeleteContext
0001BBAD 0001BBC4 wglGetCurrentContext
0001BBC9 0001BBDA wglGetCurrentDC
0001C051 0001C20A wglShareLists
0001C25D 0001C343 wglCopyContext
0001C348 0001C364 wglUseFontBitmapsA
0001C369 0001C385 wglUseFontBitmapsW
0001C38A 0001C39D wglGetDefaultProcAddress
0001C3A2 0001C3FA wglGetProcAddress
00025008 0002500D glDebugEntry
00025C5C 00025D27 StartAddress
00025DF1 00025E38 wglGetPixelFormat
00026581 00026663 wglDescribePixelFormat
000266A4 00026752 wglSwapBuffers
00026BC0 00026D65 wglSetPixelFormat
00026D6A 00026FE0 wglChoosePixelFormat
0007D88A 0007D88D nullsub_1
00087FE0 00087FE1 nullsub_2
0008C660 0008C663 nullsub_5
000913A5 000913A8 nullsub_4
0009C0F5 0009C0F8 nullsub_3
0009DD04 0009DD3F __SEH_prolog
0009DD3F 0009DD50 __SEH_epilog
0009DD56 0009DD5C _except_handler3
0009DD62 0009DD68 _ftol
0009DD6E 0009DD74 _CIpow
0009DD7A 0009DD80 DbgPrint
0009DD86 0009DD8C SelectObject
0009DD92 0009DD98 CreateFontIndirectW
0009DD9E 0009DDA4 GetObjectW
0009DDAA 0009DDB0 GetCurrentObject
0009DDB6 0009DDBC GetOutlineTextMetricsW
0009DDC2 0009DDC8 DeleteObject
0009DDCE 0009DDD4 GetGlyphOutlineA
0009DDDA 0009DDE0 GetGlyphOutlineW
0009DDE6 0009DDEC DescribePixelFormat
0009DDF2 0009DDF8 GetPixelFormat
0009DDFE 0009DE04 SwapBuffers
0009DE0A 0009DE10 GetClipRgn
0009DE16 0009DE1C CreateRectRgn
0009DE22 0009DE28 GetWorldTransform
0009DE2E 0009DE34 GetWindowOrgEx
0009DE3A 0009DE40 GetViewportOrgEx
0009DE46 0009DE4C GetViewportExtEx
0009DE52 0009DE58 GetWindowExtEx
0009DE5E 0009DE64 GetMapMode
0009DE6A 0009DE70 ModifyWorldTransform
0009DE76 0009DE7C GetObjectType
0009DE82 0009DE88 ExtEscape
0009DE8E 0009DE94 CreateCompatibleBitmap
0009DE9A 0009DEA0 GetDeviceCaps
0009DEA6 0009DEAC GetDIBits
0009DEB2 0009DEB8 ExtTextOutA
0009DEBE 0009DEC4 ExtTextOutW
0009DECA 0009DED0 SetTextColor
0009DED6 0009DEDC SetBkMode
0009DEE2 0009DEE8 SetBkColor
0009DEEE 0009DEF4 SetTextAlign
0009DEFA 0009DF00 SetMapMode
0009DF06 0009DF0C DeleteDC
0009DF12 0009DF18 CreateBitmap
0009DF1E 0009DF24 CreateCompatibleDC
0009DF2A 0009DF30 GetCharWidthA
0009DF36 0009DF3C GetCharWidthW
0009DF42 0009DF48 GetCharABCWidthsA
0009DF4E 0009DF54 GetCharABCWidthsW
0009DF5A 0009DF60 GetTextMetricsA
0009DF66 0009DF6C GdiDescribePixelFormat
0009DF72 0009DF78 GdiSetPixelFormat
0009DF7E 0009DF84 GdiSwapBuffers
0009DF8A 0009DF90 SelectPalette
0009DF96 0009DF9C GetStockObject
0009DFA2 0009DFA8 GetPaletteEntries
0009DFAE 0009DFB4 GetDIBColorTable
0009DFBA 0009DFC0 SetDIBColorTable
0009DFC6 0009DFCC CreateDIBSection
0009DFD2 0009DFD8 GdiFlush
0009DFDE 0009DFE4 BitBlt
0009DFEA 0009DFF0 RealizePalette
0009DFF6 0009DFFC GetSystemPaletteEntries
0009E002 0009E008 GetNearestPaletteIndex
0009E00E 0009E014 CreatePalette
0009E01A 0009E020 GetBitmapBits
0009E026 0009E02C SetPixel
0009E032 0009E038 GetPixel
0009E03E 0009E044 SetBitmapBits
0009E04A 0009E050 CreateSolidBrush
0009E056 0009E05C PolyPolyline
