0000D52C 0000D5A7 ?APIHook_SetPropA@NS_AllowDesktopSetProp@@YGHPAUHWND__@@PBDPAX@Z
0000D5AC 0000D5D5 ?APIHook_GetPropW@NS_AllowDesktopSetProp@@YGPAXPAUHWND__@@PBG@Z
0000D5DA 0000D64F ?APIHook_GetPropA@NS_AllowDesktopSetProp@@YGPAXPAUHWND__@@PBD@Z
0000D654 0000D6F6 ?RemovePropInternal@NS_AllowDesktopSetProp@@YGPAXPBG@Z
0000D6FB 0000D723 ?APIHook_RemovePropW@NS_AllowDesktopSetProp@@YGPAXPAUHWND__@@PBG@Z
0000D728 0000D79A ?APIHook_RemovePropA@NS_AllowDesktopSetProp@@YGPAXPAUHWND__@@PBD@Z
0000D79F 0000D8F0 ?InitializeHooksMulti@NS_AllowDesktopSetProp@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000D8F5 0000D93B ?APIHook_acmStreamConvert@NS_CorrectACMArgs@@YGIPAUHACMSTREAM__@@PAUtACMSTREAMHEADER@@K@Z
0000D940 0000D989 ?APIHook_acmStreamPrepareHeader@NS_CorrectACMArgs@@YGIPAUHACMSTREAM__@@PAUtACMSTREAMHEADER@@K@Z
0000D98E 0000DA2F ?InitializeHooksMulti@NS_CorrectACMArgs@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000DA34 0000DA7B ?APIHook_acmStreamOpen@NS_CorrectACMStreamOpen@@YGIPAPAUHACMSTREAM__@@PAUHACMDRIVER__@@PAUtWAVEFORMATEX@@2PAUwavefilter_tag@@KKK@Z
0000DA80 0000DAF8 ?InitializeHooksMulti@NS_CorrectACMStreamOpen@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000DAFD 0000DC1E ?APIHook_WinExec@NS_CorrectActiveMoviePath@@YGIPBDI@Z
0000DC29 0000DCA1 ?InitializeHooksMulti@NS_CorrectActiveMoviePath@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000DCA6 0000DCEE ?APIHook_CreateIcon@NS_CorrectCreateIcon@@YGPAUHICON__@@PAUHINSTANCE__@@HHEEPBE1@Z
0000DCF3 0000DD6B ?InitializeHooksMulti@NS_CorrectCreateIcon@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000DD70 0000DDA4 ?APIHook_DDRAW_DllGetClassObject@NS_CorrectCreateSurface@@YGJABU_GUID@@0PAPAX@Z
0000DDA9 0000DDDD ?APIHook_DSOUND_DllGetClassObject@NS_CorrectCreateSurface@@YGJABU_GUID@@0PAPAX@Z
0000DDE2 0000DE16 ?APIHook_DPLAYX_DllGetClassObject@NS_CorrectCreateSurface@@YGJABU_GUID@@0PAPAX@Z
0000DE1B 0000DE4F ?APIHook_DINPUT_DllGetClassObject@NS_CorrectCreateSurface@@YGJABU_GUID@@0PAPAX@Z
0000DE54 0000DE8B ?APIHook_DirectDrawCreate@NS_CorrectCreateSurface@@YGJPAU_GUID@@PAPAXPAUIUnknown@@@Z
0000DE90 0000DECB ?APIHook_DirectDrawCreateEx@NS_CorrectCreateSurface@@YGJPAU_GUID@@PAPAXABU2@PAUIUnknown@@@Z
0000DED0 0000DF0A ?APIHook_DirectSoundCreate@NS_CorrectCreateSurface@@YGJPBU_GUID@@PAPAUIDirectSound@@PAUIUnknown@@@Z
0000DF0F 0000DF49 ?APIHook_DirectPlayCreate@NS_CorrectCreateSurface@@YGJPAU_GUID@@PAPAUIDirectPlay@@PAUIUnknown@@@Z
0000DF4E 0000DF8B ?APIHook_DirectInputCreateA@NS_CorrectCreateSurface@@YGJPAUHINSTANCE__@@KPAPAUIDirectInputA@@PAUIUnknown@@@Z
0000DF90 0000DFCD ?APIHook_DirectInputCreateW@NS_CorrectCreateSurface@@YGJPAUHINSTANCE__@@KPAPAUIDirectInputW@@PAUIUnknown@@@Z
0000DFD2 0000E010 ?APIHook_DirectInputCreateEx@NS_CorrectCreateSurface@@YGJPAUHINSTANCE__@@KABU_GUID@@PAPAXPAUIUnknown@@@Z
0000E015 0000E04B ?FixCaps@NS_CorrectCreateSurface@@YGXPAU_DDSURFACEDESC@@@Z
0000E050 0000E0C1 ?COMHook_IDirectDraw_CreateSurface@NS_CorrectCreateSurface@@YGJPAXPAU_DDSURFACEDESC@@PAPAUIDirectDrawSurface@@PAUIUnknown@@@Z
