0000C2A0 0000C2B5 ?Release@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@UAGKXZ
0000C2BA 0000C2C4 ?AddRef@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@W3AGKXZ
0000C2C9 0000C2D3 ?Release@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@W3AGKXZ
0000C2D8 0000C2E2 ?AddRef@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@W7AGKXZ
0000C2E7 0000C2F1 ?Release@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@W7AGKXZ
0000C2F6 0000C300 ?AddRef@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@WM@AGKXZ
0000C305 0000C30F ?Release@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@WM@AGKXZ
0000C314 0000C31E ?AddRef@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@WBA@AGKXZ
0000C323 0000C32D ?Release@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@WBA@AGKXZ
0000C332 0000C368 ?QueryInterface@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000C36D 0000C377 ?QueryInterface@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@W3AGJABU_GUID@@PAPAX@Z
0000C37C 0000C386 ?QueryInterface@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@W7AGJABU_GUID@@PAPAX@Z
0000C38B 0000C395 ?QueryInterface@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@WM@AGJABU_GUID@@PAPAX@Z
0000C39A 0000C3A4 ?QueryInterface@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@WBA@AGJABU_GUID@@PAPAX@Z
0000C3A9 0000C4CC ?RegisterBuffer@CRegParser@ATL@2@QAEJPAGH@Z
0000C4D1 0000C573 ?AtlModuleRegisterServer@ATL@@YGJPAU_ATL_MODULE_30@1@HPBU_GUID@@@Z
0000C578 0000C601 ?AtlModuleUnregisterServerEx@ATL@@YGJPAU_ATL_MODULE_30@1@HPBU_GUID@@@Z
0000C606 0000C63A ??0CNetSharingManager@@QAE@XZ
0000C63F 0000C660 ??_G?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@QAEPAXI@Z
0000C665 0000C69A ??0?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@QAE@PAX@Z
0000C69F 0000C6CE ?Release@?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@UAGKXZ
