0001A020 0001A058 ?OutControlChars@@YGHHHHPAPAUTOKEN@@@Z
0001A060 0001A27F ?ScriptTokenizeGCP@@YGJPBGPBEHHPBUtag_SCRIPT_CONTROL@@PBUtag_SCRIPT_STATE@@PAUTOKEN@@PAH@Z
0001A284 0001A35F ?Layout@@YGHPAUSCRIPT_LAYOUT@@HH@Z
0001A364 0001A47A ?ScriptAnalyzeCluster@@YGJHHPBUtag_SCRIPT_ANALYSIS@@HPBGPBHPAH33@Z
0001A47F 0001A5BF ?ScriptXtoCluster@@YGJHHPBUtag_SCRIPT_ANALYSIS@@HPBGPBHPAH333@Z
0001A5C4 0001A700 ?ScriptCPtoCluster@@YGJHHPBUtag_SCRIPT_ANALYSIS@@HPBGPBHPAH333@Z
0001A705 0001A95B ?AllocateAnalysis@@YGJKHHHPAPAUtag_STRING_ANALYSIS@@@Z
0001A960 0001A9F2 ?GCPFixMissingGlyphs@@YGXPAUtag_STRING_ANALYSIS@@HHPAU_ABC@@@Z
0001A9F7 0001AA52 ?GetShapeFunction@@YGP6GJPAUHDC__@@PAPAXPBGHHPAUtag_SCRIPT_ANALYSIS@@PAG4PAUtag_SCRIPT_VISATTR@@PAH@Z01H@Z
0001AA57 0001ADC3 ?RenderItemNoFallback@@YGJPAUtag_STRING_ANALYSIS@@HHPAU_ABC@@@Z
0001ADC8 0001ADFA ?isSurrogatePlaneExist@@YGHH@Z
0001ADFF 0001AE27 ?GetSurrogateFontName@@YGPADH@Z
0001AE2C 0001AFBE ?CacheSurrogateFontData@@YGXXZ
0001AFC3 0001AFE7 ?CheckSurrogateFontCache@@YGXXZ
0001AFEC 0001B02E ?GetNext@DoubleWideCharMappedString@@QAEHH@Z
0001B033 0001B1DF ?SelectSansSerifFont@@YGJPAUtag_STRING_ANALYSIS@@H@Z
0001B1E4 0001B549 ?CreateFallbackFont@@YGJPAUtag_STRING_ANALYSIS@@HH@Z
0001B54E 0001B5B6 ?ContainsDefaultGlyphs@@YGHPAUtag_STRING_ANALYSIS@@HH@Z
0001B5BB 0001B675 ?SelectItemFont@@YGJPAUtag_STRING_ANALYSIS@@H@Z
0001B67A 0001B8E7 ?RenderItemWithFallback@@YGJPAUtag_STRING_ANALYSIS@@HHPAU_ABC@@@Z
0001B8EC 0001BA6E ?RenderItem@@YGJPAUtag_STRING_ANALYSIS@@HHPAU_ABC@@@Z
0001BA73 0001BB85 ?CalcNextTabPosn@@YGHPAUtag_STRING_ANALYSIS@@H@Z
0001BB8A 0001BDA7 ?ScriptStringClip@@YGJPAUtag_STRING_ANALYSIS@@@Z
0001BDAC 0001BE6B ?ScriptStringExpandTabs@@YGJPAUtag_STRING_ANALYSIS@@@Z
0001BE70 0001BEED ?ScriptStringHackJapKorCurrency@@YGJPAUtag_STRING_ANALYSIS@@@Z
0001BEF2 0001C3A1 ?ScriptStringBreakoutMissingGlyphs@@YGJPAUtag_STRING_ANALYSIS@@@Z
0001C3A6 0001C52A ?ApplyPiDxToItem@@YGJPAUtag_STRING_ANALYSIS@@HPAU_ABC@@@Z
0001C52F 0001C79D ?ScriptStringAnalyzeGlyphs@@YGJPAUtag_STRING_ANALYSIS@@@Z
0001C7A2 0001C83C ?ScriptStringAnalyzeBreaks@@YGJPAUtag_STRING_ANALYSIS@@@Z
0001C841 0001C963 ?IsFontAssociated@@YGHPAUHDC__@@PAUFACE_CACHE@@@Z
