00023005 0002308F ?ReadAt_FromMap@CFileStream@@AAEJKPAXKPAK@Z
000230A1 00023286 ?ReadAt@CDirectStream@@QAEJ_KPAXKPAK@Z
0002328B 000232B5 ?ReadAt@PSStream@@QAEJ_KPAXKPAK@Z
000232BA 0002330C ?ReadAt@CPubStream@@QAEJ_KPAXKPAK@Z
00023311 0002334C ?Read@CExpParameterValidate@@SGJPAXKPAK@Z
00023351 000234D3 ?Read@CExposedStream@@UAGJPAXKPAK@Z
000234D8 00023502 ?Sync@CSmAllocator@@QAEJXZ
00023507 00023509 CoFreeAllLibraries
00023509 0002350A _CoFreeAllLibraries@0
0002350F 00023560 ?DoFree@CSmAllocator@@AAEXPAX@Z
00023565 00023582 ??3CMallocBased@@SGXPAX@Z
00023587 0002359B ?Free@CSmAllocator@@UAGXPAX@Z
000235A0 000235B6 ?Validate@CExposedDocFile@@QBEJXZ
000235BB 000235C9 ??1CDirectStream@@QAE@XZ
000235CE 000235EE ??_GCDirectStream@@QAEPAXI@Z
000235F3 0002360C ?GetScratch@CDFBasis@@QAEPAVCMStream@@XZ
0002362F 00023655 ??0CBasedGlobalFileStreamPtr@@QAE@PAVCGlobalFileStream@@@Z
00023666 00023689 ??0CSafeMultiHeap@@QAE@PAVCPerContext@@@Z
0002368E 000236AA ??1CSafeMultiHeap@@QAE@XZ
000236AF 000236C5 ?IsRoot@CPubDocFile@@QBEHXZ
000236CA 00023773 ?VerifyPerms@@YGJKH@Z
00023778 0002378E ?GetAddress@CSmAllocator@@ABEPAVCBlockHeader@@K@Z
00023793 00023803 ?ModeToDFlags@@YGKK@Z
00023808 0002381F ??2CMallocBased@@SGPAXIQAUIMalloc@@@Z
00023824 000238BE ?Alloc@CSmAllocator@@UAGPAXK@Z
000238C3 000238FB ?FindBlock@CSmAllocator@@AAEPAVCBlockHeader@@KPAPAV2@@Z
00023900 00023919 ?GetTable@CPagedVector@@QAEJKKPAPAX@Z
0002391E 000239DB ?ReleaseTable@CPagedVector@@QAEXK@Z
000239E0 00023A10 ?GetTable@CDirVector@@QAEJKKPAPAVCDirSect@@@Z
