00011E27 00011FFC _wid32Message@20
0001202D 000121F3 _mod32Message@20
0001222C 0001233C _mid32Message@20
00012369 000124E8 _WMM32mciSendString@16
00012516 0001253D _WMM32mciGetDeviceID@4
00012542 0001257A _WMM32mciGetErrorString@12
0001257F 000125A9 _WMM32mciGetDeviceIDFromElementID@8
000125AE 000125C4 _WMM32mciGetCreatorTask@4
000125C9 000125CE _WMM32mciYieldProc@8
000125D3 00012619 _WMM32mciGetYieldProc@8
0001261E 00012667 _WMM32mciAllocateNode@8
0001266C 0001268D _WMM32mciFreeNode@4
00012692 000126BC _ThunkGenericParms@12
000126C1 00012772 _ThunkOpenCmd@12
00012777 000128B5 _ThunkSetCmd@16
000128BA 00012908 _ThunkSetVideoCmd@12
0001290D 00012949 _ThunkSysInfoCmd@8
0001294E 00012987 _ThunkBreakCmd@12
0001298C 00012A37 _ThunkWindowCmd@16
00012A3C 00012BF3 _ThunkCommandViaTable@16
00012BF8 00012CAC _UnThunkStatusCmd@16
00012CB1 00012D49 _UnThunkCommandViaTable@16
00012D4E 00012DDA _WMM32mciSetYieldProc@12
00012DDF 00012E9E _ThunkMciCommand16@28
00012EA3 00012F03 _UnThunkMciCommand16@28
00012F08 00013063 _WMM32mciSendCommand@16
00013079 0001314C _mci32Message@20
00013185 000131E3 _MciNotify@8
000131E8 00013215 _HandleNotify@16
0001321A 00013278 _mciBreak@12
0001327D 000132EF _mciColonizeDigit@12
000132F4 00013362 _mciColonize@16
00013367 000134CE _mciConvertReturnValue@24
000134D3 00013590 _mciSeparateCommandParts@16
00013595 00013648 _mciSendSystemString@16
0001364D 000136C3 _mciFindNotify@4
000136C8 00013756 _mciGetErrorStringA@12
0001375B 000137EA _mciGetErrorStringW@12
000137EF 00013853 _mciAutoCloseDevice@4
00013858 000139D6 _mciSendSingleCommand@28
000139F3 00013B62 _mciSendCommandInternal@20
00013B67 00013BED _mciSendCommandW@16
00013BF2 00013D05 _mciAutoOpenDevice@16
00013D0A 00014260 _mciSendStringInternal@20
00014265 000142A1 _mciSendStringW@16
000142A6 000143DD _mciExecute@4
000143E2 0001487B _mciSendCommandA@16
00014880 0001490C _mciRelaySystemString@4
00014911 000149E8 _mciSendStringA@16
000149ED 00014A22 _mciEatCommandEntry@12
00014A27 00014A71 _mciGetParamSize@8
00014A76 00014B08 _mciRegisterCommandTable@16
00014B0D 00014D9F _mciLoadCommandResource@12
00014DA4 00014DF4 _mciLoadTableType@4
00014DF9 00014EC7 _mciFreeCommandResource@4
00014ECC 00014ED2 _mciUnlockCommandTable@4
00014ED7 00014FB5 _FindCommandInTable@12
00014FBA 00015094 _FindCommandItem@20
00015099 00015112 _mciCheckToken@8
00015117 000151ED _mciParseInteger@8
000151F2 00015266 _mciParseConstant@12
0001526B 00015449 _mciParseArgument@28
0001544E 0001547C _mciParseCommand@20
00015481 000154BF _mciParserFree@4
000154C4 00015770 _mciParseParams@32
00015775 000157D8 _mciInitDeviceList@0
00015801 000158B9 _mciGetDeviceIDFromElementIDW@8
000158BE 0001596D _mciGetDeviceIDInternal@8
00015972 0001598A _mciGetDeviceIDW@4
0001598F 000159C1 _mciGetDeviceIDA@4
000159C6 00015A0B _mciGetCreatorTask@4
00015A10 00015A99 _mciDeviceMatch@8
00015A9E 00015B03 _mciLookUpType@4
00015B08 00015DF5 _mciSysinfo@12
00015DFA 00015E71 _wReserveDeviceID@4
00015E76 00015EAB _mciAddDeviceName@8
00015EB0 00015F1F _mciAllocateNode@12
00015F24 0001610D _mciFindDriverName@16
