00002B7F 00002B9A ?IDirectDrawSurface2Initialize@@YGJPAUIDirectDrawSurface2@@PAUIDirectDraw@@PAU_DDSURFACEDESC@@@Z
00002B9F 00002BB4 ?IDirectDrawSurface3IsLost@@YGJPAUIDirectDrawSurface3@@@Z
00002BB9 00002BCE ?IDirectDrawSurface4Restore@@YGJPAUIDirectDrawSurface4@@@Z
00002BD3 00002BEE ?IDirectDrawSurface4SetColorKey@@YGJPAUIDirectDrawSurface4@@KPAU_DDCOLORKEY@@@Z
00002BF3 00002C17 ?IDirectDrawSurface4SetPrivateData@@YGJPAUIDirectDrawSurface4@@ABU_GUID@@PAXKK@Z
00002C1C 00002C3D ?IDirectDrawSurface4GetPrivateData@@YGJPAUIDirectDrawSurface4@@ABU_GUID@@PAXPAK@Z
00002C42 00002C5D ?IDirectDrawSurface4FreePrivateData@@YGJPAUIDirectDrawSurface4@@ABU_GUID@@@Z
00002C62 00002C7D ?IDirectDrawSurface4GetUniquenessValue@@YGJPAUIDirectDrawSurface4@@PAK@Z
00002C82 00002C9A ?IDirectDrawSurface4ChangeUniquenessValue@@YGJPAUIDirectDrawSurface4@@@Z
00002C9F 00002CBE ?IDirectDrawPaletteAggQueryInterface@@YGJPAUIDirectDrawPalette@@ABU_GUID@@PAPAX@Z
00002CC3 00002CDB ?IDirectDrawPaletteGetCaps@@YGJPAUIDirectDrawPalette@@PAK@Z
00002CE0 00002D01 ?IDirectDrawPaletteGetEntries@@YGJPAUIDirectDrawPalette@@KKKPAUtagPALETTEENTRY@@@Z
00002D06 00002D24 ?IDirectDrawPaletteInitialize@@YGJPAUIDirectDrawPalette@@PAUIDirectDraw@@KPAUtagPALETTEENTRY@@@Z
00002D29 00002D7C ?InitDirectDrawInterfaces@@YGXPAUIDirectDraw@@PAU_DDINTSTRUC@@PAUIDirectDraw2@@PAU_DD2INTSTRUC@@PAUIDirectDraw4@@PAU_DD4INTSTRUC@@@Z
00002D81 00002DA0 ?InitDirectDrawPaletteInterfaces@@YGXPAUIDirectDrawPalette@@PAU_DDPALINTSTRUC@@@Z
