000034F3 000034FD ?QueryInterface@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBI@AGJABU_GUID@@PAPAX@Z
00003502 0000350C ?AddRef@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBI@AGKXZ
00003511 0000351B ?Release@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBI@AGKXZ
00003520 0000352A ?QueryInterface@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBM@AGJABU_GUID@@PAPAX@Z
0000352F 00003539 ?AddRef@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBM@AGKXZ
0000353E 00003548 ?Release@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBM@AGKXZ
0000354D 0000359E ?UpdateRegistry@CDXTScale@@SGJH@Z
000035B5 000035D3 ?UpdateRegistry@CDXTLabel@@SGJH@Z
000035D8 00003613 ??0CFillInfo@@QAE@XZ
00003618 00003645 ??1CFillInfo@@QAE@XZ
0000364A 000036A5 ??0CDXSurfaceModifier@@QAE@XZ
000036AA 000036FB ?UpdateRegistry@CDXGradient@@SGJH@Z
00003711 00003717 ?SurfaceCLSID@CDXGradient@@UAEABU_GUID@@XZ
0000371C 00003841 ?RegisterTransitionCategories@@YGJ_N@Z
00003869 00003884 _DllRegisterServer@0
00003889 000038B3 _DllUnregisterServer@0
000038C9 000038DA ??0?$CDXBnds@JKUDXDBND@@$0A@@@QAE@XZ
000038DF 00003903 ??1?$CComObjectCached@VCComClassFactory@ATL@@@ATL@@QAE@XZ
00003908 00003949 ?AddRef@?$CComObjectCached@VCComClassFactory@ATL@@@ATL@@UAGKXZ
0000394E 0000396B ?QueryInterface@?$CComObjectCached@VCComClassFactory@ATL@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00003989 000039AF ??1?$CComPolyObject@VCDXSurface@@@ATL@@QAE@XZ
000039B4 00003A14 ?QueryInterface@?$CComPolyObject@VCDXSurface@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00003A65 00003A9B ??0?$CComPolyObject@VCDXGradient@@@ATL@@QAE@PAX@Z
00003AA0 00003ACD ??1?$CComPolyObject@VCDXGradient@@@ATL@@QAE@XZ
00003AD2 00003B32 ?QueryInterface@?$CComPolyObject@VCDXGradient@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00003B75 00003B7B ?_GetEntries@CDXBaseSurface@@SGPBU_ATL_INTMAP_ENTRY@ATL@@XZ
00003BB1 00003BB7 ?_GetEntries@CDXBaseNTo1@@SGPBU_ATL_INTMAP_ENTRY@ATL@@XZ
00003C05 00003C2F ?QI2DPick@CDXBaseNTo1@@SGJPAXABU_GUID@@PAPAXK@Z
00003C34 00003C6A ??0?$CComPolyObject@VCDXTFilterBehavior@@@ATL@@QAE@PAX@Z
00003C6F 00003C95 ??1?$CComPolyObject@VCDXTFilterBehavior@@@ATL@@QAE@XZ
00003C9A 00003CFA ?QueryInterface@?$CComPolyObject@VCDXTFilterBehavior@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00003CFF 00003D16 ??0CComClassFactory@ATL@@QAE@XZ
00003D31 00003D4E ??1CDXTLabel@@QAE@XZ
00003D53 00003DCB ??1CDX2D@@QAE@XZ
00003DD0 00003ED0 ??1CDXTFilter@@QAE@XZ
