0001B845 0001B85A _FIgindFirstInContext@8
0001B85A 0001B886 _DcpAfterContextFromDcp@8
0001B886 0001B998 _InterpretMap@20
0001B998 0001BA2C _GetChanges@24
0001BA2C 0001BA95 _TranslateChanges@28
0001BA95 0001BAF9 _InterpretChanges@24
0001BAF9 0001BB3F _UndoAppliedChanges@16
0001BB3F 0001BB61 _ApplyGlyphChanges@12
0001BB61 0001BBA8 _ApplyChanges@16
0001BBA8 0001BDA9 _CutTextDobj@8
0001C660 0001C6AD _ModifyFirstCharInChunk@12
0001C6AD 0001C6FB _ModifyLastCharInChunk@12
0001D64F 0001D6D8 _NominalToIdealText@24
0001D78A 0001D890 _QueryTextCellDetails@36
0001D890 0001D9AF _ScaleSpaces@16
0001D9AF 0001DA87 _UpdateGlyphOffsets@4
0001DA87 0001DAF9 _SetBeforeJustCopy@4
0001DAF9 0001DB85 _ScaleExtNonText@16
0001DB85 0001DBA5 _GetDupLastChar@12
0001DBA5 0001DE3B _FillDupPen@16
0001E334 0001E5F2 _ApplyWysi@8
0001E5F2 0001E758 _ScaleCharSides@16
0001E758 0001E85F _ScaleGlyphSides@8
0001E85F 0001E871 _SetTabLeader@8
0001E871 0001EB56 _LsGetDecimalPoint@16
0001EB56 0001ECCE _LsGetCharTab@20
0001F26A 0001F2C7 _FullPositiveSpaceJustification@36
0001F2C7 0001F335 _NegativeSpaceJustification@32
0001F335 0001F4A8 _ApplyNominalToIdeal@28
0001F4A8 0001F580 _ApplyModWidthToPrecedingChar@20
0001F580 0001F5A8 _CutPossibleContextViolation@8
0001F5A8 0001F5C6 _GetBreakRecordIndex@4
0001F5C6 0001F6F1 _FormatResumedLine@56
0001F6F1 0001F738 _CreateQueryResult@20
0001F738 0001F73E _ObjHelpFmtResume@20
0001F73E 0001F74A _ObjHelpGetModWidthChar@28
0001F74A 0001F759 _ObjHelpFExpandWithFollowingChar@24
0001F759 0001F78D _FormatLine@48
0001FA50 0001FC6E _MatchPresSubline@4
0001FC6E 0001FDBF _AdjustSubline@16
0001FF5C 0001FF6B _HihCreateLNObj@8
0001FF6B 00020019 _ReverseFmt@12
00020019 000200DB _ReverseFmtResume@20
000200DB 0002013D _ReverseTruncateChunk@8
0002013D 00020285 _ReverseFindPrevBreakCore@24
00020285 000202BB _ReverseFindPrevBreakChunk@16
000202BB 00020409 _ReverseFindNextBreakCore@24
00020409 00020438 _ReverseFindNextBreakChunk@16
00020438 00020534 _ReverseForceBreakChunk@12
00020534 00020620 _ReverseSetBreak@20
00020620 00020633 _ReverseGetSpecialEffectsInside@8
00020633 00020662 _ReverseCalcPresentation@16
00020662 00020680 _ReverseQueryCpPpoint@16
00020680 000206D7 _ReverseDisplay@8
000206D7 000206E5 _ReverseDestroyDobj@4
000206E5 0002071D _ReverseEnum@44
00020A7A 00020D59 _RubyFmt@12
00020D59 00020D8E _RubyGetModWidthPrecedingChar@28
00020D8E 00020DE2 _RubyGetModWidthFollowingChar@28
00020DE2 00020DEE _ObjHelpSetBreak@20
00020DEE 00020E1D _RubyGetSpecialEffectsInside@8
00020E1D 00020F0B _RubyCalcPresentation@16
00020F0B 00020F62 _RubyQueryPointPcp@16
00020F62 00020FBC _RubyQueryCpPpoint@16
00020FBC 0002101C _RubyDisplay@8
0002101C 0002102A _RubyDestroyDobj@4
0002102A 000210CD _RubyEnum@44
000210F1 00021135 _SobjTruncateChunk@8
00021135 000211B3 _SobjFindPrevBreakChunk@16
