00006772 00006790 ??0CSecMgrCacheEntry@CSecMgrCache@CSecurityManager@@QAE@XZ
00006795 000067A6 ??0CRegZoneCacheEntry@CRegZoneCache@CRegZone@@QAE@XZ
000067AB 000067E3 __cfltcvt_init
000067E8 000067F1 __lockexit
000067F6 000068A9 ___crtGetEnvironmentStringsA
0000694C 00006A6E ___crtGetStringTypeA
00006B01 00006B07 _GetModuleFileNameWrapW@12
00006B0C 00006B12 _LoadLibraryWrapW@4
00006BA3 00006BE5 _NT5_CreateActCtx@4
00006BFB 00006C24 ___security_init_cookie
00007512 0000757D __mtinit
00007582 000075C6 __mtinitlocks
000075CB 00007646 ___crtInitCritSecAndSpinCount
000078E8 0000798D __setargv
00007AB2 00007AD0 ___initmbctable
00007AD5 00007C22 __setmbcp
00007CCD 00007D9B __setenvp
00007DBD 00007E30 ??0CRegZoneCache@CRegZone@@QAE@H@Z
00007E4C 00007ED7 ___initstdio
00007EDC 00007F1C _SHFusionInitializeFromModule@4
00007F21 00007F34 _SHFusionInitialize@4
00007F39 00007F4F _SHFusionInitializeID@8
00007F54 00007FE9 _SHFusionInitializeIDCC@12
00007FEE 0000801B _DelayLoadCC@0
0000803B 0000807B _SHFusionLoadLibrary@4
0000809F 000080B4 _SHDeactivateContext@4
000080B4 000080FF _NT5_DeactivateActCtx@4
00008127 0000813E _atexit
00008143 00008175 __onexit
00008194 0000819D __unlockexit
0000825E 00008295 _MLLoadResourcesA@8
0000829A 00008319 ?ZonesInit@@YGHXZ
0000831E 000083B3 ?GlobalInit@CSecurityManager@@SGHXZ
00008519 00008554 ?GlobalUTF8hackEnabled@@YGHXZ
00008670 000086BB __cinit
00008771 00008799 ___onexitinit
0000879E 000087F6 __ioinit
000087FB 00008812 _malloc
00008817 00008839 __nh_malloc
0000883E 0000888D __heap_alloc
000088A1 000088E1 __heap_init
000088E6 00008900 ___heap_select
00008942 0000897E __msize
000089AC 000089EC ??0CSecMgrCache@CSecurityManager@@QAE@XZ
00008A03 00008A27 ??_H@YGXPAXIHP6EPAX0@Z@Z
00008A2C 00008A39 __fpmath
00008A3E 00008A50 __setdefaultprecision
00008A55 00008A6F __controlfp
00008A74 00008AA9 __control87
00008B76 00008D23 ___crtLCMapStringA
00008D55 00008D7A _SHActivateContext@4
00008D7F 00008DCF _NT5_ActivateActCtx@8
00008EF3 00008F26 ?IncrementGlobalCounter@CSecMgrCache@CSecurityManager@@SGXXZ
00008F2B 00008FC2 ?IsInGUIModeSetup@@YGHXZ
0000900F 00009056 ?EnumKey@CRegKey@@QAEJKPAGPAK@Z
0000905B 00009101 ?Init@CSharedMem@@QAEHPBDK@Z
00009106 0000912A ??0CRegZone@@QAE@XZ
0000912F 00009150 ??0CRegZoneContainer@@QAE@XZ
000092BF 00009321 ?GetZonePath@CRegZone@@SGJPAGIW4REGZONEUSE@@PBGH@Z
000093C5 00009408 _wcsncat
0000942F 000095FA ?Init@CRegZone@@QAEHPBGHW4REGZONEUSE@@H@Z
000095FF 00009697 ?UpdateZoneMapFlags@CRegZone@@QAEHXZ
0000969C 000096C5 ?SetValue@CRegKey@@QAEJKPBG@Z
00009785 00009829 ?Attach@CRegZoneContainer@@QAEHHW4REGZONEUSE@@@Z
0000982E 0000994F ?EnumerateAndLoadZones@CRegZoneContainer@@QAEJW4REGZONEUSE@@PAPAUCRegListElem@1@PAK@Z
00009954 00009AC7 ?EnumerateAndLoadZones@CRegZoneContainer@@IAEJAAVCRegKey@@W4REGZONEUSE@@PAPAUCRegListElem@1@PAK@Z
00009ACC 00009B79 ?SelfHeal@CRegZoneContainer@@QAEHH@Z
00009BD7 00009BF2 _CoInternetCreateZoneManager@12
00009C2F 00009DD1 ?LookupClsIDFromReg@CProtMgrNameSpace@@UAGJPBGPAU_GUID@@PAK2K@Z
00009E1A 00009E5D ?Init@CProtocolData@@QAEHPBGPAV1@@Z
0000A072 0000A092 ?Set@CRegZoneCacheEntry@CRegZoneCache@CRegZone@@QAEXKKHK@Z
0000A097 0000A10D ?DwToWchar@@YGHKPAGH@Z
0000A1A7 0000A201 ?Add@CRegZoneCache@CRegZone@@QAEXKKHKH@Z
0000A206 0000A246 ?SetToCurrentCounter@CRegZoneCache@CRegZone@@IAEXXZ
0000A24B 0000A267 ??0CProtMgrNameSpace@@QAE@XZ
0000A26C 0000A298 ??0CProtMgr@@QAE@XZ
0000A2CB 0000A311 ?Create@COInetSession@@SGJKPAPAV1@@Z
0000A316 0000A36A ??0COInetSession@@QAE@XZ
0000A36F 0000A383 ??0CProtMgrMimeHandler@@QAE@XZ
0000A404 0000A427 ?GetZoneActionPolicy@CUrlZoneManager@@UAGJKKPAEKW4_URLZONEREG@@@Z
0000A5EF 0000A6D2 ?IsFileInSpecialDirs@@YGJPBGH@Z
0000A6EE 0000A729 ?_MapPathToZone@CSecurityManager@@IAEXPAVZONEMAP_COMPONENTS@@PAKKPAW4TRIBIT@@PAPAG@Z
0000A82E 0000A857 ?_PathIsFile@@YGJPBG@Z
0000A867 0000A8E1 ?_GetZoneFromIdentifier@@YGJPBGPAK@Z
0000A8E6 0000A910 ?LeastTrustedZone@@YGKKK@Z
0000A915 0000A937 ?_GetZoneTrust@@YGIK@Z
0000A975 0000B3A9 __woutput
0000B3F0 0000B41F ?Release@CZoneIdentifier@@UAGKXZ
0000B424 0000B44D ??_GCZoneIdentifier@@AAEPAXI@Z
0000B479 0000B4B6 ?Load@CZoneIdentifier@@UAGJPBGK@Z
0000B4BB 0000B4DE ?_GetBag@CZoneIdentifier@@AAEJKPAPAUIPropertyBag@@@Z
0000B511 0000B537 _StringCchPrintfW
0000B53C 0000B588 ?StringVPrintfWorkerW@@YGJPAGIPBGPAD@Z
0000B58D 0000B5E8 __vsnwprintf
0000B628 0000B660 ?_DoSavedFileCheck@CSecurityManager@@IAEXPBGPAKKPAW4TRIBIT@@PAPAG@Z
0000B665 0000B6A4 ?ExtractZoneFromFile@@YGJPBGPAPAGPAK@Z
0000B6A9 0000B6FD ?_GetZoneFromMOTW@@YGJPBGPAPAG@Z
0000B702 0000B7B0 ?_UpdateFile@CZoneIdentifier@@AAEJPBG@Z
0000B7DB 0000B884 ?StringCopyExWorkerW@@YGJPAGIIPBGPAPAGPAIK@Z
0000B8FA 0000B93C __putwc_lk
0000BA25 0000BA50 ?RemoveAll@?$CList@PAVCModuleUsage@@PAV1@@@QAEXXZ
0000BA55 0000BA5E ?FreeDataChain@CPlex@@QAEXXZ
0000BB12 0000BB3D ?QueryValueOrWild@CRegKey@@QAEJPAKPBG@Z
0000BB42 0000BB59 ?IsValidSecurityFeature@@YGHW4_tagINTERNETFEATURELIST@@@Z
0000BB5E 0000BBAC _CoInternetIsFeatureEnabledForUrl@16
0000BBE6 0000BC33 ?QueryInterface@CSecurityManager@@UAGJABU_GUID@@PAPAX@Z
0000BC46 0000BC6D ??_GCUrlClsFact@@QAEPAXI@Z
0000BC87 0000BDDD ___delayLoadHelper2@8
0000BE5A 0000BEF0 ?CheckProxyBypassRule@CSecurityManager@@IAEJPAVZONEMAP_COMPONENTS@@PAKPBG@Z
0000BEF0 0000BF01 __tailMerge_WININET
0000BF06 0000BF0D __imp_load__IsHostInProxyBypassList@12
0000C00D 0000C03B ?CleanupCompatCache@@YGXXZ
0000C040 0000C053 ?UnregisterUrlMkWndClass@@YGHXZ
0000C058 0000C05D ??1CSecMgrCacheEntry@CSecMgrCache@CSecurityManager@@QAE@XZ
0000C062 0000C08B ?Cleanup@CUrlZoneManager@@SGHXZ
0000C090 0000C0C0 ?Flush@CRegZoneCache@CRegZone@@QAEXXZ
0000C0C5 0000C0E3 __mtterm
0000C0E8 0000C109 __heap_term
0000C10E 0000C12B __lock_file2
0000C256 0000C25B j__DeInitFeatureEntries@0
0000C260 0000C269 __flushall
0000C347 0000C35A __cexit
0000C409 0000C41C ___endstdio
0000C41C 0000C483 __fcloseall
0000C493 0000C4D9 __mtdeletelocks
0000C51E 0000C568 __ioterm
0000C579 0000C5AD ??1CSecMgrCache@CSecurityManager@@QAE@XZ
0000C5B2 0000C5DE ??_I@YGXPAXIHP6EX0@Z@Z
0000C5EF 0000C60F ?Release@CSharedMem@@QAEXXZ
0000C620 0000C651 ??1CRegZoneCache@CRegZone@@QAE@XZ
0000C656 0000C65A ??1CRegZoneCacheEntry@CRegZoneCache@CRegZone@@QAE@XZ
0000C6E5 0000C6FB _MLFreeResources@4
0000C700 0000C739 ?ZonesUnInit@@YGXXZ
0000C73E 0000C7A9 ?GlobalCleanup@CSecurityManager@@SGHXZ
0000C7B8 0000C7D0 _SHFusionUninitialize@0
0000C7D5 0000C817 _NT5_ReleaseActCtx@4
0000C872 0000C8AC ?DeleteOInetSession@@YGJK@Z
0000C8D1 0000C8F8 __fflush_lk
0000C8FD 0000C92F __flush
0000C94A 0000C967 __unlock_file2
