00006B42 00006B78 ??I?$BaseWrapper@PAUVersionStringData@@V?$FunctionBase@PAUVersionStringData@@$1??$DoNothing@PAUVersionStringData@@@@YGXPAU1@@Z$1??$Delete@UVersionStringData@@@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAUVersionStringData@@@@YGHPAU1@0@Z$01@@QAE?AVTypedAddressInitHolder@0@XZ
00006B78 00006BBD ?CreateVersionStringData@VersionString@@AAEJPAPAUVersionStringData@@@Z
00006BC4 00006BFE _iswctype
00006C16 00006C43 ??1?$BaseWrapper@PAXV?$FunctionBase@PAX$1??$DoNothing@PAX@@YGXPAX@Z$1?VoidFindClose@@YGX0@Z$01@@$0PPPPPPPP@$1??$CompareDefault@PAX@@YGHPAX0@Z$01@@QAE@XZ
00006C43 00006C60 ?LogStartValues@RuntimeRequest@@AAEXXZ
00006C89 00006CBF ??I?$BaseWrapper@PAUHKEY__@@V?$FunctionBase@PAUHKEY__@@$1??$DoNothing@PAUHKEY__@@@@YGXPAU1@@Z$1?RegKeyRelease@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAUHKEY__@@@@YGHPAU1@0@Z$01@@QAE?AVTypedAddressInitHolder@0@XZ
00006CBF 00006CF3 ??0DWORDCacheEntry@ConfigValueCache@ShimUtil@@QAE@PBGKW4VERSION_ARCHITECTURE@@@Z
00006CF3 00006D10 ?LogRequiredOrSupportedRuntimes@RuntimeRequest@@AAEXXZ
00006D10 00006D26 ?HasSupportedRuntimeEntries@RuntimeRequest@@QAEHXZ
00006D26 00006D40 ?VerifyRuntimeVersionToLoad@RuntimeRequest@@QAEJXZ
00006D40 00006D9F _wcsstr
00006D9F 00006DAA ?IsRuntimeVersionInstalled@SxSProcessInfo@@QBE_NABVVersionString@@@Z
00006DAE 00006DC9 ?GetSkuCheckFlags@RuntimeRequest@@QAE?AW4SkuCheckFlags@@XZ
00006DC9 00006DEC ?IsVersionPostWhidbey@ShimUtil@@YGHABVVersionString@@@Z
00006DEC 00006DF7 ?Flush@ShimLog@@QAEXXZ
00006DF7 00006E2D ??I?$BaseWrapper@PAVCLRRuntimeInfoImpl@@V?$FunctionBase@PAVCLRRuntimeInfoImpl@@$1??$DoNothing@PAVCLRRuntimeInfoImpl@@@@YGXPAV1@@Z$1??$Delete@VCLRRuntimeInfoImpl@@@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAVCLRRuntimeInfoImpl@@@@YGHPAV1@0@Z$01@@QAE?AVTypedAddressInitHolder@0@XZ
00006E2D 00006E5C ?SetConfigFlagValue@@YGXW4Boolean@ConfigValues@ShimUtil@@KPAK@Z
00006E5C 00006E81 ??1?$BaseWrapper@PAVCLRRuntimeInfoImpl@@V?$FunctionBase@PAVCLRRuntimeInfoImpl@@$1??$DoNothing@PAVCLRRuntimeInfoImpl@@@@YGXPAV1@@Z$1??$Delete@VCLRRuntimeInfoImpl@@@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAVCLRRuntimeInfoImpl@@@@YGHPAV1@0@Z$01@@QAE@XZ
00006E81 00006EB7 ??I?$BaseWrapper@PAUHINSTANCE__@@V?$FunctionBase@PAUHINSTANCE__@@$1??$DoNothing@PAUHINSTANCE__@@@@YGXPAU1@@Z$1?HolderFreeLibrary@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAUHINSTANCE__@@@@YGHPAU1@0@Z$01@@QAE?AVTypedAddressInitHolder@0@XZ
00006EB7 00006F8F ?IsPreWhidbey@RuntimeDesc@@QAEHXZ
00007300 0000732F __getptd_noexit
0000732F 00007345 __getptd
00007345 000073A4 ??0_LocaleUpdate@@QAE@PAUlocaleinfo_struct@@@Z
000073EB 00007403 __ismbblead
0000749D 0000755A __setargv
000075DF 00007709 __ioinit
00007823 0000786B _strcpy_s
000078D3 000078F9 _free
000078F9 0000791D _isdigit
0000791D 0000795A ?IsNumber@@YG_NPBG@Z
0000795A 0000797F __wchartodigit
00007AAF 00007AC9 _wcstol
00007AC9 00007B3C _strlen
00007B3C 00007B9A __setenvp
00007BA0 00007BEF __towupper_l
00007BEF 00007C02 _towupper
00007C02 00007C35 ?HashiString@@YGKPBG@Z
00007C35 00007C6B ??I?$BaseWrapper@PAPAVVersionAndSku@@V?$FunctionBase@PAPAVVersionAndSku@@$1??$DoNothing@PAPAVVersionAndSku@@@@YGXPAPAV1@@Z$1??$DeleteArray@PAVVersionAndSku@@@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAPAVVersionAndSku@@@@YGHPAPAV1@0@Z$01@@QAE?AVTypedAddressInitHolder@0@XZ
00007C6B 00007DC9 ?Init@VersionString@@QAEJPBG@Z
00007DC9 00007E49 ?IsValidRuntimeVersionDirectoryName@@YG_NABVSString@@@Z
0000814A 00008184 ?StringAllocate@@YGJIPAPAG@Z
00008184 000081D0 ?StringCopy@@YGJPBGPAPAG@Z
000082A0 000082DE ?Init@?$RefCounted@UVersionStringData@@@@QAEJPAUVersionStringData@@@Z
000082DE 00008463 ?InitTwoPartVersionString@VersionString@@AAEJPBG0@Z
00008463 0000846B __wtoi
0000846B 00008481 __wtol
00008481 000086C0 ?Init@VersionString@@QAEJPBG00@Z
000086C0 000086E2 ?HashString@@YGKPBG@Z
000086E2 0000873D ?Lookup@?$SHash@U?$RegistryNameKeyTraits@V?$NoRemoveSHashTraits@V?$DefaultSHashTraits@PAUStringCacheEntry@ConfigValueCache@ShimUtil@@@@@@@ConfigValueCache@ShimUtil@@@@CGPBQAUStringCacheEntry@ConfigValueCache@ShimUtil@@PAPAU234@IUCacheKey@34@@Z
0000873D 00008760 ?Lookup@?$SHash@U?$RegistryNameKeyTraits@V?$NoRemoveSHashTraits@V?$DefaultSHashTraits@PAUDWORDCacheEntry@ConfigValueCache@ShimUtil@@@@@@@ConfigValueCache@ShimUtil@@@@QBEPAUDWORDCacheEntry@ConfigValueCache@ShimUtil@@UCacheKey@34@@Z
00008760 00008853 ?GetConfigString@ConfigValueCache@ShimUtil@@SGPBGPBG0W4VERSION_ARCHITECTURE@@H@Z
00008862 000088E2 ?ParseToPeriod@@YGJPAPBGPAPAG@Z
000088EA 00008952 __wcsicmp
00008952 00008973 ??1VersionStringData@@QAE@XZ
00008973 000089AF ?Detach@?$RefCounted@UVersionStringData@@@@QAEXXZ
000089AF 000089CD ??1VersionString@@QAE@XZ
000089CD 00008A08 ??1?$OrderedSetNode@VVersionString@@@@QAE@XZ
00008A58 00008A69 ?DuplicateString@@YGPAGPBG@Z
00008A69 00008AAD ?GetConfigString_Local_@@YGPAGPBGHW4VERSION_ARCHITECTURE@@@Z
00008C50 00008C61 __initp_eh_hooks
00008C61 00008C94 __init_pointers
00008C94 00008DF6 __mtinit
00008E21 00008E64 __mtinitlocks
00008E64 00008EAE ?GetCompatibleString@SString@@ABEABV1@ABV1@AAV1@@Z
00008EAE 00008F2C ?EqualsCaseInsensitive@SString@@QBEHABV1@K@Z
00008F38 00008F9A _memset
00008F9A 00009042 __VEC_memzero
