00006242 0000648C ?RenderMetafile@CPicture@@QAEJPAUHDC__@@JJJJJJJJPBUtagRECT@@@Z
00006491 0000657B _OleCreatePictureIndirect@16
00006580 000065A1 ??_GCCacheStream@@UAEPAXI@Z
000065A6 000065C6 ??X?$SafeInt@GVCppEHPolicy@@@@QAEAAV0@G@Z
000065CB 000065FA ?Release@CPicture@@UAGKXZ
000065FF 000068ED ?_PictStretchBlt@@YGHPAUHDC__@@HHHH0HHHHK@Z
000068F2 00006AFD ?RenderBitmap@CPicture@@QAEJPAUHDC__@@JJJJJJJJ@Z
00006B02 00006C31 ?RenderIcon@CPicture@@QAEJPAUHDC__@@JJJJJJJJ@Z
00006C36 00006D3D ?Render@CPicture@@UAGJPAUHDC__@@JJJJJJJJPBUtagRECT@@@Z
00006D42 000070AB ?_ResToIcon@@YGPAUHICON__@@PAXPAPAUHBITMAP__@@1HHHHH@Z
000070B0 00007319 ?_PictLoadIcon@@YGJPAUIStream@@PAPAUHBITMAP__@@1PAPAUHICON__@@KKK@Z
0000731E 0000735C ?_PictLoadIconToPicInfo@@YGJPAVCPicture@@PAUIStream@@KKK@Z
00007361 00007532 ?_PictLoadNewImage@@YGJPAVCPicture@@PAUIStream@@JHKKK@Z
00007537 0000756C ?_PictLoadPicture@@YGJPAVCPicture@@PAUIStream@@JHKKK@Z
00007571 0000759D ?Load@CPicture@@UAGJPAUIStream@@@Z
000075A2 00007631 _OleLoadPictureEx@32
00007636 000078F1 ?_PictDibFromBitmap@@YGPAXPAUHBITMAP__@@PAUHPALETTE__@@@Z
000078FC 0000799F ?_PictSaveBitmap@@YGJPAUIStream@@PAVCPicture@@PAJ@Z
000079A4 00007C7A _OleIconToCursor@8
00007C7F 00007C9A ??$MixedSizeMultiply@I@?$SafeInt@KVCppEHPolicy@@@@CG?AV0@V0@I@Z
00007C9F 00007CA9 ?Release@CPicture@@W3AGKXZ
00007CAE 00007CB8 ?Release@CPicture@@W7AGKXZ
00007CBD 00007CC7 ?Release@CPicture@@WM@AGKXZ
00007CCC 00007CD6 ?Release@CPicture@@WBA@AGKXZ
00007CDB 00007CFD _OleLoadPicture@20
00007D02 00007D23 ??$?XI@?$SafeInt@KVCppEHPolicy@@@@QAEAAV0@I@Z
00007D28 00007D46 ??$MixedSizeAddition@I@?$SafeInt@KVCppEHPolicy@@@@CG?AV0@ABV0@I@Z
00007D4B 00007F60 ?_FSaveIconViaBitmaps@@YGJPAUIStream@@JJPAUHBITMAP__@@1PAJ@Z
00007F65 00007F88 ?_PictSaveIcon@@YGJPAUIStream@@PAVCPicture@@PAJ@Z
00007F8D 00007FFC ?SavePicture@CPicture@@QAEJPAUIStream@@HHPAJ@Z
00008001 00008041 ?SaveAsFile@CPicture@@UAGJPAUIStream@@HPAJ@Z
00008046 000080CB ?Save@CPicture@@UAGJPAUIStream@@H@Z
000080D0 00008150 ?GetSizeMax@CPicture@@UAGJPAT_ULARGE_INTEGER@@@Z
00008155 00008188 ?NewFontCharSetOfFaceCallBack@@YGHPAUtagENUMLOGFONTEXW@@PAUtagNEWTEXTMETRICEXW@@HPAUFONTFACEDATA@@@Z
00008215 00008238 ?Hdc@CFont@@QAEPAUHDC__@@XZ
00008294 000084AD ?QueryInterface@CFont@@UAGJABU_GUID@@PAPAX@Z
000084B2 000084CA ?AddRef@CFont@@UAGKXZ
000084CF 000084FE ?ChkName@CFont@@QAEJPAG@Z
00008503 000085CE ?IsEqual@CFont@@UAGJPAUIFont@@@Z
000085D3 00008640 ?AddRefHfont@CFont@@UAGJPAUHFONT__@@@Z
00008645 000086B9 ?ReleaseHfont@CFont@@UAGJPAUHFONT__@@@Z
000086BE 000086D5 ?SetHdc@CFont@@UAGJPAUHDC__@@@Z
000086DA 0000871F ?GetTypeInfo@CFont@@UAGJIKPAPAUITypeInfo@@@Z
00008724 0000877D ?GetIDsOfNames@CFont@@UAGJABU_GUID@@PAPAGIKPAJ@Z
00008782 00008B09 ?Invoke@CFont@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
00008B56 00008B7C ?GetClassID@CFont@@UAGJPAU_GUID@@@Z
00008B81 00008B86 ?InitNew@CFont@@UAGJXZ
00008B8B 00008C2D ?Save@CFont@@UAGJPAUIStream@@H@Z
00008C32 00008C55 ?GetSizeMax@CFont@@UAGJPAT_ULARGE_INTEGER@@@Z
00008C5A 00008C8C ?LogErr@@YGXPAUIErrorLog@@PBGJ@Z
00008C91 00008CC2 ?ReadProp@@YGJPAUIPropertyBag@@PBGPAUtagVARIANT@@PAUIErrorLog@@@Z
00008CC7 00008EC3 ?Load@CFont@@UAGJPAUIPropertyBag@@PAUIErrorLog@@@Z
00008EC8 00009056 ?Save@CFont@@UAGJPAUIPropertyBag@@HH@Z
0000905B 0000909B ?QueryFontInfo@CFont@@QAEJPAUHFONT__@@PAUtagTEXTMETRICW@@QAG@Z
000090A0 000091DB ?UpdateFr@CFont@@QAEJPAUHFONT__@@PAUtagTEXTMETRICW@@QAG@Z
000091E0 00009248 ?FrEq@@YGHPAUFR@@0@Z
0000924D 000092B3 ?FindMatchingFont@CFont@@QAEJPAH@Z
000092B8 000093F8 ?CreateMatchingFont@CFont@@QAEJPAPAUHFONT__@@@Z
000093FD 0000949D ?NewFcr@CFont@@QAEJPAH@Z
000094A2 000094F3 ?FindConnectionPoint@CFont@@UAGJABU_GUID@@PAPAUIConnectionPoint@@@Z
000094F8 0000952D ?InitFontObject@CFont@@SGJXZ
00009532 00009585 ?UninitFontObject@CFont@@SGJXZ
0000958A 000095E7 ??1CFontEventsCP@@QAE@XZ
000095EC 00009602 ?Release@CFontEventsCP@@UAGKXZ
00009607 00009622 ?GetConnectionInterface@CFontEventsCP@@UAGJPAU_GUID@@@Z
00009627 00009693 ?Advise@CFontEventsCP@@UAGJPAUIUnknown@@PAK@Z
00009698 000096E5 ?Unadvise@CFontEventsCP@@UAGJK@Z
000096EA 00009761 ?EnumConnections@CFontEventsCP@@UAGJPAPAUIEnumConnections@@@Z
00009766 0000981F ?Notify@CFontEventsCP@@QAEJJ@Z
00009824 0000985D ?QueryGetData@CFont@@UAGJPAUtagFORMATETC@@@Z
00009862 0000986A ?Seek@CStreamDummy@@UAGJT_LARGE_INTEGER@@KPAT_ULARGE_INTEGER@@@Z
0000986F 00009877 ?Clone@CStreamDummy@@UAGJPAPAUIStream@@@Z
0000987C 00009B7E ?SetPropsetData@CFont@@QAEJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@ABU_GUID@@@Z
00009BA7 00009BE2 ?IncFontObjs@CFont@@SGXXZ
00009BE7 00009C30 ?DecFontObjs@CFont@@SGXXZ
00009C35 00009DAD ?UpdateFont@CFont@@QAEJXZ
00009DB2 00009E17 ?DiscardFont@CFont@@QAEJHJ@Z
00009E1C 00009E43 ??0CFontEventsCP@@QAE@PAUIConnectionPointContainer@@@Z
00009E48 00009EA2 ?SetData@CFont@@UAGJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@H@Z
00009EA7 0000A1E3 ?GetPropsetData@CFont@@QAEJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@ABU_GUID@@@Z
0000A1E8 0000A29D ??0CFont@@QAE@XZ
0000A347 0000A3E1 ??1CFont@@QAE@XZ
0000A3E6 0000A440 ?CreateFontW@@YGJPAPAUIUnknown@@@Z
0000A445 0000A52C _OleCreateFontIndirect@12
0000A531 0000A552 ??_GCFont@@QAEPAXI@Z
0000A557 0000A5CE ?get_Name@CFont@@UAGJPAPAG@Z
0000A5D3 0000A627 ?put_Name@CFont@@UAGJPAG@Z
0000A62C 0000A66B ?get_Size@CFont@@UAGJPATtagCY@@@Z
0000A670 0000A6F9 ?put_Size@CFont@@UAGJTtagCY@@@Z
0000A6FE 0000A73B ?get_Bold@CFont@@UAGJPAH@Z
0000A740 0000A772 ?put_Bold@CFont@@UAGJH@Z
0000A777 0000A7B3 ?get_Italic@CFont@@UAGJPAH@Z
0000A7B8 0000A7EF ?put_Italic@CFont@@UAGJH@Z
0000A7F4 0000A831 ?get_Underline@CFont@@UAGJPAH@Z
0000A836 0000A86F ?put_Underline@CFont@@UAGJH@Z
0000A874 0000A8B1 ?get_Strikethrough@CFont@@UAGJPAH@Z
0000A8B6 0000A8EF ?put_Strikethrough@CFont@@UAGJH@Z
0000A8F4 0000A92C ?get_Weight@CFont@@UAGJPAF@Z
