00005D59 00005D7A ??_GCAtomObject@@UAEPAXI@Z
00005D7F 00005DAA ??1CAtomObject@@UAE@XZ
00005DAF 00005DF0 ?InternalAllocateTLS@TLS@@CGPAV1@XZ
00005DF5 00005E0D ?UninitFilterList@@YGXXZ
00005E12 00005EA4 ?InitAimmAtom@@YGHXZ
00005EA9 00005EC1 ?UninitAimmAtom@@YGXXZ
00005EC6 00005EE3 ?FilterClientWindows@CProcessIMM@@UAGJPAGI@Z
00005EE8 00005EFF ?GetGuidAtom@CComActiveIMMApp@@UAGJPAUHIMC__@@EPAK@Z
00005F04 00005F29 ?GetCodePageA@CComActiveIMMApp@@UAGJPAUHKL__@@PAI@Z
00005F2E 00005F4E ?GetLangId@CComActiveIMMApp@@UAGJPAUHKL__@@PAG@Z
00005F53 0000605F ?QueryService@CComActiveIMMApp@@UAGJABU_GUID@@0PAPAX@Z
00006064 000060E8 ?SetThreadCompartmentValue@CComActiveIMMApp@@UAGJABU_GUID@@PAUtagVARIANT@@@Z
000060ED 0000615B ?GetThreadCompartmentValue@CComActiveIMMApp@@UAGJABU_GUID@@PAUtagVARIANT@@@Z
00006160 000061F9 ?OnDefWindowProc@CComActiveIMMApp@@UAGJPAUHWND__@@IIJPAJ@Z
000061FE 0000629C ?Activate@CComActiveIMMApp@@UAGJH@Z
000062A1 00006327 ?Deactivate@CComActiveIMMApp@@UAGJXZ
0000632C 00006373 ?RemoveAll@?$CMap@PAUHWND__@@PAU1@PAUHIMC__@@PAU2@@@QAEXXZ
00006378 0000639B ??0CGuidMapList@@QAE@XZ
000063A0 000063D2 ??_GCGuidMapList@@UAEPAXI@Z
000063D7 00006421 ?InitFilterList@@YGHXZ
00006426 00006453 ?FilterClientWindowsGUIDMap@CComActiveIMMApp@@UAGJPAGIPAH@Z
00006458 00006482 ?FilterClientWindowsEx@CComActiveIMMApp@@UAGJPAUHWND__@@H@Z
00006487 000064AE ?UnfilterClientWindowsEx@CComActiveIMMApp@@UAGJPAUHWND__@@@Z
000064B3 000064FC ?QueryValueCchW@CMyRegKey@@UAEJPAGPBGK@Z
00006501 00006542 ?VerifyCreateInstance@CActiveIMMApp@@SGHPAUIUnknown@@ABU_GUID@@PAPAX@Z
00006547 0000657B ?PostCreateInstance@CActiveIMMApp@@SGXABU_GUID@@PAX@Z
00006580 0000659B ??$CompareElements@GG@@YGHPBG0@Z
000065A0 000065E8 ?GetAssocAt@?$CMap@GGUFILTER_CLIENT@CFilterList@@U12@@@ABEPAUCAssoc@1@GAAI@Z
000065ED 0000660B ?FreeAssoc@?$CMap@PAUHWND__@@PAU1@UGUID_MAP_CLIENT@CGuidMapList@@U23@@@AAEXPAUCAssoc@1@@Z
00006610 00006662 ??A?$CMap@IIII@@QAEAAII@Z
00006667 00006696 ?_Remove@CGuidMapList@@QAEJPAUHWND__@@@Z
0000669B 00006739 ?_IsGuidMapEnable@CGuidMapList@@QAEHPAUHIMC__@@PAH@Z
0000673E 00006794 ?_IsWindowFiltered@CGuidMapList@@QAEHPAUHWND__@@@Z
00006799 000067AF ?SetAt@?$CMap@GGUGUID_MAP_CLIENT@CGuidMapList@@U12@@@QAEXGUGUID_MAP_CLIENT@CGuidMapList@@@Z
000067B4 000067CA ?SetAt@?$CMap@PAUHKL__@@PAU1@HH@@QAEXPAUHKL__@@H@Z
000067CF 00006842 ?_Update@CGuidMapList@@QAEJPAGIPAH@Z
00006847 00006885 ?_Update@CGuidMapList@@QAEJPAUHWND__@@H@Z
0000688A 000068BE ?_Activate@CAtomObject@@QAEJXZ
000068C3 000068F8 ?_Deactivate@CAtomObject@@QAEJXZ
000068FD 0000691A ?StringCchCopyA@@YGJPADIPBD@Z
0000691F 0000697E ?_InitAtom@CAtomObject@@QAEJPBD@Z
00006983 00006989 ?GetServerHINSTANCE@@YGPAUHINSTANCE__@@XZ
0000698E 000069DC ?GetCompartment@@YGJPAUIUnknown@@ABU_GUID@@PAPAUITfCompartment@@@Z
000069E1 000069FC _MsimtfIsWindowFiltered@4
00006A01 00006A1C _MsimtfIsGuidMapEnable@8
00006A21 00006A53 ?ImmCreateContext@imm32@@YGPAUHIMC__@@XZ
00006A6A 00006AA5 ?ImmDestroyContext@imm32@@YGHPAUHIMC__@@@Z
00006ABF 00006AFA ?ImmAssociateContext@imm32@@YGPAUHIMC__@@PAUHWND__@@PAU2@@Z
00006B15 00006B50 ?ImmAssociateContextEx@imm32@@YGHPAUHWND__@@PAUHIMC__@@K@Z
