00039D1A 00039D97 ??0CLoadInfoHolder@@QAE@KKK@Z
00039D9C 00039DD7 ??1CLoadInfoHolder@@QAE@XZ
00039DDC 00039E17 ??0VGXTag@@QAE@PAG@Z
00039E1C 00039E35 ??0NamespaceMap@@QAE@XZ
00039E3A 00039E58 ??1NamespaceMap@@QAE@XZ
00039E5D 00039EAD ?GetName@NamespaceMap@@QBEPBGW4NAMESPACES_OFFICE@@@Z
00039EEE 00039FBE ?SetTopLeft@@YGJPAUIHTMLStyle@@NI_N@Z
00039FC3 00039FE0 ?OnDocumentReady@CTagFactory@@QAEXXZ
00039FE5 0003A00B ?GetClassID@CSimpleTag@@QAEJPAU_GUID@@@Z
0003A010 0003A035 ??0DXSurfaceDC@@QAE@PAUIDirectDrawSurface@@@Z
0003A03A 0003A0CB ?GetCategory@CPTBehaviorCategory@@UAGJPAPAG@Z
0003A0D0 0003A0E8 ?GetLayoutInfo@CParserTag@@UAGJPAJ@Z
0003A12B 0003A1F4 ?WordBorderRemap@CParserTag@@AAEPAGW4VGXTagNameKeys@@@Z
0003A2A3 0003A2CD ??3CSimpleTagPropBag2@@SGXPAX@Z
0003A2D2 0003A2FC ??3CParserTagPropBag2@@SGXPAX@Z
0003A301 0003A32B ??3CPTBehaviorCategory@@SGXPAX@Z
0003A330 0003A381 ?QueryInterface@CShapeDraw@@UAGJABU_GUID@@PAPAX@Z
0003A386 0003A3A8 ??_GCShapeDraw@@QAEPAXI@Z
0003A3AD 0003A3F4 ?DrawShape@CShapeDraw@@UAGJPAUHDC__@@PAUtagRECT@@@Z
0003A3F9 0003A41D ??1?$CComObject@VCPTBehaviorCategory@@@ATL@@QAE@XZ
0003A422 0003A440 ??0?$CComPtr@UIHTMLDocument2@@@ATL@@QAE@PAUIHTMLDocument2@@@Z
0003A445 0003A469 ??0?$CComQIPtr@UIHTMLDocument2@@$1?IID_IHTMLDocument2@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A46E 0003A492 ??0?$CComQIPtr@UIHTMLStyle2@@$1?IID_IHTMLStyle2@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A497 0003A4BB ??0?$CComQIPtr@UIHTMLEventObj@@$1?IID_IHTMLEventObj@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A4C0 0003A4E4 ??0?$CComQIPtr@UIHTMLWindow2@@$1?IID_IHTMLWindow2@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A4E9 0003A50D ??0?$CComQIPtr@UIHTMLElement2@@$1?IID_IHTMLElement2@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A512 0003A536 ??0?$CComQIPtr@UIHTMLEventObj2@@$1?IID_IHTMLEventObj2@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A53B 0003A55F ??0?$CComQIPtr@VIInternalPeer@@$1?IID_IInternalPeer@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A564 0003A588 ??0?$CComQIPtr@UIElementBehaviorSiteCategory@@$1?IID_IElementBehaviorSiteCategory@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A58D 0003A5BB ??0?$stackArray@W4VGXTagNameKeys@@$0EA@@@QAE@K@Z
0003A5C0 0003A5DB ??1?$stackArray@PAG$0EA@@@QAE@XZ
0003A5E0 0003A60E ??0?$stackArray@UtagPROPBAG2@@$0EA@@@QAE@K@Z
0003A613 0003A62E ??1?$stackArray@UtagPROPBAG2@@$0EA@@@QAE@XZ
0003A633 0003A661 ??0?$stackArray@UtagVARIANT@@$0EA@@@QAE@K@Z
0003A666 0003A681 ??1?$stackArray@UtagVARIANT@@$0EA@@@QAE@XZ
0003A686 0003A6AA ??0?$CComQIPtr@UIHTMLImgElement@@$1?IID_IHTMLImgElement@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
