0000C563 0000C584 ??_GINTERNET_HANDLE_OBJECT@@UAEPAXI@Z
0000C5A2 0000C5BB __chkstk
0000C5C8 0000C678 ??0HANDLE_OBJECT@@QAE@PAV0@@Z
0000C67D 0000C785 _AllocateHandle@8
0000C78A 0000C815 ?IsDialUpConnection@@YGHHPAK@Z
0000C81A 0000C851 ?IsLanConnection@@YGHPAK@Z
0000C856 0000C8C8 ?FixProxySettings@@YGKPAGHK@Z
0000C8CD 0000C92F ?CheckForUpgrade@@YGXXZ
0000C934 0000C988 ?FindBaseProxyKey@@YGPAVCRefdKey@@XZ
0000C9D2 0000CA02 _DoConnectoidsExist@0
0000CA07 0000CA0B ?GetConnectionsCount@RasEnumConnHelp@@QAEKXZ
0000CA10 0000CA79 ?Enum@RasEnumConnHelp@@QAEKXZ
0000CA7E 0000CA93 ?_RasEnumConnectionsW@@YGKPAUtagRASCONNW@@PAK1@Z
0000CA9D 0000CADF ?DoFsm@@YGKPAVCFsm@@@Z
0000CAE4 0000CB5E ?Run@CFsm@@QAEKPAU_INTERNET_THREAD_INFO@@PAK1@Z
0000CB63 0000CBD4 ?FixProxySettingsForCurrentConnection@@YGHH@Z
0000CBD9 0000CBE7 _IsOffline@0
0000CBEC 0000CC23 ?RunSM@CFsm_HttpSendRequest@@SGKPAVCFsm@@@Z
0000CCFD 0000CD15 ?IsAlloced@AUTO_PROXY_ASYNC_MSG@@QBEHXZ
0000CD1A 0000D12F ?HttpSendRequest_Start@HTTP_REQUEST_HANDLE_OBJECT@@QAEKPAVCFsm_HttpSendRequest@@@Z
0000D134 0000D13F ??1CFsm@@UAE@XZ
0000D13F 0000D159 ?Pop@CFsm@@QAEXXZ
0000D179 0000D1B0 ?Connect@ICSocket@@UAEKJHK@Z
0000D1B5 0000D1D6 ?RunSM@CFsm_SocketConnect@@SGKPAVCFsm@@@Z
0000D1DB 0000D426 ?Connect_Start@ICSocket@@QAEKPAVCFsm_SocketConnect@@@Z
0000D42B 0000D44B ?RunSM@CFsm_OpenConnection@@SGKPAVCFsm@@@Z
0000D450 0000D6AC ?OpenConnection_Fsm@HTTP_REQUEST_HANDLE_OBJECT@@QAEKPAVCFsm_OpenConnection@@@Z
0000D6B1 0000D6D1 ?RunSM@CFsm_SendRequest@@SGKPAVCFsm@@@Z
0000D6D6 0000D870 ?SendRequest_Fsm@HTTP_REQUEST_HANDLE_OBJECT@@QAEKPAVCFsm_SendRequest@@@Z
0000D875 0000D895 ?RunSM@CFsm_MakeConnection@@SGKPAVCFsm@@@Z
0000D89A 0000D950 ?MakeConnection_Fsm@HTTP_REQUEST_HANDLE_OBJECT@@QAEKPAVCFsm_MakeConnection@@@Z
0000D955 0000D989 ?OpenConnection@HTTP_REQUEST_HANDLE_OBJECT@@QAEKHH@Z
0000D992 0000D9D9 ?InternetAutodialIfNotLocalHost@@YGHPAD0@Z
0000D9DE 0000DA1E ?GetNextAddress@CAddressList@@QAEHPAK0GPAU_CSADDR_INFO@@@Z
0000DA23 0000DA49 ??1AUTO_PROXY_ASYNC_MSG@@QAE@XZ
0000DA4E 0000DA6F ??_GCFsm_SecureHandshake@@UAEPAXI@Z
0000DA74 0000DA86 ?FreeList@CAddressList@@QAEXXZ
0000DA8B 0000DAA2 ?IsEmpty@PROXY_STATE@@QBEHXZ
0000DAA7 0000DAC2 ?Dereference@ICSocket@@QAEHXZ
0000DAC7 0000DB2F ?SetLinger@ICSocket@@QAEKHH@Z
0000DB41 0000DB62 ??_ECFsm_SendRequest@@UAEPAXI@Z
0000DB67 0000DB8B ??1CFsm_SendRequest@@UAE@XZ
0000DBB5 0000DBD3 ?ResetAbortHandle@INTERNET_HANDLE_OBJECT@@QAEXXZ
0000DBD8 0000DBEC ?ReadTimer@CFsm@@QAEKXZ
0000DBF1 0000DC48 ?Connect_Continue@ICSocket@@QAEKPAVCFsm_SocketConnect@@@Z
0000DC4D 0000DC6C ?StopTimer@CFsm@@QAEKXZ
0000DC71 0000DCB5 ?GetProxyInfo@INTERNET_HANDLE_OBJECT@@QAEKPAPAVAUTO_PROXY_ASYNC_MSG@@@Z
0000DCBA 0000DE65 ?UpdateProxyInfo@HTTP_REQUEST_HANDLE_OBJECT@@QAEKPAVCFsm_HttpSendRequest@@H@Z
0000DE6A 0000DE7E ?GetURL@INTERNET_CONNECT_HANDLE_OBJECT@@QAEPADXZ
0000DE83 0000DEA1 ?ResolveHost@CServerInfo@@QAEKPAKK@Z
0000DEA6 0000DEEA ?ResolveHost@CAddressList@@QAEKPADPAKK@Z
0000DEEF 0000DF10 ?RunSM@CFsm_ResolveHost@@SGKPAVCFsm@@@Z
0000DF15 0000E095 ?ResolveHost_Fsm@CAddressList@@QAEKPAVCFsm_ResolveHost@@@Z
0000E09A 0000E100 ?QueryProxySettings@HTTP_REQUEST_HANDLE_OBJECT@@QAEKPAVCFsm_HttpSendRequest@@PAVINTERNET_HANDLE_OBJECT@@PAUURL_COMPONENTSA@@@Z
0000E105 0000E1CC ?QueryProxySettings@PROXY_INFO_GLOBAL@@UAEKPAPAVAUTO_PROXY_ASYNC_MSG@@@Z
0000E1D1 0000E1E1 ?IsProxyEnumeration@AUTO_PROXY_ASYNC_MSG@@QBEHXZ
0000E1E6 0000E296 ?QueryProxySettings@AUTO_PROXY_DLLS@@QAEKPAPAVAUTO_PROXY_ASYNC_MSG@@@Z
0000E29B 0000E396 ?QueueAsyncAutoProxyRequest@AUTO_PROXY_DLLS@@QAEKPAPAVAUTO_PROXY_ASYNC_MSG@@@Z
0000E3A3 0000E3B4 _InternetGetMappedObjectHandle@0
0000E3B9 0000E3E8 _InternetIndicateStatusString@8
0000E3ED 0000E403 ?StartTimer@CFsm@@QAEXXZ
0000E417 0000E449 ??0ICSocket@@QAE@XZ
0000E44E 0000E4EA ??0CFsm_SocketConnect@@QAE@JHKPAVICSocket@@@Z
0000E4EF 0000E529 ??0CFsm_ResolveHost@@QAE@PADPAKKPAVCAddressList@@@Z
0000E52E 0000E56C ??0CFsm_SendRequest@@QAE@PAXKPAVHTTP_REQUEST_HANDLE_OBJECT@@@Z
0000E571 0000E59D ?GetSocksProxyName@HTTP_REQUEST_HANDLE_OBJECT@@QAEXPAPADPAKPAG@Z
0000E5A2 0000E5DA ??0CFsm_OpenConnection@@QAE@HPAVHTTP_REQUEST_HANDLE_OBJECT@@H@Z
0000E5DF 0000E60D ??0CFsm_MakeConnection@@QAE@PAVHTTP_REQUEST_HANDLE_OBJECT@@@Z
0000E612 0000E62C ?HttpFiltOnRequest@@YGHPAX@Z
0000E631 0000E65D ?GetProxyName@HTTP_REQUEST_HANDLE_OBJECT@@QAEXPAPADPAKPAG@Z
0000E662 0000E6E2 _QueryResolverCache@16
0000E6E7 0000E6F8 ?RemoveAllRequestHeadersByName@HTTP_REQUEST_HANDLE_OBJECT@@QAEXK@Z
0000E6F8 0000E71D ?RemoveAllByIndex@HTTP_HEADERS@@QAEXK@Z
0000E722 0000E742 ?Match@CServerInfo@@QAEHKPAD@Z
0000E747 0000E774 ?Strcmp@ICSTRING@@QAEHPAD@Z
0000E779 0000E7A8 _GetTimeoutValue@4
0000E7AD 0000E7DD _RGetTimeout@12
0000E7E2 0000E816 ?GetTimeout@INTERNET_HANDLE_OBJECT@@QAEKK@Z
0000E81B 0000E8DD ?AuthOnRequest@@YGKPAX@Z
0000E8E2 0000E8FE ?SearchPwcList@AUTHCTX@@SGPAUPWC@@PAU2@PADK11PAVSPMData@1@@Z
0000E903 0000E979 ??0CFsm_GetConnection@@QAE@KGKKPAPAVICSocket@@PAVCServerInfo@@PAD@Z
0000E985 0000E9A6 ??_GCFsm_GetConnection@@UAEPAXI@Z
0000E9AB 0000E9CC ??1CFsm_GetConnection@@UAE@XZ
0000E9D1 0000EA05 ?RunSM@CFsm_GetConnection@@SGKPAVCFsm@@@Z
0000EA0A 0000EB54 ?GetConnection_Fsm@CServerInfo@@QAEKPAVCFsm_GetConnection@@@Z
0000EB59 0000EB8C ?KeepAliveWaiters@CServerInfo@@AAEHXZ
0000EB91 0000EC19 ?SetServerInfo@INTERNET_CONNECT_HANDLE_OBJECT@@QAEKPADK@Z
0000EC1E 0000EC2F ?ReleaseServerInfo@@YGXPAVCServerInfo@@@Z
0000EC34 0000EC68 ?ModifyRequest@HTTP_REQUEST_HANDLE_OBJECT@@QAEKW4HTTP_METHOD_TYPE@@PADK1K@Z
0000EC6D 0000ED8F ?ModifyRequest@HTTP_HEADERS@@QAEKW4HTTP_METHOD_TYPE@@PADK1K@Z
0000ED94 0000EF08 ?UpdateRequestInfo@HTTP_REQUEST_HANDLE_OBJECT@@QAEKPAVCFsm_HttpSendRequest@@PADKPAUURL_COMPONENTSA@@PAPAVCServerInfo@@@Z
0000EF0D 0000EF2F ?IsRequestHttp1_1@HTTP_REQUEST_HANDLE_OBJECT@@QAEHXZ
0000EFB0 0000F003 ?FindKeepAliveConnection@CServerInfo@@AAEPAVICSocket@@KGPAD@Z
0000F014 0000F03D ?FastFindHeader@HTTP_HEADERS@@QAEKPADKPAPAXPAKK@Z
0000F042 0000F06A ?FastFind@HTTP_HEADERS@@QAEKKK@Z
0000F06F 0000F095 ?FastQueryRequestHeader@HTTP_REQUEST_HANDLE_OBJECT@@QAEKKPAPAXPAKK@Z
0000F0DC 0000F105 _InternetIndicateStatusAddress@12
0000F10A 0000F168 ?SetSourcePort@ICSocket@@QAEXXZ
0000F231 0000F2F5 _AddResolverCacheEntry@12
0000F2FA 0000F381 ?CreateCacheEntry@@YGPAURESOLVER_CACHE_ENTRY@@PADPAUaddrinfo@@K@Z
0000F386 0000F3B8 ?SetList@CAddressList@@QAEKPAUaddrinfo@@@Z
0000F3BD 0000F4F4 ?AddrInfoToAddressList@CAddressList@@AAEKPAUaddrinfo@@@Z
