00008A2A 00008A9C ?CreateLastVisitedItem@@YGPAEPBG0PAK@Z
00008A9C 00008AD7 __SEH_prolog
00008AD7 00008AE8 __SEH_epilog
0000C9F5 0000C9F6 nullsub_1
0000CF8D 0000CFAF _IsRTL@4
0000CFB4 0000D015 _HiLiteBox@12
0000D01A 0000D126 _ChangeBoxFocus@8
0000D12B 0000D249 _ColorKeyDown@16
0000D24E 0000D344 _SetupRainbowCapture@4
0000D349 0000D44A _WantArrows@16
0000D44F 0000D489 _MapColor@8
0000D48E 0000D4C7 _ThunkChooseColorA2W@4
0000D4CC 0000D4FF _ThunkChooseColorW2A@4
0000D504 0000D540 _Ssync_ANSI_UNICODE_CC_For_WOW@8
0000D545 0000D59D _ChangeBoxSelection@8
0000D5A2 0000D5F9 _FillBox@16
0000D5FE 0000D64D _PaintBox@12
0000D652 0000D83C _InitScreenCoords@8
0000D841 0000D8CF _ColorPaint@16
0000D8D4 0000D916 _ChangeColorBox@8
0000D91B 0000DC1A _InitColor@12
0000DC1F 0000EBB4 _ColorDlgProc@16
0000EC75 0000EE31 _ChooseColorX@4
0000EE36 0000EF44 _ChooseColorA@4
0000EF49 0000EF86 _ChooseColorW@4
0000EF8B 0000EFFC _LumArrowPaint@12
0000F001 0000F05A _EraseLumArrow@8
0000F05F 0000F143 _EraseCrossHair@8
0000F148 0000F3C2 _CrossHairPaint@16
0000F3C7 0000F4A0 _HLSPostoHLS@8
0000F4A5 0000F57F _HLStoHLSPos@8
0000F584 0000F608 _SetHLSEdit@8
0000F60D 0000F694 _SetRGBEdit@8
0000F699 0000F728 _PaintRainbow@12
0000F72D 0000F8A0 _RGBtoHLS@4
0000F8A5 0000F913 _HueToRGB@12
0000F918 0000F9FF _HLStoRGB@12
0000FA04 0000FAEE _ChangeColorSettings@4
0000FAF3 0000FBAD _NearestSolid@4
0000FBB2 0000FD30 _InitRainbow@4
0000FD35 0000FF62 _RainbowPaint@12
0000FF67 00010031 _RGBEditChange@8
00010036 0001003B _CommDlgExtendedError@0
00010040 0001008B _HourGlass@4
00010090 000100AC _RgbInvertRgb@4
000100B1 000100C0 _IsNetworkInstalled@0
000100C5 0001010F _Ssync_ANSI_UNICODE_Struct_For_WOW@12
00010114 000101C9 _CDLoadStringEx@20
000101CE 0001022F _GetAppType@4
00010234 0001027B _GetTemplateType@4
00010280 000102A6 _StringCopyOverlap@8
000102AB 000102DD _StringCchCopyOverlap@12
000102E2 000103E2 _LoadAlterBitmap@12
000103E7 00010403 _CDLoadString@16
00010408 00010CE1 _AddNetButton@24
00010CF7 00010DEF _InitTlsValues@4
00010DF4 00010E6E _InitFilterBox@8
00010E73 0001101A _LoadDirDriveBitmap@0
0001101F 00011057 _SetRGBValues@0
0001105C 0001107C _FSetUpFile@0
00011081 000110AF _GetPathOffset@4
000110B4 000110F1 _StringCopyWorkerA@12
000110F6 00011295 _StringCopyExWorkerW@28
0001129A 000112D3 _StoreFileSizeInOFN@8
000112D8 00011329 _ProgManBugCreateFile@12
0001132E 0001139D _dwOKSubclass@16
000113A2 00011416 _dwLBSubclass@16
0001141B 000114AE _MeasureItem@8
000114B3 000114D0 _Signum@4
000114D5 0001193D _DrawItem@20
00011942 00011967 _SpacesExist@4
0001196C 00011A03 _lstrtok@8
00011A08 00011B05 _ChopText@12
00011B0A 00011BE0 _DiskAddedPreviously@8
00011BE5 00011C40 _EnableDiskInfo@8
00011C45 00011D3D _FlushDiskInfoToCmb2@0
00011D42 00011D67 _GetDiskType@4
00011D6C 00011E67 _GetUNCDirectoryFromLB@12
00011E6C 00011EBD _LNDSetEvent@4
00011EC2 00011F03 _GetDiskIndex@4
00011F08 00011F24 _CleanUpFile@0
00011F29 00011F9D _FileOpenAbort@0
00011FA2 00011FC5 _Multi_strlenA@4
00011FCA 00012044 _Multi_strcpyAtoW@12
00012049 000120D2 _ThunkMultiANSIStrToWIDE@12
000120D7 00012170 _ThunkANSIStrToWIDE@12
00012175 00012192 _StringCchCopyA@12
00012197 00012227 _TokenizeFilterString@16
0001222C 000122F4 _FoundFilterMatch@8
000122F9 000123B1 _GetAppOpenDir@12
000123B6 000123DF _StringCchPrintfW
000123E4 0001241E _StorePathOrFileSizeInOFN@8
00012423 00012638 _InvalidFileWarning@16
000126A7 0001286A _ShortenThePath@4
0001286F 00012999 _IsLFNDriveX@8
0001299E 00012A2B _CallNetDlg@4
00012A30 00012AF1 _SelDisk@8
00012AF6 00012B32 _Ssync_ANSI_UNICODE_OFN_For_WOW@8
00012B37 00012B54 _StringCchCatW@12
00012B59 00012FC2 _MultiSelectOKButton@12
00012FC7 000130C1 _StripFileName@8
000130C6 00013246 _FillOutPath@8
0001324B 000132D3 _IsFileSystemCasePreserving@4
000132D8 0001368A _AddDisk@16
0001368F 00013792 _UpdateLocalDrive@8
00013797 00013956 _GetNetDrives@4
0001395B 00013A31 _ListNetDrivesHandler@0
00013A36 00013B82 _LoadDrives@4
00013B87 0001437F _UpdateListBoxes@16
00014389 0001484C _ChangeDir@16
00014857 00014902 _InitCurrentDisk@12
00014907 00014AF8 _FListAll@16
00014AFD 000152B9 _InitFileDlg@12
000152BE 0001632D _OKButtonPressed@12
00016332 000175BE _FileOpenCmd@20
000175C3 00017631 _FileHookCmd@16
00017636 00017821 _FileOpenDlgProc@16
00017895 00017B2A _FileSaveDlgProc@16
00017B9D 00017C0B _GetOpenFileNameW@4
00017C10 00017C26 _GetSaveFileNameA@4
00017C2B 00017C8A _GetSaveFileNameW@4
00017C8F 00017D86 _SetupOK@12
00017DC9 00017E63 _GetDlgTemplate@12
00017E68 0001805B _InitControlsWithFlags@16
00018060 00018108 _UpdateTextAndFlags@20
0001810D 00018138 _NotifyUpdateTextAndFlags@4
0001813D 00018192 _EndDlgSession@8
00018197 00018470 _FindReplaceDlgProc@16
000184D5 000185AF _CreateFindReplaceDlg@12
000185B4 000185C9 _FindTextA@4
000185CE 000185E3 _FindTextW@4
000185E8 000185FD _ReplaceTextA@4
00018602 00018617 _ReplaceTextW@4
0001861C 0001867C _IsSimplifiedChineseUI@0
00018693 000186C6 _HideDlgItem@8
000186CB 00018716 _FixComboHeights@4
0001871B 000187CE _SelectStyleFromLF@8
000187D3 0001882A _CBSetTextFromSel@4
0001882F 0001884B _CBFindString@8
00018850 00018A5A _GetPointSizeInRange@16
00018A5F 00018A87 _CharsetToCodepage@4
00018B0D 00018BC3 _ResetSampleFromScript@12
00018BC8 00018C13 _DoKoreanHack@4
00018C18 00018C38 _CmpFontType@8
00018C3D 00018E01 _FontFamilyEnumProc@16
00018E06 00018FF1 _GetFontFamily@16
00018FF6 000190DA _CBAddSize@12
000190DF 0001918C _CBAddChineseSize@8
00019191 00019212 _InsertStyleSorted@12
00019217 000192B9 _CBAddStyle@16
000192BE 00019345 _CBAddScript@12
0001934A 000194E8 _FillInMissingStyles@4
000194ED 000195A0 _FillScalableSizes@8
000195A5 0001962E _FreeFonts@4
00019633 000196A6 _FreeAllItemData@8
000196AB 0001971B _InitLF@4
00019720 000197B2 _FontScriptEnumProc@16
000197B7 00019836 _FillColorCombo@4
0001983B 00019919 _DrawSizeComboItem@4
0001991E 00019AE2 _DrawFamilyComboItem@4
00019AE7 00019C52 _DrawColorComboItem@4
00019C57 00019C97 _SetLogFont@12
00019C9C 00019D99 _GetPointString@16
00019D9E 00019DBA _FlipColor@4
00019DBF 00019EB5 _LoadBitmaps@4
00019EBA 00019FE6 _LookUpFontSubs@12
0001A067 0001A0E0 _GetUnicodeSampleText@12
0001A0E5 0001A150 _ThunkLogFontA2W@8
0001A155 0001A1C8 _ThunkLogFontW2A@8
0001A1CD 0001A1FC _CBSetSelFromText@8
0001A201 0001A269 _CBGetTextAndData@16
0001A26E 0001A435 _FontStyleEnumProc@16
0001A43A 0001A94B _GetFontStylesAndSizes@16
0001A950 0001ACF4 _FillInFont@20
0001AD39 0001ADBF _ThunkChooseFontA2W@4
0001ADC4 0001AE49 _ThunkChooseFontW2A@4
0001AE4E 0001AE87 _Ssync_ANSI_UNICODE_CF_For_WOW@8
0001AE8C 0001AF3C _SetStyleSelection@12
0001AF41 0001B3FD _HandleFontDlgInitialize@12
0001B402 0001B987 _ProcessDlgCtrlCommand@20
0001B98C 0001BC13 _DrawSampleText@16
0001BC18 0001BF0C _FormatCharDlgProc@16
0001BFA5 0001C1BC _ChooseFontX@4
0001C1C1 0001C3D0 _ChooseFontA@4
0001C3E1 0001C40F _ChooseFontW@4
0001C414 0001C447 _PathRemoveBslash@4
0001C44C 0001C476 _IsDirectory@4
0001C47B 0001C565 _AppendExt@16
0001C56A 0001C5F2 _WriteProtectedDirCheck@4
0001C601 0001C6C6 _FOkToWriteOver@8
0001C6CB 0001C79B _CreateFileDlg@8
0001C98A 0001CAFB _PrintLoadIcons@0
0001CB00 0001CB60 _PrintEditMarginProc@16
0001CB65 0001CBB3 _PrintLoadResource@12
0001CBB8 0001CC67 _PrintGetDefaultPrinterName@8
0001CC6C 0001CDF7 _PrintSetupMargins@8
0001CDFC 0001CE40 _PrintSearchForPrinter@8
0001CE45 0001CEB0 _PrintMeasureItem@8
0001CEB5 0001D039 _PrintInitOrientation@12
0001D03E 0001D0FC _PrintInitDuplex@8
0001D101 0001D211 _PrintSetDuplex@12
0001D216 0001D4D9 _PrintInitPaperCombo@32
0001D4DE 0001D59E _PrintEditError
0001D5A3 0001D620 _PrintGetPrinterInfo2@4
0001D625 0001D6BC _PrintIsPrinterNameTruncated@8
0001D6C1 0001D701 _ConvertStringToInteger@4
0001D706 0001D786 _FreePrinterArray@4
0001D78B 0001D7BB _TransferPSD2PD@4
0001D7C0 0001D7F0 _TransferPD2PSD@4
0001D7F5 0001D82A _TransferPSD2PDA@4
0001D82F 0001D864 _TransferPDA2PSD@4
0001D869 0001D920 _ThunkPageSetupDlg@8
0001D925 0001D956 _FreeThunkPageSetupDlg@4
0001D95B 0001DB02 _ThunkPrintDlg@8
0001DB07 0001DB5D _FreeThunkPrintDlg@4
0001DB62 0001DD5F _ThunkDevModeA2W@8
0001DD64 0001DEE0 _ThunkDevModeW2A@8
0001DEE5 0001DF1E _AllocateUnicodeDevMode@4
0001DF23 0001DF5C _AllocateAnsiDevMode@4
0001DF61 0001DFE0 _SetCopiesEditWidth@8
0001DFE5 0001E010 _CountDigits@4
0001E015 0001E11F _PrintDisplaySetupDlg@4
0001E124 0001EBFD _PrintPageSetupPaintProc@16
0001ED99 0001EF20 _PrintSetCopies@12
0001EF25 0001F1C0 _PrintSetMinMargins@12
0001F1C5 0001F2C6 _PrintSetMargin@16
0001F303 0001F5C8 _PrintInitQuality@12
0001F601 0001F663 _PrintCancelPrinterChanged@8
0001F668 0001F7A7 _PrintGetExtDeviceMode@8
0001F7AC 0001FA7E _PrintBuildDevNames@4
0001FA83 0001FB64 _PrintGetDevMode@16
0001FB69 0001FC27 _PrintReturnICDC@12
0001FC2C 0001FC7F _PrintOpenPrinter@8
0001FC84 0001FCB0 _PrintClosePrinters@4
0001FCB5 0001FD34 _UpdateSpoolerInfo@4
0001FD39 0001FDE2 _ThunkPrintDlgA2W@4
0001FDE7 0001FEC3 _ThunkPrintDlgW2A@4
0001FEC8 0001FF04 _Ssync_ANSI_UNICODE_PD_For_WOW@8
0001FF09 0001FFC2 _ComboBoxGetLBText@16
0001FFC7 00020090 _PrintReturnDefault@4
00020095 000201B1 _PrintGetMargin@20
000201C1 000202BF _PrintCreateBanner@16
000202C9 00020667 _PrintUpdateStatus@8
0002067B 00020769 _PrintGetSetupInfo@8
0002076E 000209B6 _PrintEnumAndSelect@20
000209BB 00020FE6 _PrintUpdatePageSetup@20
00020FEB 0002109F _PrintInitGeneral@12
000210A4 00021346 _PrintInitBannerAndQuality@12
0002134B 000213E4 _PrintSetOrientation@20
000213E9 00021825 _PrintInitPrintDlg@12
0002182A 00021D41 _PrintInitSetupDlg@12
00021D46 00021F43 _PrintUpdateSetupDlg@16
00021F48 00022121 _PrintChangeProperties@12
00022126 00022478 _PrintPrinterChanged@12
0002247D 00023170 _PrintDlgProc@16
00023285 00023381 _PrintDisplayPrintDlg@4
00023386 00023960 _PrintDlgX@4
00023965 00023B64 _PageSetupDlgX@4
