0000ED1B 0000ED91 ?FreeMessagesFromConnection@@YGKPAUldap_request@@PAUldap_connection@@@Z
0000ED96 0000F0BA ?LdapResendRequests@@YGKPAUldap_connection@@@Z
0000F0BF 0000F47B _LdapAutoReconnect@4
0000F480 0000F4DB ?LdapMakeServiceNameFromHostName@@YGPAGPAG@Z
0000F4ED 0000F87C ?LdapGetServiceNameForBind@@YGKPAUldap_connection@@PAUl_timeval@@K@Z
0000F909 0000F939 _LdapAuthError@4
0000F93E 0000FA6F _LdapDetermineServerVersion@12
0000FAD1 0001038A _LdapBind@20
000103A3 00010400 _ldap_simple_bindW
00010405 00010462 _ldap_simple_bind_sW
00010467 000104C2 _ldap_bindW
000104C7 00010522 _ldap_bind_sW
00010527 00010605 ?LdapNonUnicodeBind@@YGKPAUldap@@PAD1KE@Z
0001060A 00010626 _ldap_simple_bind
0001062B 00010647 _ldap_simple_bind_s
0001064C 00010666 _ldap_bind
0001066B 00010685 _ldap_bind_s
0001068A 0001070A ?FreeCachePage@@YGXPAU_CACHEHOLDER@@@Z
0001070F 00010835 ?AllAttributesAreCacheable@@YGKPAUldap_connection@@QAPAGE@Z
0001083A 000109EA ?RetrieveFromCache@@YGEPAUldap_connection@@PAGEPAHPAPAPAG@Z
000109EF 00010A5F ?ValidateServerReturnedAttrList@@YGEPAUldap_connection@@PAUldapmsg@@@Z
00010A64 00010D6C ?CopyResultToCache@@YGEPAUldap_connection@@PAUldapmsg@@@Z
00010D71 0001101C ?FabricateLdapResult@@YGKPAUldap_request@@PAUldap_connection@@PAGQAPAGE@Z
00011021 00011128 ?AccessLdapCache@@YGKPAUldap_request@@PAUldap_connection@@PAGK2QAPAGKE@Z
0001112D 000112BA ?SendLdapCompare@@YGKPAUldap_request@@PAUldap_connection@@PAPAVCLdapBer@@PAGJ@Z
000112BF 0001148F ?LdapCompare@@YGKPAUldap_connection@@PAG11PAUberval@@EEPAPAUldapcontrolW@@3PAK@Z
00011494 000114F7 _ldap_compareW
000114FC 00011565 _ldap_compare_extW
0001156A 0001168E _ldap_compare_extA
00011693 00011746 _ldap_compare_ext_sW
0001174B 00011897 _ldap_compare_ext_sA
0001189C 000118C8 _ldap_compare
000118CD 000118ED _ldap_compare_sW
000118F2 00011912 _ldap_compare_s
00011917 0001193E _LdapCheckForMandatoryControl@4
00011943 000119D3 ?InsertServerControls@@YGKPAUldap_request@@PAUldap_connection@@PAVCLdapBer@@@Z
000119D8 00011BB7 ?LdapRetrieveControlsFromMessage@@YGKPAPAPAUldapcontrolW@@KPAVCLdapBer@@@Z
00011BBC 00011C05 _ldap_controls_freeW
00011C0A 00011C3F _ldap_control_freeW
00011C44 00011DC1 ?LdapDupControls@@YGKPAUldap_request@@PAPAPAUldapcontrolW@@PAPAU2@EK@Z
00011DF7 00011E02 _ldap_free_controlsW
00011E07 00011E12 _ldap_control_freeA
00011E17 00011F5F _LdapCheckControls@20
00011F64 00011F7A ??2CryptStream@@SGPAXI@Z
00011F7F 00011F95 ??3CryptStream@@SGXPAX@Z
00011F9A 0001205A ??0CryptStream@@QAE@PAUldap_connection@@PAU_SECURITY_FUNCTION_TABLE_W@@E@Z
0001205F 000120C0 ??1CryptStream@@QAE@XZ
000120C5 00012152 ?CheckInboundSpace@CryptStream@@AAEEK@Z
00012157 000121BB ?InjectNewReceive@CryptStream@@AAEKPAEK@Z
000121C0 0001224D ?SslBlockingReceive@CryptStream@@QAEKPAEKPAK@Z
00012252 0001259B ?SSPINegotiateLoop@CryptStream@@AAEJH@Z
000125A0 000125B8 ?GetSSLAttributes@CryptStream@@QAEJPAU_SecPkgContext_ConnectionInfo@@@Z
000125BD 00012770 ?SignAndSealLdapStream@CryptStream@@AAEKPAEK@Z
00012775 000129E2 ?UnSignAndSealLdapStream@CryptStream@@AAEKPAUldap_recvbuffer@@@Z
000129E7 00012D43 ?DecryptLdapReceive@CryptStream@@QAEKPAUldap_recvbuffer@@@Z
00012D48 00012E74 ?LdapSendSsl@CryptStream@@QAEKPAEK@Z
00012E79 0001305E ?NegotiateSecureConnection@CryptStream@@QAEKPAU_SecPkgInfoW@@@Z
00013063 000131ED ?TearDownSecureConnection@CryptStream@@QAEJXZ
000131F2 0001329B _ldap_result2error
000132A0 000133F2 ?LoadNetApi32Now@@YGXXZ
000134DA 000135A0 ?LoadRegAPISet@@YGKXZ
000135D3 00013698 ?ReadRegLdapDefault@@YGKPAPAG@Z
0001371B 00013800 _InitLdapServerFromDomain@16
00013805 00013873 _NextLdapServerFromDomain@16
00013878 000138AC _CloseLdapServerFromDomain@8
000138B1 000139C3 ?GetCurrentMachineParams@@YGKPAPAG0@Z
000139DD 00013A4F ?GetPrimaryDomainName@@YGKPAPAG@Z
00013A54 00013C00 _GetDefaultLdapServer@32
00013C05 00013D17 ?SendLdapDelete@@YGKPAUldap_request@@PAUldap_connection@@PAGPAPAVCLdapBer@@J@Z
00013D1C 00013E3B ?LdapDelete@@YGKPAUldap_connection@@PAGEEPAPAUldapcontrolW@@2PAK@Z
00013E40 00013EA0 _ldap_delete_extW
00013EA5 00013ECA _ldap_deleteW
00013ECF 00013F7F _ldap_delete_extA
00013F84 0001402E _ldap_delete_ext_sW
00014033 0001410D _ldap_delete_ext_sA
00014112 00014137 _ldap_delete
0001413C 00014155 _ldap_delete_sW
0001415A 00014173 _ldap_delete_s
00014178 000141CD _ldap_close_extended_op
000141D2 00014317 ?SendLdapExtendedOp@@YGKPAUldap_request@@PAUldap_connection@@PAGPAPAVCLdapBer@@J@Z
0001431C 0001449A ?LdapExtendedOp@@YGKPAUldap_connection@@PAGPAUberval@@EEPAPAUldapcontrolW@@3PAK@Z
0001449F 00014502 _ldap_extended_operationW
00014507 000145BA _ldap_extended_operationA
000145BF 000146B9 _ldap_extended_operation_sA
000146BE 00014785 _ldap_extended_operation_sW
0001478A 00014D8A _LdapGetConnectionOption@16
00014EA7 00014F0E _ldap_get_optionW
00014F13 00014F7A _ldap_get_option
00014F7F 00014FD7 _ldap_set_optionW
00014FDC 00015034 _ldap_set_option
00015039 0001505A _ldap_cleanup
0001505F 00015093 _ldap_startup
00015098 000150AA ?HrSkipTag@CLdapBer@@QAEKXZ
000150AF 000150FD ?HrSkipTag2@CLdapBer@@QAEKPAK0@Z
00015102 00015121 ?HrOverrideTag@CLdapBer@@QAEKK@Z
00015126 000151E2 ?HrLoadMoreBer@CLdapBer@@QAEKPBEKPAK@Z
000151E7 00015224 ?HrAddTag@CLdapBer@@QAEKK@Z
00015229 0001538C ?HrGetValueWithAlloc@CLdapBer@@QAEKPAPADE@Z
00015391 00015425 ?HrGetBinaryValue@CLdapBer@@QAEKPAEKKPAK@Z
0001542A 00015491 ?HrGetBinaryValuePointer@CLdapBer@@QAEKPAPAEPAKKE@Z
00015496 000154FC ?HrGetDN@CLdapBer@@QAEKPAPAG@Z
00015501 000156A6 ?EncodeModifyList@@YGKPAVCLdapBer@@QAPAUldapmodW@@E@Z
000156AB 00015826 ?SendLdapModify@@YGKPAUldap_request@@PAUldap_connection@@PAGPAPAVCLdapBer@@QAPAUldapmodW@@EJ@Z
0001582B 00015998 ?LdapModify@@YGKPAUldap_connection@@PAGQAPAUldapmodW@@EEPAPAUldapcontrolW@@3PAK@Z
0001599D 000159FC _ldap_modifyW
00015A01 00015A64 _ldap_modify_extW
00015A69 00015B1A _ldap_modify_extA
00015B1F 00015BCC _ldap_modify_ext_sW
00015BD1 00015CAE _ldap_modify_ext_sA
00015CB3 00015CDB _ldap_modify
00015CE0 00015CFC _ldap_modify_sW
00015D01 00015D1D _ldap_modify_s
00015D22 00015F13 _ldap_explode_dnW
00015F29 00015FBD _ldap_explode_dn
00015FC2 000161FE _ldap_dn2ufnW
00016203 0001626A _ldap_dn2ufn
0001626F 000162E3 _ParseLdapToken@16
000162E8 00016305 ?ia5_toupper@@YGGG@Z
0001630A 000165ED _ldap_ufn2dnW
000165F2 0001666E _ldap_ufn2dn
00016673 0001668E _ber_free
00016693 000166CD _ber_bvfree
000166D2 00016707 _ber_bvecfree
0001670C 00016779 _ber_bvdup
0001677E 000167A6 _ber_alloc_t
000167AB 000167DC _ber_skip_tag
000167E1 0001680F _ber_peek_tag
00016814 00016866 _ber_first_element
0001686B 000168A5 _ber_next_element
000168AA 0001691A _ber_flatten
0001691F 00016ABB _ber_printf
00016AC0 00016EA2 _ber_scanf
00016EA7 00016F0C _ber_init
00016F11 000174F7 _LdapParallelConnect@20
000174FC 00017857 ?GetHostByNameW@@YGPAUhostent@@PAG@Z
0001785C 000178D8 _ldap_sslinitW
000178DD 00017D67 _ConnectToSRVrecs@20
00017D6C 00017FCE _ConnectToArecs@20
00017FD3 0001801C _ldap_sslinit
00018021 00018038 _ldap_init
0001803D 00018054 _ldap_initW
00018059 000180AE _ldap_connect
000180B3 000180C7 _ldap_openW
000180CC 00018110 _ldap_open
00018115 00018129 _cldap_openW
0001812E 0001828E ?LdapSearchInitPage@@YGPAUldapsearch@@PAUldap_connection@@PAGK1QAPAGKKPAPAUldapcontrolW@@3KKPAPAUldapsortkeyW@@@Z
00018293 000182FE _ldap_search_init_pageW
00018303 000183DA _ldap_search_init_pageA
000183DF 00018597 ?LdapParsePageControl@@YGKPAUldap_connection@@PAPAUldapcontrolW@@PAKPAPAUberval@@K@Z
0001859C 000187B9 ?LdapEncodeVlvControl@@YGKPAUldap_connection@@PAUldapcontrolW@@PAUldapvlvinfo@@EK@Z
00018809 000188AD ?LdapCreateVlvControlWithAlloc@@YGKPAUldap@@PAUldapvlvinfo@@PAPAUldapcontrolW@@EK@Z
000188B2 000188CC _ldap_create_vlv_controlW
000188D1 000188EB _ldap_create_vlv_controlA
000188F0 00018B32 ?LdapParseVlvControl@@YGKPAUldap_connection@@PAPAUldapcontrolW@@PAK2PAPAUberval@@PAHK@Z
00018B87 00018BE8 _ldap_parse_vlv_controlW
00018BED 00018C4E _ldap_parse_vlv_controlA
00018C53 00018D66 _LdapGetPagedCount
00018D6B 00018EC0 ?LdapCreatePageControl@@YGKPAUldap_connection@@KPAUberval@@EPAPAUldapcontrolW@@K@Z
00018EC5 00018F20 _ldap_parse_page_controlW
00018F25 00018F80 _ldap_parse_page_controlA
00018F85 00019142 ?LdapGetNextPage@@YGKPAUldap_connection@@PAUldap_request@@KPAKE@Z
00019147 000191F9 _ldap_get_next_page
000191FE 00019338 _ldap_get_next_page_s
0001933D 000193C7 _ldap_get_paged_count
000193CC 0001951D _ldap_search_abandon_page
00019522 00019580 _ldap_create_page_controlW
00019585 000195EC _ldap_create_page_controlA
000195F1 00019762 _LdapParseExtendedResult@24
00019767 000197CE _ldap_parse_resultW
000197D3 0001983A _ldap_parse_resultA
0001983F 0001989D _ldap_parse_extended_resultW
000198A2 00019900 _ldap_parse_extended_resultA
00019905 00019985 ?LoadPingLibrary@@YGEXZ
000199C6 00019A58 _LdapPingServer@4
00019A5D 00019A7E ?DoSigningOptionsMatch@@YGEPAUldap_connection@@0@Z
00019A83 00019BFB ?DoCredentialsMatch@@YGEPAUldap_connection@@KPAU_SecHandle@@PAG2@Z
00019C00 00019CEE ?CheckForExistingReferral@@YGKPAUldap_request@@PAGG1@Z
00019CF3 00019E40 _LdapSendCommand@12
00019E45 0001A0C5 _LdapParseReferralDN@4
0001A0E9 0001B217 ?LdapChaseReferral@@YGKPAUldap_request@@PAUldapmsg@@PAG2GEE@Z
0001B233 0001B644 ?HandleReferral@@YGKPAUldap_connection@@PAUldapmsg@@PAUldap_request@@@Z
0001B681 0001B7F8 ?SendLdapRename@@YGKPAUldap_request@@PAUldap_connection@@PAGPAPAVCLdapBer@@J@Z
0001B7FD 0001B962 ?LdapRename@@YGKPAUldap_connection@@PAG11HEEPAPAUldapcontrolW@@2PAK@Z
0001B967 0001BA4B _ldap_modrdn2W
0001BA50 0001BB17 _ldap_modrdn2
0001BB1C 0001BBCB _ldap_modrdn2_sW
0001BBD0 0001BC7F _ldap_modrdn2_s
0001BC84 0001BC9E _ldap_modrdnW
0001BCA3 0001BCBD _ldap_modrdn
0001BCC2 0001BCDC _ldap_modrdn_sW
0001BCE1 0001BCFB _ldap_modrdn_s
0001BD00 0001BD69 _ldap_rename_extW
0001BD6E 0001BE9C _ldap_rename_extA
0001BEA1 0001BF57 _ldap_rename_ext_sW
0001BF5C 0001C0A9 _ldap_rename_ext_sA
0001C0AE 0001C0D8 ?DereferenceLdapRequestEx@@YGPAUldap_request@@PAU1@@Z
0001C0DD 0001C1D2 _SimulateErrorMessage@12
0001C1D7 0001C207 ?AlreadyListed@CRequestListHolder@@AAE_NPAUldap_request@@@Z
0001C20C 0001C3AD _ClearPendingListForConnection@4
0001C3B2 0001C464 ?Add@CRequestListHolder@@QAE_NPAUldap_request@@@Z
0001C469 0001C484 _ldap_count_values
0001C489 0001C491 _ldap_count_valuesW
0001C496 0001C508 _ldap_get_dnW
0001C50D 0001C548 _ldap_get_dn
0001C54D 0001C5A8 _ldap_get_valuesW
0001C5AD 0001C639 _ldap_get_values
0001C63E 0001C649 _ldap_get_valuesA
0001C64E 0001C6A9 _ldap_get_values_lenW
0001C6AE 0001C6FE _ldap_next_entry
0001C703 0001C753 _ldap_count_entries
0001C758 0001C7D0 _ldap_searchW
0001C7D5 0001C847 _ldap_search_extW
0001C84C 0001C92D _ldap_search_extA
0001C932 0001CA1A _ldap_search_ext_sW
0001CA1F 0001CB6F _ldap_search_ext_sA
0001CB74 0001CBF3 _ldap_search_stW
0001CBF8 0001CC77 _ldap_search_st
0001CC7C 0001CCA2 _ldap_search_sW
0001CCA7 0001CCCD _ldap_search_s
