0000A007 0000A00F ?Clone@CReconvertPropStore@@UAGJPAPAUITfPropertyStore@@@Z
0000A014 0000A01C ?Serialize@CReconvertPropStore@@UAGJPAUIStream@@PAK@Z
0000A021 0000A043 ??_GCReconvertPropStore@@UAEPAXI@Z
0000A048 0000A2CE ?GetAllTextRange@ImmIfEditSessionCallBack@@SGJKAAV?$Interface_Attach@UITfContext@@@@PAV?$Interface@UITfRange@@@@PAJPAUTF_HALTCOND@@@Z
0000A2D3 0000A2DB ?Valid@ImmIfEditSession@@QAE_NXZ
0000A2E0 0000A355 ?_IsInterimSelection@ImmIfUpdateCompositionString@@AAEJKAAV?$Interface_Attach@UITfContext@@@@PAV?$Interface@UITfRange@@@@PAH@Z
0000A35A 0000A391 ?ReadCompData@?$CompData@DD@@QAE?BHPADK@Z
0000A396 0000A3B6 ??1?$Interface_RefCnt@UITfProperty@@@@UAE@XZ
0000A3BB 0000A3DB ??1?$Interface_RefCnt@UIEnumTfRanges@@@@UAE@XZ
0000A3E0 0000A400 ??1?$Interface_RefCnt@UITfReadOnlyProperty@@@@UAE@XZ
0000A405 0000A425 ??1?$Interface_RefCnt@UIEnumTfPropertyValue@@@@UAE@XZ
0000A42A 0000A44A ??1?$Interface_RefCnt@UITfContextOwnerCompositionServices@@@@UAE@XZ
0000A44F 0000A46F ??1?$Interface_RefCnt@UITfContextComposition@@@@UAE@XZ
0000A474 0000A494 ??1?$Interface_RefCnt@UITfComposition@@@@UAE@XZ
0000A499 0000A4B9 ??1?$Interface_RefCnt@VCReconvertPropStore@@@@UAE@XZ
0000A4BE 0000A4DE ??1?$Interface_RefCnt@VImmIfEditSession@@@@UAE@XZ
0000A4E3 0000A504 ??_E?$Interface_RefCnt@UITfProperty@@@@UAEPAXI@Z
0000A509 0000A52A ??_G?$Interface_RefCnt@UIEnumTfRanges@@@@UAEPAXI@Z
0000A52F 0000A550 ??_G?$Interface_RefCnt@UITfReadOnlyProperty@@@@UAEPAXI@Z
0000A555 0000A576 ??_E?$Interface_RefCnt@UIEnumTfPropertyValue@@@@UAEPAXI@Z
0000A57B 0000A59C ??_E?$Interface_RefCnt@UITfContextOwnerCompositionServices@@@@UAEPAXI@Z
0000A5A1 0000A5C2 ??_G?$Interface_RefCnt@UITfContextComposition@@@@UAEPAXI@Z
0000A5C7 0000A5E8 ??_G?$Interface_RefCnt@UITfComposition@@@@UAEPAXI@Z
0000A5ED 0000A60E ??_E?$Interface_RefCnt@VCReconvertPropStore@@@@UAEPAXI@Z
0000A613 0000A634 ??_G?$Interface_RefCnt@VImmIfEditSession@@@@UAEPAXI@Z
0000A639 0000A647 ??1?$CArray@UtagPOLYTEXTW@@U1@@@QAE@XZ
0000A64C 0000A789 ?SetSize@?$CArray@KK@@QAEHHH@Z
0000A78E 0000A7BC ?SetAtGrow@?$CArray@KK@@QAEXHK@Z
0000A7C1 0000A7DA ?Add@?$CArray@KK@@QAEHK@Z
0000A7DF 0000A8B8 ?GrowBuffer@?$CFirstInFirstOut@UtagTRANSMSG@@U1@@@QAEXH@Z
0000A8BD 0000A8DC ?InquireImeUIWndState@UIComposition@@SG?AW4IME_UIWND_STATE@@AAVIMCLock@@@Z
0000A8E1 0000A917 ?_FindCompAttr@ImmIfEditSessionCallBack@@AAEJAAVCWCompAttribute@@EPAH@Z
0000A91C 0000A959 ?AddCompData@?$CompData@GG@@QAEKPAGK@Z
0000A95E 0000A9A3 ?AddCompData@?$CompData@EE@@QAEKABEK@Z
0000A9A8 0000A9DA ?WriteCompData@?$CompData@KK@@QAEKPAKK@Z
0000A9DF 0000AA27 ?AddCompData@?$CompData@KK@@QAEKABKK@Z
0000AA2C 0000AA53 ??_E?$Interface@UITfProperty@@@@UAEPAXI@Z
