000101B2 00010262 _SetUpdateCachedCredentialsFlag@8
00010267 00010296 _ErrorWorthRetryingOnAnotherModem@4
0001029B 00010319 _RasDialCleanup@4
0001034B 00010399 _RasDialFinalCleanup@8
000103D3 00010446 _ComputeLuid@4
0001044B 000104FB _SaveVpnStrategyInformation@4
0001055F 000105F5 _DwPppSetCustomAuthData@4
000105FA 000107A1 _UpdateCachedCredentials@4
00010838 00010A66 _RasDialRestart@4
00010AFC 00010D06 _RasDialTryNextAddress@4
00010E0B 00011157 _RasDialTryNextLink@4
000112C3 00011543 _RasDialTryNextVpnDevice@4
0001161C 00011694 _StartSubentries@4
000116AE 000116FA _SuspendSubentries@4
00011718 00011741 _IsSubentriesSuspended@4
00011746 00011778 _RestartSubentries@4
0001177D 000117D1 _ResumeSubentries@4
000117EE 00011872 _SyncDialParamsSubentries@4
0001189F 000118DF _SetSubentriesBundled@4
000118FA 00011928 _MapSubentryState@4
0001192D 00014051 _RasDialMachine@16
00014BB4 0001557A _OnRasDialEvent@8
00015927 00016695 __RasDial@44
000168DB 00016BB0 _RasDialW@24
00016BD5 00016F15 _RasDialA@24
00016F1A 00016F3B _RasfileGetLine@4
00016F40 00016F72 _RasfileGetLineText@8
00016F77 00017005 _RasfilePutLineText@8
0001700A 0001702B _RasfileGetLineMark@4
00017030 00017057 _RasfilePutLineMark@8
0001705C 00017082 _RasfileGetLineType@4
00017087 0001711B _RasfileInsertLine@12
00017120 0001716C _RasfileDeleteLine@4
00017171 000171A3 _RasfileGetSectionName@8
000171A8 00017284 _RasfilePutSectionName@8
0001728B 00017318 _RasfileGetKeyValueFields@12
0001731D 00017414 _RasfilePutKeyValueFields@12
00017419 00017559 _RasfileLoad@16
0001755E 000175B3 _RasfileLoadInfo@8
000175B8 000175F2 _RasfileWrite@8
000175F7 00017652 _RasfileClose@4
00017657 00017672 _RasfileFindFirstLine@12
00017677 00017692 _RasfileFindLastLine@12
00017697 000176B2 _RasfileFindPrevLine@12
000176B7 000176D2 _RasfileFindNextLine@12
000176D7 0001776E _RasfileFindNextKeyLine@12
00017773 000177A6 _RasfileFindMarkedLine@8
000177AB 000178A1 _RasfileFindSectionLine@12
000178A6 0001793E _FixCorruptFile@4
0001794A 000179CD _rasGetLineTag@8
000179DA 00017A81 _rasGetFileLine@12
00017A86 00017AFA _rasPutFileLine@8
00017AFF 00017B48 _rasLineInScope@8
00017B4D 00017BDB _rasGetStartLine@12
00017BE0 00017C34 _rasExtractSectionName@8
00017C39 00017C56 _listInsert@8
00017C5B 00017C8E _rasParseLineTag@8
00017C93 00017DA4 _rasInsertLine@16
00017DA9 00017E51 _rasWriteFile@8
00017E56 00017EA7 _rasNavGetStart@12
00017EAC 00017F1E _rasFindLine@20
00017F23 00018056 _rasLoadFile@4
0001805B 000180A9 _strdupW@4
000180CD 00018157 _StrdupWtoA@8
00018197 00018222 _StrdupAtoW@8
00018263 000182B4 _StrncpyWtoA@16
000182D8 00018329 _StrncpyAtoW@16
00018350 0001836D _wcslenU@4
00018372 000183B7 _strdupWU@4
000183BC 000184C2 _ReloadRasconncbEntry@4
000184C7 000185BC _FinalCleanUpRasconncbNode@4
00018661 0001870E _DeleteRasconncbNodeCommon@4
00018740 0001877E _DeleteRasconncbNode@4
00018783 0001888C _CleanUpRasconncbNode@4
00018916 00018945 _ErrorFromDisconnectReason@4
0001894A 000189C2 _IpaddrFromAbcd@4
000189C7 00018A2F _DwGetDeviceName@8
00018A34 00018E06 _OpenMatchingPort@4
00018F62 000191DA _ReadPppInfoFromEntry@4
000191DF 0001928C _ReadConnectionParamsFromEntry@8
00019291 0001930D _ReadSlipInfoFromEntry@20
