0000946D 0000947C ??1?$CStructArray@U_GENERICSINK@@@@UAE@XZ
00009481 000094AD ??_I@YGXPAXIHP6EX0@Z@Z
000094B2 000095B8 ?_Init@CInputContext@@QAEJPAVCThreadInputMgr@@PAVCDocumentInputManager@@PAUITextStoreAnchor@@PAUITfContextOwnerCompositionSink@@@Z
000095BD 000095D8 ?_AdviseSinks@CInputContext@@QAEXXZ
000095DD 00009738 ?AdviseSink@CInputContext@@UAGJABU_GUID@@PAUIUnknown@@PAK@Z
0000975D 000097E6 ?_UnadviseOwnerSink@CInputContext@@AAEJXZ
000097EB 00009822 ?GetTextOwnerProperty@CInputContext@@QAEPAVCProperty@@XZ
00009827 00009844 ?_FindProperty@CInputContext@@QAEPAVCProperty@@K@Z
00009849 000098A2 ?_PropertyTextUpdate@CInputContext@@QAEXKPAUIAnchor@@0@Z
000098A7 000098C7 ?_Pushed@CInputContext@@QAEXXZ
000098CC 00009913 ?_Popped@CInputContext@@QAEXXZ
00009918 000099AC ?_GetPropStyle@CInputContext@@AAE?AW4TFPROPERTYSTYLE@@ABU_GUID@@@Z
000099F1 00009A63 ?Serialize@CInputContext@@UAGJPAUITfProperty@@PAUITfRange@@PAUTF_PERSISTENT_PROPERTY_HEADER_ACP@@PAUIStream@@@Z
00009A68 00009AC1 ?Unserialize@CInputContext@@UAGJPAUITfProperty@@PBUTF_PERSISTENT_PROPERTY_HEADER_ACP@@PAUIStream@@PAUITfPersistentPropertyLoaderACP@@@Z
00009AC6 00009AF7 ?GetDocumentMgr@CInputContext@@UAGJPAPAUITfDocumentMgr@@@Z
00009AFC 00009B37 ?GetStatus@CInputContext@@UAGJPAUTS_STATUS@@@Z
00009B3C 00009BFF ?CreateRangeBackup@CInputContext@@UAGJKPAUITfRange@@PAPAUITfRangeBackup@@@Z
00009C04 00009CCA ?QueryService@CInputContext@@UAGJABU_GUID@@0PAPAX@Z
00009CE1 00009D5A ?UnadviseMouseSink@CInputContext@@UAGJK@Z
00009D5F 00009DF5 ?GetActiveView@CInputContext@@UAGJPAPAUITfContextView@@@Z
00009DFA 00009E28 ?EnumViews@CInputContext@@UAGJPAPAUIEnumTfContextViews@@@Z
00009E2D 00009E67 ?QueryInsertEmbedded@CInputContext@@UAGJPBU_GUID@@PBUtagFORMATETC@@PAH@Z
00009E6C 00009F14 ?_InsertXAtSelectionAggressive@CInputContext@@AAEHKKPAU_IAS_OBJ@1@PAPAUIAnchor@@1@Z
00009F19 00009F2F ??0?$CStructArray@Utag_GUIDATOMHKL@@@@QAE@XZ
00009F34 00009F4A ??0?$CStructArray@UTSI_ATTRSTORE@CTextStoreImpl@@@@QAE@XZ
00009F4F 00009F7D ?Append@CVoidStructArray@@QAEPAXH@Z
00009F82 00009FAD ?_FindProperty@CInputContext@@QAEPAVCProperty@@ABU_GUID@@@Z
00009FB2 00009FDA ??0CEnumProperties@@QAE@XZ
0000A001 0000A059 ?QueryInterface@CEnumProperties@@UAGJABU_GUID@@PAPAX@Z
0000A071 0000A08E ?Next@CEnumDisplayAttributeInfo@@UAGJKPAPAUITfDisplayAttributeInfo@@PAK@Z
0000A093 0000A09B ??_ECEnumDocumentInputMgrs@@W3AEPAXI@Z
0000A0A0 0000A0F5 ?Clone@CEnumProperties@@UAGJPAPAUIEnumTfProperties@@@Z
0000A0FA 0000A249 ??1CInputContext@@UAE@XZ
0000A24E 0000A433 ?QueryInterface@CInputContext@@UAGJABU_GUID@@PAPAX@Z
0000A4B9 0000A4C3 ?QueryInterface@CInputContext@@W3AGJABU_GUID@@PAPAX@Z
0000A4C8 0000A4D2 ?QueryInterface@CInputContext@@W7AGJABU_GUID@@PAPAX@Z
0000A4D7 0000A4E1 ?QueryInterface@CInputContext@@WM@AGJABU_GUID@@PAPAX@Z
0000A4E6 0000A4F0 ?QueryInterface@CInputContext@@WBA@AGJABU_GUID@@PAPAX@Z
0000A4F5 0000A4FF ?QueryInterface@CInputContext@@WBE@AGJABU_GUID@@PAPAX@Z
0000A504 0000A50E ?QueryInterface@CInputContext@@WBI@AGJABU_GUID@@PAPAX@Z
