000311A8 0003123C _fwprintf
00031241 0003125D __fwprintf_l
00031262 0003127E __fwprintf_s_l
00031283 0003129E _fwprintf_s
000312A3 000312BF __fwprintf_p_l
000312C4 000312DF __fwprintf_p
000312E4 00031446 __fwrite_nolock
0003144B 000314CD _fwrite
000314D2 00031555 _vfwscanf
0003155A 0003157A _fwscanf
0003157F 000315A0 __fwscanf_l
000315A5 000315C5 _fwscanf_s
000315CA 000315EB __fwscanf_s_l
000315F0 00031806 __gets_helper
0003180B 00031822 _gets_s
00031827 0003183D _gets
00031842 000318FB __getw
00031900 00031A4B __getws_helper
00031A50 00031A67 __getws_s
00031A6C 00031A82 __getws
00031A87 00031AC3 __set_output_format
00031AC8 00031ACE __get_output_format
00031AD3 00031FE4 __popen
00031FE9 000320BC __pclose
000320C1 00032170 _printf
00032175 0003218E __printf_l
00032193 000321AC __printf_s_l
000321B1 000321C9 _printf_s
000321CE 000321E7 __printf_p_l
000321EC 00032204 __printf_p
00032209 00032233 __set_printf_count_output
00032238 0003224E __get_printf_count_output
00032253 000323B2 _puts
000323B7 00032468 __putw
0003246D 00032556 __putws
0003255B 00032621 _rewind
00032626 000326B1 __rmtmp
000326D4 000326F1 _scanf
000326F6 00032714 __scanf_l
00032719 00032736 _scanf_s
0003273B 00032759 __scanf_s_l
0003275E 0003285E __setmaxstdio
00032863 00032869 __getmaxstdio
0003286E 00032896 _setbuf
0003289B 00032993 _setvbuf
00032998 00032A47 __snprintf
00032A4C 00032A6B __snprintf_l
00032A70 00032B32 __snprintf_c
00032B37 00032B56 __snprintf_c_l
00032BC3 00032BE6 __snscanf
00032BEB 00032C0F __snscanf_l
00032C14 00032C37 __snscanf_s
00032C3C 00032C60 __snscanf_s_l
00032C65 00032D38 __snwprintf
00032D3D 00032D5C __snwprintf_l
00032DD1 00032DF4 __snwscanf
00032DF9 00032E1D __snwscanf_l
00032E22 00032E45 __snwscanf_s
00032E4A 00032E6E __snwscanf_s_l
00032E73 00032EF0 _sprintf
00032EF5 00032F11 __sprintf_l
00032F16 00032F34 _sprintf_s
00032F39 00032F58 __sprintf_s_l
00032F5D 00032F7E __snprintf_s
00032F83 00032FA5 __snprintf_s_l
00032FAA 00032FC8 __sprintf_p
00032FCD 00032FEC __sprintf_p_l
00032FF1 00033006 __scprintf
0003300B 00033020 __scprintf_p
00033025 0003303E __scprintf_l
00033043 0003305C __scprintf_p_l
000330D0 000330F2 _sscanf
000330F7 0003311A __sscanf_l
0003311F 00033141 _sscanf_s
00033146 00033169 __sscanf_s_l
0003316E 000332A6 __getstream
000332AB 00033343 __swprintf
00033348 00033364 ___swprintf_l
00033369 00033387 _swprintf_s
0003338C 000333AD __snwprintf_s
000333B2 000333D0 __swprintf_p
000333D5 000333F4 __swprintf_s_l
000333F9 0003341B __snwprintf_s_l
00033420 0003343F __swprintf_p_l
00033444 00033459 __scwprintf
0003345E 00033473 __scwprintf_p
00033478 00033491 __scwprintf_l
00033496 000334AF __scwprintf_p_l
000334B4 000334D2 ?swprintf@@YAHPAGIPBGZZ
000334D7 0003355A ?swprintf@@YAHPA_WIPB_WZZ
0003355F 0003364D __swprintf_c
00033652 00033671 __swprintf_c_l
000336EB 0003370D _swscanf
00033712 00033735 __swscanf_l
0003373A 0003375C _swscanf_s
00033761 00033784 __swscanf_s_l
00033789 00033A1F __tempnam
00033BA5 00033CDE __tmpnam_helper
00033CE9 00033D2F _tmpnam_s
00033D34 00033D5B _tmpnam
00033D60 00033F80 __tmpfile_helper
00033F85 00033FA1 _tmpfile
00033FA6 00033FB9 _tmpfile_s
00033FBE 000340AF __ungetc_nolock
000340B4 00034126 _ungetc
0003412B 000342E5 __ungetwc_nolock
000342EA 00034362 _ungetwc
00034367 00034384 __vprintf_l
00034389 000343A6 __vprintf_s_l
000343AB 000343C8 __vprintf_p_l
000343CD 000343E9 _vprintf
000343EE 0003440A _vprintf_s
0003440F 0003442B __vprintf_p
00034430 0003454B _vfprintf_helper
00034550 00034570 __vfprintf_l
00034575 00034595 __vfprintf_s_l
0003459A 000345BA __vfprintf_p_l
000345BF 000345DE _vfprintf
000345E3 00034602 _vfprintf_s
00034607 00034626 __vfprintf_p
0003462B 000346BE _vfwprintf_helper
000346C3 000346E3 __vfwprintf_l
000346E8 00034708 __vfwprintf_s_l
0003470D 0003472D __vfwprintf_p_l
00034732 00034751 _vfwprintf
00034756 00034775 _vfwprintf_s
0003477A 00034799 __vfwprintf_p
0003479E 0003481C __vsprintf_l
00034821 0003483B _vsprintf
00034840 0003485C __vscprintf
00034861 0003487E __vscprintf_l
00034883 0003489F __vscprintf_p
000348A4 000348C1 __vscprintf_p_l
000348C6 00034979 __vsnprintf_l
0003497E 0003499B __vsnprintf
000349A0 00034A6C __vsnprintf_helper
00034A71 00034A9A __vsnprintf_c
00034A9F 00034AC9 __vsnprintf_c_l
00034ACE 00034B56 __vsprintf_s_l
00034B5B 00034B78 _vsprintf_s
00034B7D 00034C84 __vsnprintf_s_l
00034C89 00034CA9 __vsnprintf_s
00034CAE 00034CD7 __vsprintf_p
00034CDC 00034D06 __vsprintf_p_l
00034D0B 00034DDF __vsnwprintf_l
00034DE4 00034E01 __vsnwprintf
00034E06 00034E9F __vswprintf_l_0
00034EA4 00034EBE __vswprintf
00034EC3 00034ECE ___vswprintf_l
00034ED3 00034F2A __vscprintf_helper
00034F2F 00034F4B __vscwprintf
00034F50 00034F6D __vscwprintf_l
00034F72 00034F8E __vscwprintf_p
00034F93 00034FB0 __vscwprintf_p_l
00034FB5 00035039 ?_vswprintf_l@@YAHPA_WIPB_WPAUlocaleinfo_struct@@PAD@Z
0003503E 0003505B ?vswprintf@@YAHPA_WIPB_WPAD@Z
00035060 00035158 __vswprintf_helper
0003515D 00035186 __vswprintf_c
0003518B 000351B5 __vswprintf_c_l
000351BA 00035245 __vswprintf_s_l
0003524A 00035267 _vswprintf_s
0003526C 00035378 __vsnwprintf_s_l
0003537D 0003539D __vsnwprintf_s
000353A2 000353CB __vswprintf_p
000353D0 000353FA __vswprintf_p_l
000353FF 0003548F _vwprintf_helper
00035494 000354B1 __vwprintf_l
000354B6 000354D3 __vwprintf_s_l
000354D8 000354F5 __vwprintf_p_l
000354FA 00035516 _vwprintf
0003551B 00035537 _vwprintf_s
0003553C 00035558 __vwprintf_p
0003555D 000356EB __wfdopen
000356F0 000357B6 __wfsopen
000357BB 000357D2 __wfopen
000357D7 0003582A __wfopen_s
0003582F 00035909 __wfreopen_helper
0003590E 00035934 __wfreopen
00035939 00035959 __wfreopen_s
0003595E 00035C0C __wopenfile
00035C74 0003619D __wpopen
000361A2 00036251 _wprintf
00036256 0003626F __wprintf_l
00036274 0003628D __wprintf_s_l
00036292 000362AA _wprintf_s
000362AF 000362C8 __wprintf_p_l
000362CD 000362E5 __wprintf_p
000362EA 00036370 _vscanf
00036375 00036392 _wscanf
00036397 000363B5 __wscanf_l
000363BA 000363D7 _wscanf_s
000363DC 000363FA __wscanf_s_l
000363FF 00036648 __wtempnam
000367E1 00036921 __wtmpnam_helper
0003692C 00036972 __wtmpnam_s
00036977 0003699E __wtmpnam
000369A3 00036A20 _memcpy_s
00036A25 00036A82 _memmove_s
00036A87 00036ADC __strdup
00036AE1 00036BA1 _strncmp
00036BA6 00036BC3 _strnlen
00036BC8 00036C3C _strcat_s
00036C41 00036D05 _strncat_s
00036D0A 00036D72 _strcpy_s
00036D77 00036E2C _strncpy_s
00036E31 00036E52 ___strncnt
00036E57 00036EAC __strset_s
00036EB1 00036F29 __strnset_s
00036F2E 00036FEF _strtok
00036FF7 000370E5 _strtok_s
000370EA 00037118 _wcscat
0003711D 0003713C _wcscpy
00037141 000371BE _wcscat_s
000371C3 000371E9 _wcschr
000371EE 00037225 _wcscmp
0003722A 00037299 _wcscpy_s
0003729E 000372E3 _wcscspn
000372E8 00037340 __wcsdup
00037345 0003735F _wcslen
00037364 00037383 _wcsnlen
00037388 000373C8 _wcsncat
000373CD 000374BB _wcsncat_s
000374C0 000374F7 _wcsncmp
000374FC 0003751F ___wcsncnt
00037524 0003756E _wcsncpy
00037573 00037646 _wcsncpy_s
0003764B 00037676 __wcsnset
0003767B 000376FD __wcsnset_s
00037702 00037745 _wcspbrk
0003774A 00037776 _wcsrchr
0003777B 000377B2 __wcsrev
000377B7 000377D4 __wcsset
000377D9 00037834 __wcsset_s
00037839 00037882 _wcsspn
00037887 000378E8 _wcsstr
000378ED 00037998 _wcstok
0003799D 00037A8B _wcstok_s
00037A90 00037C5E _asctime_s
00037C63 00037CAF _asctime
00037CB4 00037CF9 _clock
00037CFE 00037D37 ___inittime
00037D3C 00037DAC __ctime32_s
00037DB1 00037E0D __ctime32
00037E12 00037E3E __difftime32
00037E43 00037E86 __difftime64
00037E8B 00038091 ___loctotime32_t
00038096 000381F0 __ftime32_s
000381F5 00038200 __ftime32
00038205 00038338 __gmtime32_s
0003833D 00038374 ___getgmtimebuf
00038379 000383A0 __gmtime32
000383A5 000385D4 __localtime32_s
000385D9 00038600 __localtime32
00038851 00038863 __mktime32
00038868 0003887A __mkgmtime32
0003887F 0003892B __strdate_s
00038930 0003894C __strdate
00038951 000389F4 __strtime_s
000389F9 00038A15 __strtime
00038A1A 00038A68 __time32
00038A6D 00038AA6 __get_daylight
00038AAB 00038AE4 __get_dstbias
00038AE9 00038B22 __get_timezone
00038B27 00038BCB __get_tzname
00038BD0 00038BD6 ___daylight
00038BDB 00038BE1 ___dstbias
00038BE6 00038BEC ___timezone
00038BF1 00038BF7 ___tzname
00038BFC 00038C0D __set_daylight
00038C12 00038C23 __set_dstbias
00038C28 00038C39 __set_timezone
00039362 000393B1 ___tzset
000393B6 000393EE __tzset
000393F3 00039434 __isindst
00039439 000395E9 __futime32
000395EE 0003966F __utime32
00039674 000396FE __ctime64_s
00039703 00039766 __ctime64
0003976B 000399D6 ___loctotime64_t
000399DB 00039B51 __ftime64_s
00039B56 00039B61 __ftime64
