000086B6 00008721 _PkiAsn1GetAny@20
00008726 0000874C ?WVTAsn1InfoDecodeAndAlloc@@YGHHPBEKPAPAX@Z
00008751 0000877F _PkiAsn1DecodeAndAllocInfo@20
00008784 000087B4 _PkiAsn1Decode@20
000087B9 00008899 _WVTAsn1SpcIndirectDataContentDecode@28
0000889E 000088D5 ?WVTAsn1InfoFree@@YGXHPAX@Z
000088DA 000088F8 _PkiAsn1FreeInfo@12
000088FD 00008954 ?_LoadSIP@@YGHPAU_CRYPT_PROVIDER_DATA@@@Z
00008959 0000895F _CryptSIPLoad@12
00008A25 00008A41 _WTHelperGetFileHandle@4
00008A46 00008B90 ?_ExplodeMessage@@YGHPAU_CRYPT_PROVIDER_DATA@@@Z
00008B95 00008BEB _TrustDecode@36
00008BF0 00008CDD ?_GetMessage@@YGHPAU_CRYPT_PROVIDER_DATA@@@Z
00008CE2 00008D0E ?_NoContentWrap@@YGHPBEK@Z
00008D13 00008D64 ?_SkipOverIdentifierAndLengthOctets@@YGKPBEK@Z
00008D69 00008E94 ?_ExtractSigner@@YGHPAXPAU_CRYPT_PROVIDER_DATA@@H@Z
00008E99 00008EDB ?_FindCertificate@@YGPBU_CERT_CONTEXT@@PAU_CRYPT_PROVIDER_DATA@@PAU_CERT_INFO@@@Z
00008EE0 00008F18 ?SipCreateHash@@YGHKPAUDIGEST_DATA@@@Z
00008F1D 00008F6C _A_SHAInit@4
00008F71 00008FEF _CryptSIPGetSignedDataMsg@20
00008FF4 00009011 ?set_CertVersion@SIPObject_@@QAEXK@Z
00009016 00009084 ?MapIt@@YGHPAXPAU_LOADED_IMAGE@@@Z
00009089 0000912D ?CalculateImagePtrs@@YGHPAU_LOADED_IMAGE@@@Z
000093DB 000093EE _SoftpubCheckCert@16
0000952C 00009716 ?UpdateCertProvChain@@YGHPAU_CRYPT_PROVIDER_DATA@@KPAKHKPAU_CRYPT_PROVIDER_SGNR@@PBU_CERT_CHAIN_CONTEXT@@@Z
00009824 0000985E _DeallocateCertChain@8
00009886 000098AC _DeallocateStoreChain@8
0000993D 00009948 _OpenDisallowedStore@0
00009963 00009997 ?_OpenHKCUStore@@YGPAXPBG@Z
00009A89 00009AC6 __chkstk
00009AC6 0000A13F _TransformMD5@8
0000A13F 0000AC96 _SHATransform@8
0000EEBE 0000EEE1 _WTHelperCertIsSelfSigned@8
0000EEE6 0000EF0B ?WTHelperCertFindIssuerCertificate@@YGPBU_CERT_CONTEXT@@PBU1@KPAPAXPAU_FILETIME@@KPAK3@Z
0000EF10 0000EF31 _DllRegisterServer@0
0000EF49 0000EF6A _DllUnregisterServer@0
0000EF81 0000EF8C _WintrustDllRegisterServer@0
0000EF91 0000EF96 _WintrustDllUnregisterServer@0
0000EF9B 0000EFBC _WVTAddPrivateData@8
0000EFC1 0000EFE5 ?HError@@YGJXZ
0000EFEA 0000F057 ?ASNRegisterServer@@YGJPBG@Z
0000F05C 0000F0D9 ?ASNUnregisterServer@@YGJXZ
0000F0DE 0000F0F7 ?WVTAsn1SetBit@@YGXPAU_CRYPT_BIT_BLOB@@PAUtagASN1bitstring_t@@@Z
0000F0FC 0000F115 ?WVTAsn1SetUnicodeConvertedToIA5@@YGHPAGPAUtagASN1charstring_t@@@Z
0000F11A 0000F134 ?WVTAsn1FreeUnicodeConvertedToIA5@@YGXPAUtagASN1charstring_t@@@Z
0000F139 0000F15B ?WVTAsn1GetIA5ConvertedToUnicode@@YGXPAUtagASN1charstring_t@@KPAPAGPAPAEPAJ@Z
