00034299 000342BD ?_SetSpinCount@?$_SpinWait@$00@details@Concurrency@@QAEXI@Z
000342F8 00034358 ?_CheckTaskCollection@_UnrealizedChore@details@Concurrency@@IAEXXZ
0003485A 0003486D ?Id@Context@Concurrency@@SAIXZ
0003486D 00034881 ?VirtualProcessorId@Context@Concurrency@@SAIXZ
00034881 00034895 ?ScheduleGroupId@Context@Concurrency@@SAIXZ
00034895 000348A6 ?Block@Context@Concurrency@@SAXXZ
000348A6 000348B2 ?Yield@Context@Concurrency@@SAXXZ
000348B2 000348BE ?_SpinYield@Context@Concurrency@@SAXXZ
000348BE 000348E4 ?IsCurrentTaskCollectionCanceling@Context@Concurrency@@SA_NXZ
000348E4 000348EE ?CurrentContext@Context@Concurrency@@SAPAV12@XZ
000348EE 00034904 ?Oversubscribe@Context@Concurrency@@SAX_N@Z
00034D7C 00034D94 ??4?$_SpinWait@$0A@@details@Concurrency@@QAEAAV012@ABV012@@Z
00034D94 00034DA0 ??_F?$_SpinWait@$0A@@details@Concurrency@@QAEXXZ
0003553F 000355AA ?_SpinOnce@?$_SpinWait@$0A@@details@Concurrency@@QAE_NXZ
00035925 00035928 ?_DoYield@?$_SpinWait@$0A@@details@Concurrency@@IAEXXZ
00035928 00035938 ?_Reset@?$_SpinWait@$0A@@details@Concurrency@@IAEXXZ
00035938 0003593C ?_NumberOfSpins@?$_SpinWait@$0A@@details@Concurrency@@IAEKXZ
0003593C 00035949 ?_ShouldSpinAgain@?$_SpinWait@$0A@@details@Concurrency@@IAE_NXZ
0003597C 000359A2 ?_SetSpinCount@?$_SpinWait@$0A@@details@Concurrency@@QAEXI@Z
000359A2 000359B6 ?Id@CurrentScheduler@Concurrency@@SAIXZ
000359B6 000359CA ?GetNumberOfVirtualProcessors@CurrentScheduler@Concurrency@@SAIXZ
000359CA 000359E9 ?GetPolicy@CurrentScheduler@Concurrency@@SA?AVSchedulerPolicy@2@XZ
000359E9 000359F2 ?Get@CurrentScheduler@Concurrency@@SAPAVScheduler@2@XZ
000359F2 00035A10 ?Create@CurrentScheduler@Concurrency@@SAXABVSchedulerPolicy@2@@Z
00035A10 00035A42 ?Detach@CurrentScheduler@Concurrency@@SAXXZ
00035A7C 00035AAF ?RegisterShutdownEvent@CurrentScheduler@Concurrency@@SAXPAX@Z
00035AB0 00035ABD ?CreateScheduleGroup@CurrentScheduler@Concurrency@@SAPAVScheduleGroup@2@XZ
00035ABD 00035AD7 ?ScheduleTask@CurrentScheduler@Concurrency@@SAXP6AXPAX@Z0@Z
00035B0A 00035BAB ?GetSharedTimerQueue@details@Concurrency@@YAPAXXZ
00035C10 00035C2D ??0event@Concurrency@@QAE@XZ
00035C2D 00035CA4 ??1event@Concurrency@@QAE@XZ
00035CA4 00035DE3 ?wait@event@Concurrency@@QAEII@Z
00035DE3 00035E80 ?reset@event@Concurrency@@QAEXXZ
00035E80 00035F5D ?set@event@Concurrency@@QAEXXZ
00035F5D 000362BC ?wait_for_multiple@event@Concurrency@@SAIPAPAV12@I_NI@Z
00036501 00036572 Callback
00036776 0003679A ??0scheduler_resource_allocation_error@Concurrency@@QAE@PBDJ@Z
0003679A 000367C6 ??0scheduler_resource_allocation_error@Concurrency@@QAE@J@Z
000367C6 000367E4 ??0unsupported_os@Concurrency@@QAE@PBD@Z
000367E4 00036808 ??0unsupported_os@Concurrency@@QAE@XZ
00036808 00036826 ??0scheduler_not_attached@Concurrency@@QAE@PBD@Z
00036826 0003684A ??0scheduler_not_attached@Concurrency@@QAE@XZ
0003684A 00036868 ??0improper_scheduler_attach@Concurrency@@QAE@PBD@Z
00036889 000368AD ??0improper_scheduler_attach@Concurrency@@QAE@XZ
000368AD 000368CB ??0improper_scheduler_detach@Concurrency@@QAE@PBD@Z
000368CB 000368EF ??0improper_scheduler_detach@Concurrency@@QAE@XZ
000368EF 0003690D ??0improper_scheduler_reference@Concurrency@@QAE@PBD@Z
0003690D 00036931 ??0improper_scheduler_reference@Concurrency@@QAE@XZ
00036931 0003694F ??0default_scheduler_exists@Concurrency@@QAE@PBD@Z
0003694F 00036973 ??0default_scheduler_exists@Concurrency@@QAE@XZ
00036973 00036991 ??0context_unblock_unbalanced@Concurrency@@QAE@PBD@Z
00036991 000369B5 ??0context_unblock_unbalanced@Concurrency@@QAE@XZ
000369B5 000369D3 ??0context_self_unblock@Concurrency@@QAE@PBD@Z
000369D3 000369D8 j_??1exception@std@@UAE@XZ
000369D8 000369FC ??0context_self_unblock@Concurrency@@QAE@XZ
000369FC 00036A1A ??0missing_wait@Concurrency@@QAE@PBD@Z
00036A1A 00036A3E ??0missing_wait@Concurrency@@QAE@XZ
00036A3E 00036A5C ??0bad_target@Concurrency@@QAE@PBD@Z
00036A5C 00036A80 ??0bad_target@Concurrency@@QAE@XZ
00036A80 00036A9E ??0message_not_found@Concurrency@@QAE@PBD@Z
00036A9E 00036AC2 ??0message_not_found@Concurrency@@QAE@XZ
00036AC2 00036AE0 ??0invalid_link_target@Concurrency@@QAE@PBD@Z
00036AE0 00036B04 ??0invalid_link_target@Concurrency@@QAE@XZ
00036B04 00036B22 ??0invalid_scheduler_policy_key@Concurrency@@QAE@PBD@Z
00036B22 00036B46 ??0invalid_scheduler_policy_key@Concurrency@@QAE@XZ
00036B46 00036B64 ??0invalid_scheduler_policy_value@Concurrency@@QAE@PBD@Z
00036B64 00036B88 ??0invalid_scheduler_policy_value@Concurrency@@QAE@XZ
00036B88 00036BA6 ??0invalid_scheduler_policy_thread_specification@Concurrency@@QAE@PBD@Z
00036BA6 00036BCA ??0invalid_scheduler_policy_thread_specification@Concurrency@@QAE@XZ
00036BCA 00036BE8 ??0invalid_operation@Concurrency@@QAE@PBD@Z
00036BE8 00036C0C ??0invalid_operation@Concurrency@@QAE@XZ
00036C0C 00036C2A ??0nested_scheduler_missing_detach@Concurrency@@QAE@PBD@Z
00036C2A 00036C4E ??0nested_scheduler_missing_detach@Concurrency@@QAE@XZ
00036C4E 00036C6C ??0operation_timed_out@Concurrency@@QAE@PBD@Z
00036C6C 00036C90 ??0operation_timed_out@Concurrency@@QAE@XZ
00036C90 00036CAE ??0invalid_multiple_scheduling@Concurrency@@QAE@PBD@Z
00036CAE 00036CD2 ??0invalid_multiple_scheduling@Concurrency@@QAE@XZ
00036CD2 00036CF0 ??0invalid_oversubscribe_operation@Concurrency@@QAE@PBD@Z
00036CF0 00036D14 ??0invalid_oversubscribe_operation@Concurrency@@QAE@XZ
00036D14 00036D32 ??0improper_lock@Concurrency@@QAE@PBD@Z
00036D32 00036D56 ??0improper_lock@Concurrency@@QAE@XZ
00036D56 00036D74 ??0task_canceled@details@Concurrency@@QAE@PBD@Z
00036D74 00036D98 ??0task_canceled@details@Concurrency@@QAE@XZ
00038976 0003897A ?get_error_code@scheduler_resource_allocation_error@Concurrency@@QBEJXZ
00039177 0003917D ?_Value@_SpinCount@details@Concurrency@@SAIXZ
0003917D 00039193 ??0_ReentrantBlockingLock@details@Concurrency@@QAE@XZ
00039193 0003919D ?_Release@_ReentrantBlockingLock@details@Concurrency@@QAEXXZ
0003919D 000391A7 ??1_ReentrantBlockingLock@details@Concurrency@@QAE@XZ
000391A7 000391B4 ??0_ReentrantLock@details@Concurrency@@QAE@XZ
000391B4 000391BE ?_Acquire@_ReentrantBlockingLock@details@Concurrency@@QAEXXZ
000391BE 0003920C ?_Acquire@_ReentrantLock@details@Concurrency@@QAEXXZ
0003920C 0003921C ?_TryAcquire@_ReentrantBlockingLock@details@Concurrency@@QAE_NXZ
0003921C 0003924A ?_TryAcquire@_ReentrantLock@details@Concurrency@@QAE_NXZ
0003924A 00039271 ?_Release@_ReentrantLock@details@Concurrency@@QAEXXZ
00039271 00039285 ?_Acquire@_NonReentrantPPLLock@details@Concurrency@@QAEXPAX@Z
00039285 0003928A ?_Release@_NonReentrantPPLLock@details@Concurrency@@QAEXXZ
0003928A 000392AB ??0_ReentrantPPLLock@details@Concurrency@@QAE@XZ
000392AB 000392E3 ?_Acquire@_ReentrantPPLLock@details@Concurrency@@QAEXPAX@Z
000392E3 000392F5 ?_Release@_ReentrantPPLLock@details@Concurrency@@QAEXXZ
000392F5 00039305 ??0_ReaderWriterLock@details@Concurrency@@QAE@XZ
00039305 00039334 ?_AcquireRead@_ReaderWriterLock@details@Concurrency@@QAEXXZ
00039334 0003933C ?_ReleaseRead@_ReaderWriterLock@details@Concurrency@@QAEXXZ
0003933C 00039363 ?_AcquireWrite@_ReaderWriterLock@details@Concurrency@@QAEXXZ
00039363 00039374 ?_ReleaseWrite@_ReaderWriterLock@details@Concurrency@@QAEXXZ
00039374 00039395 ?_TryAcquireWrite@_ReaderWriterLock@details@Concurrency@@QAE_NXZ
000394DF 00039522 ??0_Scoped_lock@_NonReentrantPPLLock@details@Concurrency@@QAE@AAV123@@Z
00039522 00039529 ??1_Scoped_lock@_NonReentrantPPLLock@details@Concurrency@@QAE@XZ
00039529 0003956A ??0_Scoped_lock@_ReentrantPPLLock@details@Concurrency@@QAE@AAV123@@Z
0003956A 00039571 ??1_Scoped_lock@_ReentrantPPLLock@details@Concurrency@@QAE@XZ
00039571 00039588 ??0critical_section@Concurrency@@QAE@XZ
00039588 00039589 ??1reader_writer_lock@Concurrency@@QAE@XZ
00039589 0003958C ?native_handle@critical_section@Concurrency@@QAEAAV12@XZ
0003958C 000395C0 ?lock@critical_section@Concurrency@@QAEXXZ
000395C0 00039616 ?try_lock@critical_section@Concurrency@@QAE_NXZ
00039616 0003965B ?unlock@critical_section@Concurrency@@QAEXXZ
0003976C 000397AE ??0scoped_lock@critical_section@Concurrency@@QAE@AAV12@@Z
000397AE 000397BA ??1scoped_lock@critical_section@Concurrency@@QAE@XZ
000397BA 000397D7 ??0reader_writer_lock@Concurrency@@QAE@XZ
000397D7 0003980B ?lock@reader_writer_lock@Concurrency@@QAEXXZ
0003980B 0003987B ?try_lock@reader_writer_lock@Concurrency@@QAE_NXZ
0003987B 0003996E ?lock_read@reader_writer_lock@Concurrency@@QAEXXZ
0003996E 00039994 ?try_lock_read@reader_writer_lock@Concurrency@@QAE_NXZ
00039994 000399CD ?unlock@reader_writer_lock@Concurrency@@QAEXXZ
00039BA7 00039BE9 ??0scoped_lock@reader_writer_lock@Concurrency@@QAE@AAV12@@Z
00039BE9 00039BF0 ??1scoped_lock_read@reader_writer_lock@Concurrency@@QAE@XZ
00039BF0 00039C09 ??0scoped_lock_read@reader_writer_lock@Concurrency@@QAE@AAV12@@Z
00039DBB 00039DC6 ??_Fbad_cast@std@@QAEXXZ
00039DD1 00039DE8 ??4bad_typeid@std@@QAEAAV01@ABV01@@Z
00039DE8 00039DF3 ??_Fbad_typeid@std@@QAEXXZ
00039DFF 00039E46 ?GetOSVersion@Concurrency@@YA?AW4OSVersion@IResourceManager@1@XZ
00039E46 00039E50 ?CreateResourceManager@Concurrency@@YAPAUIResourceManager@1@XZ
00039E50 00039E5A ?GetProcessorCount@Concurrency@@YAIXZ
00039E5A 00039EAD ?GetProcessorNodeCount@Concurrency@@YAIXZ
00039EAD 00039EBD ?GetSchedulerId@Concurrency@@YAIXZ
00039EBD 00039ECD ?GetExecutionContextId@Concurrency@@YAIXZ
