0000A56A 0000A59A ?GetKey@CRegistrySource@@UAGJPAPAUHKEY__@@@Z
0000A59F 0000A5A9 ?Release@CRegistrySource@@W3AGKXZ
0000A5AE 0000A61D _AssocQueryKeyW@20
0000A622 0000A682 ?_GetRootKey@@YGPAUHKEY__@@W4_SHELLKEY@@PAH@Z
0000A687 0000A71C ?_OpenShellKey@@YGPAUHKEY__@@W4_SHELLKEY@@PAU1@HHPAK@Z
0000A721 0000A75C ?_OpenSKCache@@YGPAUHKEY__@@PAU1@HHHPAUSKCACHE@@PAK@Z
0000A761 0000A7CE _SHGetShellKey@12
0000A7D3 0000A80E ?_OpenKey@@YGPAUHKEY__@@PAU1@PBGHK@Z
0000A83C 0000A85D ??_GCAssocProgidElement@@UAEPAXI@Z
0000A862 0000A88F ??1CAssocProgidElement@@UAE@XZ
0000A8B3 0000A8D5 ??0CAssocProgidElement@@QAE@XZ
0000A8DA 0000A97C ?QueryValueString@CRegistrySource@@UAGJPBG0PAPAG@Z
0000A981 0000A9ED ??$_QuerySourceAny@X@CAssocElement@@IAEJP6GJPAUIQuerySource@@W4tagASSOCQUERY@@PBG2PAX@Z01123@Z
0000A9F2 0000AA07 ?QueryString@CAssocShellElement@@UAGJW4tagASSOCQUERY@@PBGPAPAG@Z
0000AA40 0000AA67 ?SetSource@CAssocElement@@UAGJPAUIQuerySource@@@Z
0000AA6C 0000AB22 _SHRegGetCLSIDKeyW@20
0000AB45 0000AB6B _StringCchPrintfW
0000AB70 0000ABBD _StringVPrintfWorkerW@16
0000ACC5 0000ACF3 ?QueryString@CAssocElement@@UAGJW4tagASSOCQUERY@@PBGPAPAG@Z
0000ACF8 0000AD1B ?_QuerySourceString@@YGJPAUIQuerySource@@W4tagASSOCQUERY@@PBG2PAPAG@Z
0000AD20 0000ADC6 ??$_QueryKeyValAny@PAG@CAssocElement@@IAEJP6GJPAUIQuerySource@@W4tagASSOCQUERY@@PBG2PAPAG@ZPBUQUERYKEYVAL@@I0123@Z
0000ADCB 0000ADFC ?_FindKeyVal@@YGPBUQUERYKEYVAL@@W4tagASSOCQUERY@@PBU1@I@Z
0000AE19 0000AE2E ?_GetQueryKeyVal@CAssocShellElement@@MAEIPAPBUQUERYKEYVAL@@@Z
0000AEC7 0000AF6F ?QueryString@CAssocProgidElement@@UAGJW4tagASSOCQUERY@@PBGPAPAG@Z
0000AF74 0000AFBA _StrToIntW@4
0000AFBF 0000AFE2 _PathUnquoteSpacesW@4
0000AFE7 0000B00D _IsMachineDomainMember@0
0000B01C 0000B059 _PathRemoveBlanksW@4
0000B05E 0000B098 _StrRChrW@12
0000B09D 0000B11B _PathParseIconLocationW@4
0000B120 0000B192 _AssocQueryStringByKeyW@24
0000B197 0000B1C4 _SHGetIniStringUTF7W@20
0000B1C9 0000B241 _GetPrivateProfileStringWrapW@24
0000B246 0000B2AA ??0CStrSectionX@@QAE@PBG@Z
0000B2B7 0000B374 ?GetPrivateProfileStringMultiW@@YGKPBG0PAG1K0@Z
0000B379 0000B3F5 ?GetEntirePrivateProfileStringAorW@@YGPAXPBX00H@Z
0000B40B 0000B48F _SHGetIniStringW@20
0000B494 0000B4AB ?Free@CConvertStrW@@IAEXXZ
0000B4B0 0000B539 _SHMapHandle@20
0000B53E 0000B554 _SHUnlockShared@4
0000B559 0000B58D _SHFreeShared@8
0000B592 0000B5EC _SHLockSharedEx@12
0000B5F1 0000B611 _SHAllocShared@12
0000B616 0000B6A2 __AllocShared@20
0000B6A7 0000B6D8 __FillHeader@20
0000B715 0000B75B ??0CFileStream@@QAE@PAXKPBG@Z
0000B760 0000B78F ?Release@CFileStream@@UAGKXZ
0000B794 0000B7B5 ??_GCFileStream@@AAEPAXI@Z
0000B7BA 0000B7DA ??1CFileStream@@AAE@XZ
0000B7DF 0000B7FB _SHRemoveDataBlock@8
0000B800 0000B879 _SHAddDataBlock@8
0000B87E 0000B894 _SHFreeDataBlockList@4
0000B899 0000B94C _SHCreateStreamOnFileW@12
0000B951 0000B968 ?IsAsciiCharW@@YGHG@Z
0000B96D 0000B993 ?IsValidSchemeCharW@@YGHG@Z
0000B998 0000B9D3 ?IsSafe@@YGHGG@Z
0000BA9D 0000BAFD ?FindSchemeW@@YGPBGPBGPAKH@Z
0000BB02 0000BB8C _ParseURLW@8
0000BB91 0000BBC3 _PathIsURLW@4
0000BBC8 0000BC18 _StrCmpNICA@12
0000BC1D 0000BCA7 ?_GetVerbDelegate@CAssocShellElement@@MAEJPBGPAPAUIAssociationElement@@@Z
0000BCAC 0000BCF8 _UrlIsW@8
0000BD09 0000BD2B ?OpenSource@CRegistrySource@@UAGJPBGHPAPAUIQuerySource@@@Z
0000BD30 0000BD8D ?QueryObject@CAssocShellElement@@UAGJW4tagASSOCQUERY@@PBGABU_GUID@@PAPAX@Z
0000BD92 0000BE0E ?_DefaultVerbSource@CAssocShellElement@@IAEJPAPAUIQuerySource@@@Z
0000BE13 0000BEA9 _SKAllocValueW@24
0000BEAE 0000BF83 _SHLoadIndirectString@16
0000BF88 0000C021 _SHLoadRegUIStringW@16
0000C045 0000C067 ??0CAssocClsidElement@@QAE@XZ
0000C0B1 0000C0C8 ?_InitSource@CAssocClsidElement@@MAEJXZ
0000C0D9 0000C180 _SHGetRestriction@12
0000C19C 0000C1D0 _PathFindFileNameA@4
0000C22E 0000C261 _SHGetCurColorRes@0
0000C266 0000C292 _IStream_Read@12
0000C297 0000C30C _ModeToCreateFileFlags@20
0000C311 0000C33D _IStream_Write@12
0000C5CD 0000C605 ?SchemeTypeFromStringW@@YG?AW4URL_SCHEME@@PBGK@Z
0000C60A 0000C626 ?IsSameSchemeW@@YGHPBG0K@Z
0000C636 0000C64D ??0ShStrW@@QAE@XZ
0000C652 0000C684 ?Reset@ShStrW@@QAEXXZ
0000C689 0000C6C2 _StrCmpNCW@12
0000C6C7 0000C6F8 ?SetSize@ShStrW@@QAEJK@Z
0000C6FD 0000C722 ?IsInsignificantWhite@@YGHG@Z
0000C727 0000C78A ?GetSchemeTypeAndFlagsW@@YG?AW4URL_SCHEME@@PBGKPAK@Z
0000C7ED 0000C80C ?SetStr@ShStrW@@QAEJPBGK@Z
0000C811 0000C872 ?_SetStr@ShStrW@@AAEJPBGK@Z
0000C877 0000C8AD ?BreakFragment@@YGXPAPAGPAU_UrlParts@@@Z
0000C8B2 0000C8ED ?BreakPath@@YGXPAPAGPAU_UrlParts@@@Z
0000C8F2 0000C94B ?BreakServer@@YGXPAPAGPAU_UrlParts@@H@Z
0000C950 0000C96C ?IsDrive@@YGHPBG@Z
0000C971 0000C995 ?IsDosDrive@@YGHPBG@Z
0000C99A 0000C9BB ?FindFragmentW@@YGPBGPBGH@Z
0000C9C0 0000C9FF ?DefaultBreakPath@@YGXPAPAGPAU_UrlParts@@@Z
0000CA04 0000CA5C ?DefaultBreakSegments@@YGXPAGPAU_UrlParts@@@Z
0000CA68 0000CACB ?BreakScheme@@YGXPAPAGPAU_UrlParts@@@Z
0000CAD0 0000CB09 ?BreakQuery@@YGXPAPAGPAU_UrlParts@@@Z
0000CB0E 0000CB25 ?_ShouldBreakBase@@YGHPAU_UrlParts@@PBG@Z
0000CB3F 0000CB5E ?IsDriveUrl@@YGHPBG@Z
0000CB63 0000CB7B ?IsDot@@YGHPBG@Z
0000CB80 0000CB98 ?IsDotDot@@YGHPBG@Z
0000CB9D 0000CBF3 ?CopyOutW@@YGJPAVShStrW@@PAGPAK@Z
0000CBF8 0000CC11 _CharLowerWrapW@4
0000CC16 0000CC90 ?Append@ShStrW@@QAEJPBGK@Z
0000CC95 0000CD52 _UrlGetPartW@20
0000CD57 0000CE48 ?SHUrlGetPart@@YGJPAVShStrW@@0KK@Z
0000D85B 0000D865 ?Release@CAssocElement@@W3AGKXZ
0000D86A 0000D893 ??0CAssocShellVerbElement@@QAE@H@Z
0000D8D5 0000D8F6 ??_GCAssocShellVerbElement@@UAEPAXI@Z
0000FB95 0000FB98 _ldap_search_init_pageW
0000FEAD 0000FEB7 ?AddRef@CAssocElement@@W3AGKXZ
0000FEBC 0000FEC3 ?QueryInterface@CAssocElement@@W3AGJABU_GUID@@PAPAX@Z
0000FEC8 0000FEE4 ?QueryInterface@CAssocElement@@UAGJABU_GUID@@PAPAX@Z
0000FF01 0000FFD2 ?QueryValueDirect@CRegistrySource@@UAGJPBG0PAPAU_FLAGGED_BYTE_BLOB@@@Z
0000FFD7 00010005 ?QueryDirect@CAssocElement@@UAGJW4tagASSOCQUERY@@PBGPAPAU_FLAGGED_BYTE_BLOB@@@Z
0001000A 00010025 ?_QuerySourceDirect@@YGJPAUIQuerySource@@W4tagASSOCQUERY@@PBG2PAPAU_FLAGGED_BYTE_BLOB@@@Z
0001002A 0001009D _SHRegGetValueA@28
000100C3 000100E8 _SHGetValueA@24
000100ED 00010169 _SHRegQueryValueA@24
0001016E 00010198 _FixRegDataA@32
000101EB 0001020F _SHQueryValueExA@24
00010214 00010281 __StrCmpNA@16
0001029D 000102C4 ?DefaultBreakServer@@YGXPAPAGPAU_UrlParts@@@Z
000102D2 000102FB _ChrCmpA_inline@8
00010300 0001033D _StrRChrA@12
0001036C 00010377 _NT5_ExpandEnvironmentStringsForUserW@16
00010377 0001037D _ExpandEnvironmentStringsForUserW@16
00010382 00010389 __imp_load__ExpandEnvironmentStringsForUserW@16
00010389 0001039A __tailMerge_USERENV
000103F5 0001042A _SHGetMachineInfo@4
0001042F 00010455 ?IsTSClient@@YGHXZ
00010486 000104BA _Shlwapi_StrCatW@8
000104BF 000104FB _GetObjectWrapW@12
00010500 00010548 _LoadImageWrapW@24
0001054D 00010588 _PathAddBackslashA@4
0001058D 000105FC _SHRegSubKeyAddBackslashA@8
0001064D 000106BB _SHRegQueryInfoUSKeyW@24
000106C0 000106F7 _PrivRegQueryInfoKey@28
000106FC 0001072E _SHQueryInfoKeyW@20
00010733 000107A1 _RegEnumKeyExWrapW@32
000107A6 00010809 _StrCmpNIA@12
0001080E 00010842 __StrCmpLocaleA@20
00010868 0001091E _RegQueryInfoKeyWrapW@48
0001091E 0001092F __tailMerge_VERSION
00010934 0001093B __imp_load__GetFileVersionInfoSizeW@8
00010940 00010947 __imp_load__GetFileVersionInfoW@16
0001094C 00010953 __imp_load__VerQueryValueW@16
00010958 00010973 ?_QueryString@@YGJPAUIAssociationElement@@W4tagASSOCQUERY@@PBGPAPAG@Z
00010996 000109D8 _RegEnumKeyWrapW@16
000109DD 00010A1F _GetUserNameWrapW@8
000110A3 0001110D _AssocGetPerceivedType@16
00011131 00011160 ?_LookupKnownTypeByExt@@YGPBUKNOWNTYPE@@PBG@Z
00011165 000111B3 ?_IsExtKnown@@YGHPBGPBQBG@Z
000111F3 00011215 ??0CAssocSystemExtElement@@QAE@XZ
00011261 00011278 ?_InitSource@CAssocSystemExtElement@@MAEJXZ
000112CA 000112EC ??0CAssocPerceivedElement@@QAE@XZ
00011335 00011392 ?_InitSource@CAssocPerceivedElement@@MAEJXZ
00011397 000113F8 _SHRegGetStringW@20
000113FD 0001142B ?QueryValueExists@CRegistrySource@@UAGJPBG0@Z
00011430 00011445 ?QueryExists@CAssocShellElement@@UAGJW4tagASSOCQUERY@@PBG@Z
00011445 0001146E ?QueryExists@CAssocElement@@UAGJW4tagASSOCQUERY@@PBG@Z
00011473 0001148B ?_QuerySourceExists@@YGJPAUIQuerySource@@W4tagASSOCQUERY@@PBG2PAX@Z
000114B2 000114F0 ?_LookupKnownTypeByType@@YGPBUKNOWNTYPE@@PBG@Z
00011505 00011527 ??0CAssocStarElement@@QAE@XZ
00011591 000115AC ?_InitSource@CAssocStarElement@@MAEJXZ
000115B5 000115CD ?QueryString@CAssocStarElement@@UAGJW4tagASSOCQUERY@@PBGPAPAG@Z
000115D4 000116CF ___delayLoadHelper2@8
000116CF 000116E0 __tailMerge_SHELL32
0001179F 000117B0 __tailMerge_ole32
000117B5 000117BF __imp_load__SHCoCreateInstance@20
000117C4 000117CB __imp_load__CoTaskMemAlloc@4
000117D0 000117D7 __imp_load__CoTaskMemFree@4
00011818 0001181F __imp_load__CoCreateInstance@20
00011824 0001182B __imp_load__ApphelpCheckShellObject@12
0001182B 0001183C __tailMerge_appHelp
00011860 00011882 ??0CAssocFolderElement@@QAE@XZ
000118ED 00011908 ?_InitSource@CAssocFolderElement@@MAEJXZ
0001191B 00011933 ?QueryString@CAssocFolderElement@@UAGJW4tagASSOCQUERY@@PBGPAPAG@Z
00011940 00011A07 _SHCreateShellPalette@4
00011A16 00011A4C _RegisterWindowMessageWrapW@4
00011A76 00011AE7 _MLGetUILanguage@0
00011AEC 00011B42 ?_ValidateMUICache@@YGXPAUHKEY__@@@Z
00011BA9 00011BB3 __imp_load__IsNetDrive@4
00011BB8 00011BC2 __imp_load__SHRestricted@4
00011BC2 00011BD3 __tailMerge_OLEAUT32
00011BD8 00011BDF __imp_load__VariantClear@4
00011BE4 00011BEB __imp_load__VariantChangeType@16
00011BF0 00011BF7 __imp_load__SysAllocString@4
00011BFC 00011C03 __imp_load__SysFreeString@4
00011C08 00011C0F __imp_load__SysAllocStringByteLen@8
00011C14 00011C1B __imp_load__VariantInit@4
00011C37 00011C7C _NT5_NetGetJoinInformation@12
00011CC4 00011D09 _NT5_NetApiBufferFree@4
00011D8B 00011DD6 ?InitializeWorkerThreadPool@@YGKXZ
00011DDB 00011E47 ?Init@CThreadPool@@QAEHXZ
00011E4C 00011E56 __imp_load__ILIsEqual@8
00011E5B 00011E65 __imp_load__RealDriveType@8
00011E6A 00011E74 __imp_load__ILClone@4
00011E79 00011E83 __imp_load__SHBindToParent@16
0001227A 000122F5 ?_GetRegistryCompatFlags@@YGKPAD@Z
00012363 000123BC _RunningOnWow64@0
000124BA 00012578 _SHOpenRegStream2W@16
000125BB 0001260E ?QSOpen2@@YGJPAUIQuerySource@@PBG1HPAPAU1@@Z
00012613 00012648 _StrRetToStrW@12
00012694 000126BB _SHGetThreadRef@4
000126C0 00012722 _SHPropagateMessage@20
00012727 0001275C ?PropagateCallback@@YGHPAUHWND__@@J@Z
000127AC 00012821 _PathMatchSingleSpecW@8
00012826 000128A7 _PathMatchSpecW@8
000128AC 0001291D _IShellFolder_EnumObjects@16
00012922 00012944 _FixSlashesAndColonW@4
0001295E 0001298C _PathIsFileSpecW@4
00012A13 00012A6E ?QueryString@CAssocShellVerbElement@@UAGJW4tagASSOCQUERY@@PBGPAPAG@Z
00012A73 00012A88 ?_GetQueryKeyVal@CAssocShellVerbElement@@MAEIPAPBUQUERYKEYVAL@@@Z
00012AFD 00012C4E ?GetData@CAssocW2k@@UAGJKW4ASSOCDATA@@PBGPAXPAK@Z
00012CAD 00012D1D ?_DDEKey@CAssocW2k@@IAEPAUHKEY__@@HPBG@Z
00012D35 00012D7E _PathFileExistsDefExtAndAttributesW@12
00012D9F 00012DD0 _PathIsAbsolute@4
00012DD5 00012E02 ?_PathGetArgsLikeCreateProcess@@YGPAGPBG@Z
00012E07 00012E1F ?StringCchCatNW@@YGJPAGIPBGI@Z
00012E1F 00012E56 ?StringCatNWorkerW@@YGJPAGIPBGI@Z
00012E5B 00012E91 ?_ParamIsApp@@YGHPBG@Z
00012EA3 00012ED9 ?_CopyExe@@YGJPAGIPBGI@Z
00012EE7 00012F61 _StrTrimW@8
00012FA1 00013019 ?_ExeFromCmd@@YGJPBGPAPAG@Z
0001303B 0001318C _SHEvaluateSystemCommandTemplate@16
00013191 000131BC ?_PathExeExists@@YGJPAG@Z
0001321A 00013270 ?_PathMatchesSuspicious@@YGHPBG@Z
00013284 0001328E __imp_load__SHGetFolderPathW@20
00013293 000132F1 ?_SHAllocMUI@@YGJPAPAG@Z
000132F6 00013331 _GetFileVersionInfoSizeWrapW@8
00013336 0001333C _GetFileVersionInfoSizeW@8
00013341 00013382 _GetFileVersionInfoWrapW@16
00013387 0001338D _GetFileVersionInfoW@16
00013392 000133E7 _VerQueryValueWrapW@16
000133EC 000133F2 _VerQueryValueW@16
00013459 00013652 _SHGetFileDescriptionW@20
000136C1 00013733 ?_AllocValueString@@YGJPAUHKEY__@@PBG1PAPAG@Z
00013738 000137B9 _PrettifyFileDescriptionW@8
0001385D 000138CE _StrRStrIW@12
000138F3 00013970 _NullTerminateRegMultiSzStringW@16
00013C93 00013CAE _AssocIsDangerous@4
