000197A7 0001980E _FireEvent_DoInvokeDispid@8
00019813 00019854 _IsTopFrameBrowser@8
0001988A 00019894 ?Release@CIEFrameAuto@@WCA@AGKXZ
00019899 000198B4 ?_FreeQueuedPidl@CBaseBrowser2@@IAEXPAPAU_ITEMIDLIST@@@Z
000198B9 00019932 ?_NotifyCommandStateChange@CBaseBrowser2@@IAEXXZ
00019937 000199B1 ?_IsViewMSHTML@CBaseBrowser2@@IAEHPAUIShellView@@@Z
000199B6 000199DD ?SetNavigateState@CBaseBrowser2@@UAGJW4tagBNSTATE@@@Z
000199FB 00019A11 ?GetWindow@CBaseBrowser2@@UAGJPAPAUHWND__@@@Z
00019A16 00019A55 _CreateBindCtxForUI@4
00019A5A 00019AA3 ?_DisableModeless@CBaseBrowser2@@UAGJXZ
00019AA8 00019AD6 ?_CanNavigate@CBaseBrowser2@@IAEHXZ
00019ADB 00019C16 ?UpdateSecureLockIcon@CBaseBrowser2@@UAGJH@Z
00019C36 00019D86 _FireEvent_NavigateComplete@16
00019DB6 00019E12 ?GetProperty@CIEFrameAuto@@UAGJPAGPAUtagVARIANT@@@Z
00019E17 00019E33 ?IEDDE_AfterNavigate@@YGJPBGPAUHWND__@@@Z
00019E38 00019EC2 ?AttachIntelliForms@COmWindow@CIEFrameAuto@@AAEJXZ
00019EC7 00019EF3 ?SinkDelegate@COmWindow@CIEFrameAuto@@AAEJXZ
00019EF8 00019F28 ?ViewActivated@COmWindow@CIEFrameAuto@@UAGJXZ
00019F2D 00019FC0 ?IsDelegateComplete@COmWindow@CIEFrameAuto@@AAEHXZ
00019FC5 00019FEB ?_CancelPendingView@CBaseBrowser2@@UAGJXZ
00019FF0 0001A055 ?_ActivatePendingNavigateContext@CIEFrameAuto@@IAEXXZ
0001A05A 0001A064 ?Release@CIEFrameAuto@@WBE@AGKXZ
0001A06D 0001A08F _DPA_GetPtr@8
0001A094 0001A0C4 ?_CancelPendingNavigation@CBaseBrowser2@@IAEJH@Z
0001A0C9 0001A0DD ?_StopAsyncOperation@CBaseBrowser2@@IAEXXZ
0001A0E2 0001A1D6 ?_UpdatePrivacyIcon@CBaseBrowser2@@AAEJHH@Z
0001A1DB 0001A33D ?ReleaseShellView@CBaseBrowser2@@UAGJXZ
0001A350 0001A370 ?_VariantClear@CIEFrameAutoProp@@QAEXXZ
0001A379 0001A3BD _VariantCopyLazy@8
0001A3C2 0001A44C ?SetValue@CIEFrameAutoProp@@QAEJPAUtagVARIANT@@PAUIWebBrowser2@@@Z
0001A451 0001A4E8 ?_CheckInCacheIfOffline@CBaseBrowser2@@IAEJPBU_ITEMIDLIST@@H@Z
0001A4ED 0001A51F _IsBrowserFrameOptionsPidlSet@8
0001A524 0001A579 _GetBrowserFrameOptionsPidl@12
0001A57E 0001A59A _IEBindToObjectEx@16
0001A59F 0001A80D _FireEvent_BeforeNavigate@44
0001A812 0001A82E ?IEDDE_BeforeNavigate@@YGJPBGPAH@Z
0001A833 0001A89F ?PutProperty@CIEFrameAuto@@UAGJPAGUtagVARIANT@@@Z
0001A8A4 0001A917 _FireEvent_DoInvokeBstr@12
0001A91C 0001A936 ?GetFrameName@CIEFrameAuto@@UAGJPAPAG@Z
0001A93B 0001A954 ?GetOleStrMember@@YGJPBGPAPAG@Z
0001A959 0001AA1F ?_UpdateTravelLog@CBaseBrowser2@@IAEXH@Z
0001AA75 0001AC36 ?_OnGoto@CBaseBrowser2@@IAEJXZ
0001AC3B 0001ADD7 ?_NavigateToPidl@CBaseBrowser2@@UAGJPBU_ITEMIDLIST@@KK@Z
0001ADDC 0001AE22 ?CreateViewWindow@CBaseBrowser2@@UAGJPAUIShellView@@0PAUtagRECT@@PAPAUHWND__@@@Z
0001AE27 0001AF37 ?FileCabinet_CreateViewWindow2@@YGJPAUIShellBrowser@@PAUtagFolderSetDataBase@@PAUIShellView@@2PAUtagRECT@@PAPAUHWND__@@@Z
0001AF8A 0001B17E ?_CreateNewShellView@CBaseBrowser2@@AAEJPAUIShellFolder@@PBU_ITEMIDLIST@@K@Z
0001B198 0001B1C3 ?_MaySaveChanges@CBaseBrowser2@@UAGJXZ
0001B1C8 0001B1ED ?_CheckZoneCrossing@CBaseBrowser2@@MAEJPBU_ITEMIDLIST@@@Z
0001B211 0001B264 ?GetHistoryObject@CBaseBrowser2@@UAGJPAPAUIOleObject@@PAPAUIStream@@PAPAUIBindCtx@@@Z
0001B269 0001B2A1 ?_CreateNewShellViewPidl@CBaseBrowser2@@AAEJPBU_ITEMIDLIST@@KK@Z
0001B2CB 0001B313 ?GetTopLevelPendingBindStatusCallback@@YGJPAUIServiceProvider@@PAPAUIBindStatusCallback@@@Z
0001B318 0001B330 ?CShellViews_Init@@YGHPAUCShellViews@@@Z
0001B335 0001B33F ?QueryInterface@CIEFrameAuto@@WCI@AGJABU_GUID@@PAPAX@Z
0001B344 0001B362 ?IEBindToObjectForNavigate@@YGJPBU_ITEMIDLIST@@PAUIBindCtx@@PAPAUIShellFolder@@@Z
0001B39F 0001B3CE ?CViewSet_New@@YGPAUCViewSet@@XZ
0001B3D9 0001B3FB _DSA_Create@8
0001B400 0001B42E ?CShellViews_GetDefaultView@@YGXPAUCShellViews@@IPAU_GUID@@@Z
0001B433 0001B44C ?CViewSet_GetDefaultView@@YGXPAUCViewSet@@PAU_GUID@@@Z
0001B455 0001B477 _DSA_GetItem@12
0001B47C 0001B601 ?_FireBeforeNavigateEvent@CBaseBrowser2@@IAEJPBU_ITEMIDLIST@@PAH@Z
0001B606 0001B625 ?SetStr@ShStrW@@QAEJPBGK@Z
0001B62A 0001B64B ?_SetStr@ShStrW@@AAEJPBGK@Z
0001B650 0001B6D6 ?Navigate@CIEFrameAuto@@UAGJKPAUIBindCtx@@PAUIBindStatusCallback@@PAUIHlink@@@Z
0001B6DB 0001B7FB ?_NavigateMagnum@CIEFrameAuto@@IAEJKPAUIBindCtx@@PAUIBindStatusCallback@@PBG22PAUIHlink@@PAUIMoniker@@@Z
0001B800 0001B887 ?BrowseObject@CBaseBrowser2@@UAGJPBU_ITEMIDLIST@@I@Z
0001B88C 0001B91C ?_NavigateToPidlAsync@CBaseBrowser2@@IAEXPAU_ITEMIDLIST@@KH@Z
0001BA66 0001BA72 ?_OnNavigateComplete@CBaseBrowser2@@MAEXPBU_ITEMIDLIST@@K@Z
0001BA77 0001BAA7 ?_PositionViewWindow@CBaseBrowser2@@MAGJPAUHWND__@@PAUtagRECT@@@Z
0001BAAC 0001BAD1 ?_PositionViewWindowHelper@CBaseBrowser2@@IAEXPAUHWND__@@PAUtagRECT@@@Z
0001BAD6 0001BC0D ?ActivatePendingView@CBaseBrowser2@@UAGJXZ
0001BC12 0001BC31 _IEGetNameAndFlags@20
0001BC36 0001BDFA ?_SwitchActivationNow@CBaseBrowser2@@UAGJXZ
0001BDFF 0001BE1A ?_ColorsDirty@CBaseBrowser2@@IAEXW4BrowserPaletteType@1@@Z
0001BE36 0001BFAC ?SetOwner@CIEFrameAuto@@UAGJPAUIUnknown@@@Z
0001BFB1 0001BFF0 ?_IsP3Enabled@COpsProfile@CIEFrameAuto@@QAEHXZ
0001C035 0001C062 ?_GetCanonicalOuter@CAggregatedUnknown@@AAEPAUIUnknown@@XZ
0001C067 0001C071 ?Release@CIEFrameAuto@@W7AGKXZ
0001C0D6 0001C115 ?Initialize@CIEFrameAutoProp@@QAEJPAG@Z
0001C11A 0001C124 __imp_load__CoUninitialize@0
0001C129 0001C133 __imp_load__CoInitializeEx@8
