0000969D 000096BE _IsStandaloneWKS@0
000096C3 000096DA _IsConsumerPlatform@0
000096DF 00009921 _LoadRasapi32Dll@0
00009B57 0000A2D9 _LoadRasmanDll@0
0000A9EB 0000AA08 _UninitializeConnection@4
0000AA0D 0000AA66 _RemoteGetVersion@8
0000AA79 0000AAFE _RemoteRasPortEnum@16
0000AB11 0000AB99 _RemoteRasDeviceEnum@20
0000ABB1 0000AC15 _RemoteRasGetDevConfig@20
0000AC29 0000AC9C _RemoteRasPortGetInfo@16
0000ACB1 0000AD09 _RemoteGetInstalledProtocols@4
0000AD21 0000AD90 _RemoteGetInstalledProtocolsEx@16
0000ADA1 0000ADFF _RemoteGetSystemDirectory@12
0000AE11 0000AE41 _RasGetSystemDirectory@12
0000AE46 0000AEFA _RemoteGetUserPreferences@12
0000AF11 0000AF6F _RemoteRasDeleteEntry@12
0000AF81 0000B01B _RemoteSetUserPreferences@12
0000B031 0000B12A _UnloadRasRpcDll@0
0000B12F 0000B15B _GetServerVersion@8
0000B160 0000B2AC _InitializeConnection@8
0000B2B1 0000B364 _CallbackListFromRpc@8
0000B3A0 0000B43E _StringListFromRpc@8
0000B476 0000B51F _LocationListFromRpc@8
0000B588 0000B765 _RpcToRasPbuser@8
0000B797 0000B7AB _MIDL_user_allocate@4
0000B7B0 0000B7BC _DtlDestroyNode@4
0000B7C1 0000B8EA _CallbackListToRpc@8
0000B922 0000B9E7 _StringListToRpc@8
0000BA1C 0000BAD8 _LocationListToRpc@8
0000BB36 0000BD20 _RasToRpcPbuser@8
0000BD4F 0000BD79 _CreateLocationNode@12
0000BD7E 0000BDF5 _CreateCallbackNode@16
0000BDFA 0000BE05 _DestroyLocationNode@4
0000BE0A 0000BE3A _DestroyCallbackNode@4
0000BE3F 0000BEBF _DestroyUserPreferences@4
0000BEC4 0000C0A2 _GetCallbackList@8
0000C0A7 0000C1E9 _GetLocationList@8
0000C1EE 0000C50A _ReadUserPreferences@8
0000C569 0000C6ED _SetCallbackList@8
0000C6F2 0000C7F8 _SetDefaultUserPreferences@8
0000C89F 0000C9D7 _SetLocationList@8
0000C9DC 0000CCFA _WriteUserPreferences@8
0000CD2E 0000CDED _DwSetUserPreferences@8
0000CE26 0000CE55 _SetUserPreferences@12
0000CE5A 0000CF19 _MoveLogonPreferences@0
0000CF91 0000D097 _MoveUserPreferences@0
0000D1E9 0000D2D2 _DwGetUserPreferences@8
0000D31A 0000D349 _GetUserPreferences@12
0000D34E 0000D366 _Free0@4
0000D36B 0000D36E _GetInstalledProtocols@0
0000D373 0000D3B2 _RegQueryDword@12
0000D3B7 0000D411 _FProtocolEnabled@12
0000D445 0000D522 _DwGetInstalledProtocolsEx@12
0000D5FF 0000D634 _GetInstalledProtocolsEx@16
0000D639 0000D677 _LToT@12
0000D68B 0000D6C9 _TToL@4
0000D6CE 0000D742 _PszFromDeviceAndPort@8
0000D759 0000D7AE _StrDup@4
0000D7CA 0000D80E _StripPath@4
