0006B720 0006B742 ?MoveGap@CTxtBlk@@IAEXK@Z
0006B747 0006B74D ?GetClassDesc@CDocument@@UBEPBUCLASSDESC@CBase@@XZ
0006B755 0006B763 ?FlushUndoData@CDoc@@QAEXXZ
0006B76B 0006B7E5 ?AddTuple@CAryWindowTbl@@QAEJPAUIHTMLWindow2@@PAEKH0@Z
0006B7EA 0006B862 ?Init@COmWindowProxy@@QAEJPAUIHTMLWindow2@@PAEK@Z
0006B867 0006B897 ?EnsureWindowInfo@@YGJXZ
0006B89C 0006B90A ??0COmWindowProxy@@QAE@XZ
0006B90F 0006B93E ?GetStmDirty@CMarkup@@QAEPAUIStream@@XZ
0006B943 0006B95E ?ClearDefaultCharFormat@CMarkup@@QAEXXZ
0006B963 0006B9D4 ?VoidCachedNodeInfo@CTreeNode@@QAEXXZ
0006B9D9 0006BA52 ?UpdateFromRegistry@CDoc@@QAEJKPAH@Z
0006BA57 0006BA79 ?ClearPtr@CElement@@SGXPAPAV1@@Z
0006BA7E 0006BA9A ?GetAAcodepageurl@CMarkup@@QBEJXZ
0006BA9F 0006BAB7 ?SetDwnDoc@CMarkup@@QAEJPAVCDwnDoc@@@Z
0006BABC 0006BAD6 ?DelUrl@CMarkup@@QAEPAGXZ
0006BB16 0006BB46 ?DelUrlLocationPtr@CMarkup@@QAEPAGXZ
0006BB4B 0006BB50 ?Release@CHtmInfo@@UAEKXZ
0006BB55 0006BB79 ?Notify@CHtmlElement@@UAEXPAVCNotification@@@Z
0006BB90 0006BBFD ?_MemAllocString@@YGJPBGPAPAG@Z
0006BC15 0006BC55 ??1CFancyFormat@@QAE@XZ
0006BC5A 0006BCA4 ?DelLookasidePtr@CMarkup@@QAEPAXH@Z
0006BCE1 0006BDC1 ?CreateInitialMarkup@CMarkup@@QAEJPAVCRootElement@@@Z
0006BDC6 0006BE37 ?Append@CMarkup@@QAEJPAVCTreePos@@@Z
0006BE3C 0006BE71 ?ReplaceMonikerPtr@CMarkup@@QAEJPAUIMoniker@@@Z
0006BE76 0006BED8 ?DiscardFrom@CUndoManager@@UAGJPAUIOleUndoUnit@@@Z
0006BF16 0006BFD2 ?FindProxy@CAryWindowTbl@@QAEJPAUIHTMLWindow2@@PAEKHPAPAU2@H@Z
0006BFD7 0006BFF5 ?IsSameObject@@YGHPAUIUnknown@@0@Z
0006BFFA 0006C09A ?SetUrl@CMarkup@@SGJPAV1@PBG@Z
0006C09F 0006C0C0 ?SetUrl@CMarkup@@QAEJPAG@Z
0006C0C5 0006C0E0 ?EnsureLocationContext@CMarkup@@QAEPAVCMarkupLocationContext@@XZ
0006C0E5 0006C112 ?SetUrlOriginal@CMarkup@@SGJPAV1@QBG@Z
0006C117 0006C12F ?UrlOriginal@CMarkup@@QAEPBGXZ
0006C134 0006C148 ?ClearDwnPost@CMarkup@@QAEXXZ
0006C14D 0006C17C ?GetDwnPost@CMarkup@@QAEPAVCDwnPost@@XZ
0006C1A9 0006C1E2 ?AddBlock@CTxtArray@@AAEHKJ@Z
0006C1E7 0006C222 ?InitBlock@CTxtBlk@@IAEHK@Z
0006C227 0006C250 ?SetLoad@CHtmCtx@@QAEXHPAUDWNLOADINFO@@H@Z
0006C255 0006C2AE ?SetLoad@CDwnCtx@@QAEXHPAUDWNLOADINFO@@H@Z
0006C2B3 0006C2FB ?SetLoad@CDwnInfo@@QAEXPAVCDwnCtx@@HHPAUDWNLOADINFO@@@Z
0006C319 0006C38B ?FormsKillTimer@@YGJPAXI@Z
0006C3F4 0006C414 ??_G?$CPtrAry@PAVCCommitHolder@@@@QAEPAXI@Z
0006C495 0006C4AB ?IsHtmlLayout@CMarkup@@QAEHXZ
0006C4B0 0006C4C6 ?IsShut@CDoc@@QAEHXZ
0006C4CB 0006C4F8 ?IsPrimaryWindow@CWindow@@QAEHXZ
0006C510 0006C514 ?SecurityContext@CRenderStyle@@UBEPAVCSecurityContext@@XZ
0006C519 0006C556 ?ShouldHaveLayout@CElement@@QAEHPAVCTreeNode@@@Z
0006C567 0006C587 ?IsDesignMode@CElement@@QAEHXZ
0006C58C 0006C5CB ?SetLookasidePtr@CMarkup@@QAEJHPAX@Z
0006C5D0 0006C612 ?GetFrameOptions@CMarkup@@QAEKXZ
0006C617 0006C646 ?UrlLocationPtr@CMarkup@@QAEPAGXZ
0006C64B 0006C6DF ?PrivateQueryInterface@CWindow@@UAGJABU_GUID@@PAPAX@Z
0006C6E4 0006C712 ?Push@EVENTPARAM@@QAEXXZ
0006C717 0006C734 ?PrivateAddRef@CDocument@@UAGKXZ
0006C739 0006C797 ?GetSecurityThunk@CDocument@@QAEJPAPAX@Z
0006C79C 0006C7B4 ?PrivateQueryInterface@CDocument@@UAGJABU_GUID@@PAPAX@Z
0006C7B9 0006C7D0 ?QueryInterface@CStyleSheet@@UAGJABU_GUID@@PAPAX@Z
0006C7D5 0006C7E6 ?Window@CDocument@@QAEPAVCWindow@@XZ
0006C81F 0006C835 ?AddRef@CProgSink@@UAGKXZ
0006C83A 0006C840 ?GetClassDesc@CHtmlElement@@UBEPBUCLASSDESC@CBase@@XZ
0006C845 0006C84B ?GetClassDesc@CHeadElement@@UBEPBUCLASSDESC@CBase@@XZ
0006C850 0006C856 ?GetClassDesc@CTitleElement@@MBEPBUCLASSDESC@CBase@@XZ
0006C85B 0006C877 ?SecurityContextAllowsAccess@CBase@@UAEHXZ
0006C8B9 0006C908 ?CTExec@@YGJPAUIUnknown@@PBU_GUID@@KKPAUtagVARIANT@@2@Z
0006C90D 0006C910 ?UnBind@CCursorConsumer@@UAEJXZ
0006C9BD 0006CA45 ?InsertIndirect@CImplAry@@IAEJIHPAX@Z
0006CA4A 0006CA5D ?EnsureSize@CImplPtrAry@@QAEJJ@Z
0006CA62 0006CA78 ?Append@CImplPtrAry@@IAEJPAX@Z
0006CA7D 0006CAA8 ?TearoffThunk8@@YGXXZ
0006CAD5 0006CBA3 ?GlobalWndOnMethodCall@@YGXXZ
0006CBA8 0006CBBA ?Mul@CFloatlet@@QBEHH@Z
0006CBBF 0006CBE9 ?FreeEXCEPINFO@@YGXPAUtagEXCEPINFO@@@Z
0006CBEE 0006CBF2 ?SetStatusText@CBtnHelper@@UAEJXZ
0006CBF7 0006CBFD ?GetClassDesc@CBodyElement@@MBEPBUCLASSDESC@CBase@@XZ
0006CC6E 0006CCCB ?GetCp@CTreePos@@QAEJXZ
0006CCD0 0006CD46 ?PrivateQueryInterface@CEventObj@@UAGJABU_GUID@@PAPAX@Z
0006CD4B 0006CD7F ??0CEventObj@@QAE@PAVCDoc@@@Z
0006CD84 0006CE10 ?Add@CDataCacheBase@@IAEJPBXPAJH@Z
0006CE15 0006CE1A ?Commit@CDwnPostStm@@UAGJK@Z
0006CE1F 0006CE88 ?Terminate@CDwnBindData@@QAEXJ@Z
0006CE8D 0006CED9 ?GetState@CDwnCtx@@QAEKH@Z
0006CEDE 0006CF35 ?SetProgSink@CDwnCtx@@QAEJPAUIProgSink@@@Z
0006CF3A 0006CF8D ?Broadcast@CHtmPost@@AAEJP8CHtmParse@@AGJXZ@Z
0006CF92 0006CF9F ?IsNoProgressUI@CHtmCtx@@QAEHXZ
0006CFA4 0006CFAE ?GetBindResult@CHtmCtx@@QAEJXZ
0006CFB3 0006CFB9 _SysAllocString@4
0006CFBE 0006CFC3 ?ElementContent@CLayout@@UAEPAVCElement@@XZ
0006CFC8 0006CFD5 ?GetSlaveIfMaster@CElement@@QAEPAV1@XZ
0006CFF9 0006D0E9 ?QueryInterface@CDocument@@UAGJABU_GUID@@PAPAX@Z
0006D0EE 0006D101 ?Doc@CDocument@@QAEPAVCDoc@@XZ
0006D101 0006D12D ?Doc@CWindow@@QAEPAVCDoc@@XZ
0006D132 0006D140 ?Markup@CDocument@@QAEPAVCMarkup@@XZ
0006D145 0006D149 ?Markup@CWindow@@QAEPAVCMarkup@@XZ
0006D199 0006D1C5 ?GetDocumentReadyState@CDocument@@QAEJXZ
0006D1C5 0006D1E1 ?GetAAreadystate@CMarkup@@QBEJXZ
0006D202 0006D24D ?CacheData@CDataCacheBase@@AAEJPBXPAJPAHH@Z
0006D252 0006D2A4 ?Find@CDataCacheBase@@IBEJPBX@Z
0006D2A9 0006D2DC ?Signal@CProgSink@@QAEXI@Z
0006D2E1 0006D383 ?_GWPostMethodCallEx@@YGJPAUTHREADSTATE@@PAXP8CVoid@@AGXK@ZKH@Z
0006D388 0006D654 ?InvokeEvent@CBase@@UAEJJJPAUIDispatch@@PAUtagVARIANT@@PAUtagDISPPARAMS@@PAUtagEXCEPINFO@@PAIPAUITypeInfo@@0@Z
0006D659 0006D66F ??1CDispParams@@QAE@XZ
0006D68A 0006D6B0 ?IsAtEof@CHtmPost@@QAEHXZ
0006D6B5 0006D6BD ?Release@CCodeLoad@@UAGKXZ
0006D6C2 0006D6D6 ?Release@CDwnPostStm@@UAGKXZ
0006D6DB 0006D766 ?FirePropertyNotify@CBase@@QAEJJH@Z
0006D76B 0006D7A4 ?ReleaseAll@CImplPtrAry@@QAEXXZ
0006D7FC 0006DA00 ?Exec@CHtmPost@@QAEJK@Z
0006DA05 0006DA11 ?GetFrameOrPrimaryMarkup@CMarkup@@QAEPAV1@H@Z
0006DA26 0006DAC2 ?SetCounters@CProgSink@@QAEXKHHH@Z
0006DAC7 0006DB32 ?AdjustProgress@CProgSink@@QAEXKHH@Z
0006DB37 0006DB66 ?SetProgress@CDoc@@QAEJKPAGKKH@Z
0006DBF4 0006DCCF ?UpdateLoadStatusUI@CDoc@@QAEJXZ
0006DCD4 0006DD13 ?UpdateStatusText@CDoc@@QAEJXZ
0006DD18 0006DD5A ?InitializeCp@CNotification@@QAEXW4NOTIFYTYPE@@JJPAVCTreeNode@@PAXK@Z
0006DD5F 0006DD7C ?SetTextRange@CNotification@@QAEXJJ@Z
0006DD81 0006DDA6 ?GetElementClient@CMarkup@@QAEPAVCElement@@XZ
0006DDAB 0006DDC7 ?EnsureTopElems@CMarkup@@QAEXXZ
