00003ABC 00003B05 ?CleanupBindInfo@HLNK@@QAEXXZ
00003B0A 00003B27 ?StringCchCopyA@@YGJPADIPBD@Z
00003B2C 00003B49 ?StringCchCopyW@@YGJPAGIPBG@Z
00003B4E 00003C95 ?HrSetFriendlyName@HLNK@@QAEJPBGK@Z
00003C9A 00003DCB ?HrBindMoniker@HLNK@@AAEJPAUIBindStatusCallback@@PAUIMoniker@@ABU_GUID@@PAPAX@Z
00003DD0 00003F14 ?FCanLoadFileMultipleTimes@@YGHPAUIUnknown@@@Z
00003F19 00003FE0 ?HrGetTargetObjectPointer@HLNK@@AAEJPAUIBindStatusCallback@@PAUIMoniker@@PAPAUIUnknown@@@Z
00003FE5 000040AA ?HrTryMailto@HLNK@@AAEJXZ
000040AF 00004194 ?ReleaseNavigationState@HLNK@@AAEXXZ
00004199 000042CD ?GetMonikerReference@HLNK@@UAGJKPAPAUIMoniker@@PAPAG@Z
000042D2 000042E8 ?SetFriendlyName@HLNK@@UAGJPBG@Z
000042ED 0000469D ?Navigate@HLNK@@UAGJKPAUIBindCtx@@PAUIBindStatusCallback@@PAUIHlinkBrowseContext@@@Z
000046A2 000046D6 ?StringCatWorkerW@@YGJPAGIPBG@Z
000046DB 000046ED ?AddRef@HLNK_Unk@@UAGKXZ
000047B8 00004968 ?Save@HLNK_PersistStm@@UAGJPAUIStream@@H@Z
0000496D 00004A3F ?GetSizeMax@HLNK_PersistStm@@UAGJPAT_ULARGE_INTEGER@@@Z
00004A44 00004AA4 ?GetDataHere@HLNK_DataObj@@UAGJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
00004AA9 00004B3B ?HrGetCfUrlString@HLNK_DataObj@@QAEJPAPAG@Z
00004B40 00004CE6 ?HrGetISCDataObj@HLNK_DataObj@@QAEJPAPAUIDataObject@@PAH@Z
00004CEB 00004D35 ?GetBindInfo@HLNK_Bsc@@UAGJPAKPAU_tagBINDINFO@@@Z
00004D3A 00004E41 ?OnProgress@HLNK_Bsc@@UAGJKKKPBG@Z
00004E46 00004E50 ?QueryInterface@HLNK_Bsc@@W3AGJABU_GUID@@PAPAX@Z
00004E55 00004E5F ?AddRef@HLNK_Bsc@@W3AGKXZ
00004E64 00004E6E ?Release@HLNK_Bsc@@W3AGKXZ
00004E73 00004EE0 ?OnStopBinding@HLNK_Bsc@@UAGJJPBG@Z
00004EE5 00004F19 ?New@HLNK_EnumFORMATETC@@SGPAV1@XZ
00004F1E 00004F3D ?Create@HLNK_EnumFORMATETC@@SGPAV1@H@Z
00004F42 00004F76 ?Clone@HLNK_EnumFORMATETC@@UAGJPAPAUIEnumFORMATETC@@@Z
00004F7B 00004FD9 ?FreeInternalResources@HLNK@@AAEXXZ
00004FDE 0000503F ?HrSetLocation@HLNK@@AAEJPBG@Z
00005044 00005061 ?StringCchCatW@@YGJPAGIPBG@Z
00005066 0000524B ?HrShowTarget@HLNK@@AAEJXZ
00005250 0000537A ?GetStringReference@HLNK@@UAGJKPAPAG0@Z
0000537F 0000568B ?GetFriendlyName@HLNK@@UAGJKPAPAG@Z
