0000EBAE 0000EBB4 __ftol
0000EBF2 0000EC41 _GetROP2@4
0000ECBE 0000ED10 _CreateFontIndirectA@4
0000ED15 0000ED6F _vConvertLogFont@8
0000ED74 0000ED9B _cchCutOffStrLen@8
0000EDA0 0000EE19 _Polygon@12
0000EEAD 0000EECA _GetOutlineTextMetricsW@12
0000EF25 0000EF41 _CreateICW@16
0000EF54 0000EF5C _GetSystemPaletteUse@4
0000EF61 0000EF70 _NtGdiGetSystemPaletteUse@4
0000EF75 0000EFFC _Ellipse@20
0000F001 0000F010 _NtGdiEllipse@20
0000F015 0000F084 _RectInRegion@8
0000F089 0000F098 _NtGdiRectInRegion@8
0000F0F7 0000F119 _GdiEntry3@4
0000F11E 0000F12D _NtGdiDdDeleteDirectDrawObject@4
0000F132 0000F161 _DdDestroySurface@4
0000F166 0000F175 _NtGdiDdDestroySurface@8
0000F17A 0000F2E5 _bFillWidthTableForGCW@16
0000F2FE 0000F313 _GetOutlineTextMetricsWInternal@16
0000F313 0000F322 _NtGdiGetOutlineTextMetricsInternalW@16
0000F32F 0000F33E _NtGdiGetCharWidthW@24
0000F3D5 0000F409 _bSetUpUnicodeString@20
0000F40E 0000F42B _vGenerateAnsiString@12
0000F430 0000F489 _bGetCharWidthW@20
0000F48E 0000F4AA _GetCharWidthW@16
0000F52A 0000F532 _GetOutlineTextMetricsA@12
0000F537 0000F76E _GetOutlineTextMetricsInternalA@12
0000F773 0000F8EB _vOutlineTextMetricWToOutlineTextMetricA@12
0000F8F0 0000F902 _GetFontData@20
0000F902 0000F911 _NtGdiGetFontData@20
0000F920 0000F928 _GetRasterizerCaps@8
0000F92D 0000F93C _NtGdiGetRasterizerCaps@8
0000F941 0000FA18 _GetTextFaceA@12
0000FA67 0000FAEC _bConvertLogFontWToLogFontA@8
0000FAF1 0000FB1B _cwcCutOffStrLen@8
0000FCC4 0000FCCF _DeleteClientObj@4
0000FCCF 0000FCDE _NtGdiDeleteClientObj@4
0000FCE3 0000FD03 ?Term@EMFContainer@@QAEXXZ
0000FD7F 0000FD8A _CreateClientObj@4
0000FD8A 0000FD99 _NtGdiCreateClientObj@4
0000FD9E 0000FDEF _vFreeMF16@4
0000FDF4 0000FE1F _DeleteEnhMetaFile@4
0000FE24 0000FE3D ?vFreeMF@@YGXPAVMF@@@Z
0000FEE4 0000FF23 _bDeleteLDC@4
0000FF93 0000FFA9 _vFreeUFIHashTable@8
0000FFAE 00010026 _pldcCreate@8
0001002B 00010036 _GetTransform@12
0001003B 00010055 ?bEmpty@ERECTL@@QAEHXZ
0001005A 0001007C ??4ERECTL@@QAEXAAU_RECTL@@@Z
000100A4 000100C0 ?vOrder@ERECTL@@QAEXXZ
000100D0 00010125 ?ObtainPtr@EMFContainer@@QAEPAXII@Z
00010130 000101A7 ?bProbeAndPageInAddressRange@@YGHPAEI@Z
000101AC 000101C3 _GetSystemPageSize@0
000101C8 000101FC ?bValidBoundedSize@MF@@QAEHPAXK@Z
00010201 00010209 _CombineTransform@12
0001020E 0001021D _NtGdiCombineTransform@12
00010272 0001028D _GetEnhMetaFileHeader@12
00010292 0001029A _SetVirtualResolution@20
0001029F 000102AE _NtGdiSetVirtualResolution@20
000102B3 0001033B ?pmfAllocMF@@YGPAVMF@@KPBKPBGPAX_K2@Z
000103AC 000103CE ?bValid@MRMETAFILE@@QAEHXZ
000103D3 00010404 ?Init@EMFContainer@@QAEXPAUtagENHMETAHEADER@@I@Z
00010409 00010493 _SetTextJustification@12
00010498 000104C2 _SetMetaRgn@4
000104C7 000104D6 _NtGdiSetMetaRgn@4
000105F2 0001062A ?ObtainRecordPtr@EMFContainer@@QAEPAUtagENHMETARECORD@@I@Z
00010635 000106B2 _bInternalPlayEMF@20
000106B7 000107BC _pmf16AllocMF16@16
000107C1 00010956 _IsValidMetaHeader16@4
00010993 000109AC _GetEnhMetaFileDescriptionW@12
000109FF 00010A22 ?InternalGetEnhMetaFileDescription@@YGIPAXIPADH@Z
00010A27 00010AC5 _SetPolyFillMode@8
00010ACA 00010AE6 _SetMapperFlagsInternal@8
00010F9F 00011078 _bMetaResetDC@4
0001107D 00011099 _SetArcDirection@8
0001109E 000110CE _SetMiterLimit@12
000110D3 000110E2 _NtGdiSetMiterLimit@12
00011117 00011122 _SetSizeDevice@12
00011122 00011131 _NtGdiSetSizeDevice@12
00011136 00011172 _PlayEnhMetaFileRecord@16
0001117D 000111A2 ?bValidSize@MR@@QAEHPAUtagHANDLETABLE@@K@Z
000111A7 000111E4 ?bValidOff@MR@@QAEHPAUtagHANDLETABLE@@K@Z
000111E9 00011216 ?bCheckRecord@MRGDICOMMENT@@QAEHPAUtagHANDLETABLE@@@Z
00011230 00011257 ?bPlay@MRMETAFILE@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00011280 000112A9 ?bPlay@MRMOVETOEX@@QAEHPAXPAUtagHANDLETABLE@@I@Z
000112AE 000112D7 ?bPlay@MREOF@@QAEHPAXPAUtagHANDLETABLE@@I@Z
000112DC 00011325 ?bPlay@MRSELECTOBJECT@@QAEHPAXPAUtagHANDLETABLE@@I@Z
0001132A 00011356 ?bCheckRecord@MRDD@@QAEHPAUtagHANDLETABLE@@@Z
0001135B 0001139E ?bPlay@MRDELETEOBJECT@@QAEHPAXPAUtagHANDLETABLE@@I@Z
000113A3 000113D1 ?bPlay@MRSETTEXTCOLOR@@QAEHPAXPAUtagHANDLETABLE@@I@Z
000113D6 00011400 ?bPlay@MRSETBKMODE@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00011405 0001144A ?bSetTransform@MF@@QAEHPAX@Z
0001144F 000114AC ?bPlay@MREXTCREATEFONTINDIRECTW@@QAEHPAXPAUtagHANDLETABLE@@I@Z
000114B1 000114E2 ?bCheckRecord@MREXTCREATEFONTINDIRECTW@@QAEHPAUtagHANDLETABLE@@@Z
000114E7 00011513 ?bCheckRecord@MRCREATEBRUSHINDIRECT@@QAEHPAUtagHANDLETABLE@@@Z
00011518 00011544 ?bCheckRecord@MR@@QAEHPAUtagHANDLETABLE@@@Z
00011549 00011573 ?bPlay@MRSETROP2@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00011578 000115DD ?bPlay@MRCREATEBRUSHINDIRECT@@QAEHPAXPAUtagHANDLETABLE@@I@Z
000115E2 00011639 ?bPlay@MRSETWINDOWORGEX@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00011648 00011692 ?bCheckRecord@MREXTTEXTOUT@@QAEHPAUtagHANDLETABLE@@@Z
00011697 0001174F ?bPlay@MREXTTEXTOUT@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00011754 00011792 _SetFontXform@12
00011797 000117A6 _NtGdiSetFontXform@12
000117AB 0001180C ?bPlay@MRRESTOREDC@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00011811 00011844 ?bPlay@MRINTERSECTCLIPRECT@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00011849 000118A7 ?bPlay@MRSAVEDC@@QAEHPAXPAUtagHANDLETABLE@@I@Z
000118AC 000118DA ?bPlay@MRSETBKCOLOR@@QAEHPAXPAUtagHANDLETABLE@@I@Z
000118DF 00011906 ?bPlay@MRLINETO@@QAEHPAXPAUtagHANDLETABLE@@I@Z
0001190B 0001198E _ExtCreatePen@20
00011993 000119A2 _NtGdiExtCreatePen@44
000119A7 000119CB ?bClipped@MF@@QAEHAAVERECTL@@@Z
000119D0 00011A0C ?bNoIntersect@ERECTL@@QAEHAAV1@@Z
00011A33 00011AB8 ?bPlay@MRBITBLT@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00011ABD 00011AF3 ?bCheckRecord@MRBB@@QAEHPAUtagHANDLETABLE@@@Z
00012308 00012355 ??XERECTL@@QAEXAAU_RECTL@@@Z
0001235A 00012371 ?perclMetaBoundsGet@MDC@@QAEPAVERECTL@@XZ
00012376 0001238D ?perclClipBoundsGet@MDC@@QAEPAVERECTL@@XZ
00012392 000123AA ??0METALINK@@QAE@PAUtagMETALINK16@@@Z
000123AF 000123C8 ?GetNextRecordPtr@MDC@@QAEPAXI@Z
000123CD 000123E5 ?vInit@METALINK@@QAEXK@Z
000123EA 0001240B ?pmdcGetFromHdc@@YGPAVMDC@@PAX@Z
00012410 000125BA _MF_InternalCreateObject@8
000125BF 000125D6 ?vUpdateNHandles@MDC@@QAEXK@Z
00012665 000126BC _MF_SelectAnyObject@12
000126C1 00012746 _MF_SetD@12
0001274B 000127A6 ?pvNewRecord@MDC@@QAEPAXK@Z
000127AB 000127BE ?ReleasePtr@MDC@@QAEXPAX@Z
000127C3 000127EE ?vFlushBounds@MDC@@QAEXXZ
000127F3 000127FE _GetBoundsRectAlt@12
