0000ADE6 0000AE09 ?InitResponse@ComGetStatusChange@@QAEPAUCObjGetStatusChange_response@1@K@Z
0000AE0E 0000AE31 ?InitRequest@ComConnect@@QAEPAUCObjConnect_request@1@K@Z
0000AE36 0000AE59 ?InitResponse@ComConnect@@QAEPAUCObjConnect_response@1@K@Z
0000AE5E 0000AE81 ?InitRequest@ComReconnect@@QAEPAUCObjReconnect_request@1@K@Z
0000AE86 0000AEA9 ?InitResponse@ComReconnect@@QAEPAUCObjReconnect_response@1@K@Z
0000AEAE 0000AED1 ?InitRequest@ComDisconnect@@QAEPAUCObjDisconnect_request@1@K@Z
0000AED6 0000AEF9 ?InitResponse@ComDisconnect@@QAEPAUCObjDisconnect_response@1@K@Z
0000AEFE 0000AF21 ?InitRequest@ComBeginTransaction@@QAEPAUCObjBeginTransaction_request@1@K@Z
0000AF26 0000AF49 ?InitResponse@ComBeginTransaction@@QAEPAUCObjBeginTransaction_response@1@K@Z
0000AF4E 0000AF71 ?InitRequest@ComEndTransaction@@QAEPAUCObjEndTransaction_request@1@K@Z
0000AF76 0000AF99 ?InitResponse@ComEndTransaction@@QAEPAUCObjEndTransaction_response@1@K@Z
0000AF9E 0000AFC1 ?InitRequest@ComStatus@@QAEPAUCObjStatus_request@1@K@Z
0000AFC6 0000AFE9 ?InitResponse@ComStatus@@QAEPAUCObjStatus_response@1@K@Z
0000AFEE 0000B011 ?InitRequest@ComTransmit@@QAEPAUCObjTransmit_request@1@K@Z
0000B016 0000B039 ?InitResponse@ComTransmit@@QAEPAUCObjTransmit_response@1@K@Z
0000B03E 0000B061 ?InitRequest@ComControl@@QAEPAUCObjControl_request@1@K@Z
0000B066 0000B089 ?InitResponse@ComControl@@QAEPAUCObjControl_response@1@K@Z
0000B08E 0000B0B1 ?InitRequest@ComGetAttrib@@QAEPAUCObjGetAttrib_request@1@K@Z
0000B0B6 0000B0D9 ?InitResponse@ComGetAttrib@@QAEPAUCObjGetAttrib_response@1@K@Z
0000B0DE 0000B101 ?InitRequest@ComSetAttrib@@QAEPAUCObjSetAttrib_request@1@K@Z
0000B106 0000B129 ?InitResponse@ComSetAttrib@@QAEPAUCObjSetAttrib_response@1@K@Z
0000B12E 0000B151 ?InitRequest@ComListReaders@@QAEPAUCObjListReaders_request@1@K@Z
0000B156 0000B179 ?InitResponse@ComListReaders@@QAEPAUCObjListReaders_response@1@K@Z
0000B17E 0000B1D9 ?FreeMemory@CSCardUserContext@@QAEKPBX@Z
0000B1DE 0000B1FF ??_GCComChannel@@QAEPAXI@Z
0000B204 0000B247 ?Allocate@CSCardSubcontext@@QAEXXZ
0000B24C 0000B2BE ?Deallocate@CSCardSubcontext@@QAEXXZ
0000B2C3 0000B34B ?SendRequest@CSCardSubcontext@@QAEXPAVCComObject@@@Z
0000B350 0000B3A9 ?ReleaseSubcontext@CSCardSubcontext@@QAEXXZ
0000B3AE 0000B451 ?WaitForAvailable@CSCardSubcontext@@QAEXXZ
0000B456 0000B46A ?Cancel@CSCardSubcontext@@QAEXXZ
0000B46F 0000B4BA ??0CReaderContext@@QAE@XZ
0000B4BF 0000B52E ??1CReaderContext@@UAE@XZ
0000B533 0000B554 ??_EComBeginTransaction@@UAEPAXI@Z
0000B559 0000B5FB ?Set@?$CDynamicArray@$$CBD@@QAEPBDHPBD@Z
0000B600 0000B615 ?Add@?$CDynamicArray@VCSCardSubcontext@@@@QAEPAVCSCardSubcontext@@PAV2@@Z
0000B61A 0000B635 ?Get@?$CDynamicArray@$$CBD@@QBEQBDH@Z
0000B63A 0000B65A ??0CSubctxLock@@QAE@PAVCSCardSubcontext@@@Z
0000B65F 0000B66A ??1CSubctxLock@@QAE@XZ
0000B66F 0000B6EF ?AllocateMemory@CSCardUserContext@@QAEPAXK@Z
0000B6F4 0000B79A ?ReleaseContext@CSCardSubcontext@@QAEXXZ
0000B79F 0000B816 ?IsValidContext@CSCardSubcontext@@QAEXXZ
0000B81B 0000BC26 ?LocateCards@CSCardSubcontext@@QAEXPBDPAU_SCARD_ATRMASK@@KPAUSCARD_READERSTATEA@@K@Z
0000BC2B 0000BEF4 ?GetStatusChange@CSCardSubcontext@@QAEXPBDPAUSCARD_READERSTATEA@@KK@Z
0000BEF9 0000C0A8 ?StripInactiveReaders@CSCardSubcontext@@QAEXAAVCBuffer@@@Z
0000C0AD 0000C0CE ??_ECReaderContext@@UAEPAXI@Z
0000C0D3 0000C1DE ?Connect@CReaderContext@@QAEXPAVCSCardSubcontext@@PBDKK@Z
0000C1E3 0000C29D ?Reconnect@CReaderContext@@QAEXKKK@Z
0000C2A2 0000C393 ?Disconnect@CReaderContext@@QAEJK@Z
0000C398 0000C438 ?BeginTransaction@CReaderContext@@QAEXXZ
0000C43D 0000C4FB ?EndTransaction@CReaderContext@@QAEXK@Z
0000C500 0000C620 ?Status@CReaderContext@@QAEXPAK0AAVCBuffer@@1@Z
0000C625 0000C779 ?Transmit@CReaderContext@@QAEXPBU_SCARD_IO_REQUEST@@PBEKPAU2@AAVCBuffer@@K@Z
0000C789 0000C86E ?Control@CReaderContext@@QAEXKPBXKAAVCBuffer@@@Z
0000C873 0000C93D ?GetAttrib@CReaderContext@@QAEXKAAVCBuffer@@K@Z
0000C942 0000C9FC ?SetAttrib@CReaderContext@@QAEXKPBEK@Z
0000CA11 0000CA38 ??_E?$CDynamicArray@VCSCardSubcontext@@@@UAEPAXI@Z
0000CA3D 0000CB1A ?ReleaseContext@CSCardUserContext@@QAEXXZ
0000CB1F 0000CC49 ?IsValidContext@CSCardUserContext@@QAEHXZ
0000CC4E 0000CCD6 ?LocateCards@CSCardUserContext@@QAEXPBDPAU_SCARD_ATRMASK@@KPAUSCARD_READERSTATEA@@K@Z
0000CCDB 0000CDB6 ?GetStatusChange@CSCardUserContext@@QAEXPBDPAUSCARD_READERSTATEA@@KK@Z
0000CDBB 0000CE1A ?Cancel@CSCardUserContext@@UAEXXZ
0000CE1F 0000CE9B ?StripInactiveReaders@CSCardUserContext@@QAEXAAVCBuffer@@@Z
0000CE9B 0000CF93 ___report_gsfailure
0000CF98 0000CF9E __except_handler3
0000CFA3 0000CFD2 ?__ArrayUnwind@@YGXPAXIHP6EX0@Z@Z
0000D021 0000D069 ??_M@YGXPAXIHP6EX0@Z@Z
0000D099 0000D09F ??1type_info@@UAE@XZ
0000D0A4 0000D0AA ?terminate@@YAXXZ
0000D0AF 0000D0B7 ?Reset@CBuffer@@QAEPAEXZ
0000D0BC 0000D0DA ?Resize@CBuffer@@QAEPAEKH@Z
0000D0DF 0000D11C ?Set@CBuffer@@QAEPAEQBEK@Z
0000D121 0000D167 ?Append@CBuffer@@QAEPAEQBEK@Z
0000D16C 0000D1A6 ??4CTextString@@QAEPBDPBD@Z
0000D1AB 0000D1E7 ??4CTextString@@QAEPBGPBG@Z
0000D1EC 0000D30F ?Unicode@CTextString@@IAEPBGXZ
0000D314 0000D436 ?Ansi@CTextString@@IAEPBDXZ
0000D43B 0000D494 ?Length@CTextString@@UAEKXZ
0000D499 0000D4A5 ?Length@CTextString@@MAEKPBG@Z
0000D4AA 0000D4B6 ?Length@CTextString@@MAEKPBD@Z
0000D4BB 0000D4CD ?Length@CTextMultistring@@MAEKPBG@Z
0000D4D2 0000D4E4 ?Length@CTextMultistring@@MAEKPBD@Z
0000D4E9 0000D4F0 ?Length@CTextMultistring@@UAEKXZ
0000D4F5 0000D500 ??4CTextMultistring@@QAEPBDPBD@Z
0000D505 0000D510 ??4CTextMultistring@@QAEPBGPBG@Z
0000D5FA 0000D71B ?GetCardTypeProviderName@@YGXKPBDKAAVCBuffer@@@Z
0000D72D 0000D7FB ?GetReaderInfo@@YGHKPBDPAVCBuffer@@1@Z
0000D800 0000D936 ?GetCardInfo@@YGHKPBDPAVCBuffer@@111@Z
0000DA83 0000DBBF ?ListReaderGroups@@YGXKAAVCBuffer@@@Z
0000DBC4 0000DD47 ?ListReaders@@YGXKPBDAAVCBuffer@@@Z
0000DD5F 0000DE52 ?ListReaderNames@@YGXKPBDAAVCBuffer@@@Z
0000DE57 0000E06E ?ListCards@@YGXKPBEPBU_GUID@@KAAVCBuffer@@@Z
0000E073 0000E0AB ?MemCompare@@YGHPBE0K@Z
0000E0B0 0000E0DB ?MStrLen@@YGKPBD@Z
0000E0E0 0000E10C ?MStrLen@@YGKPBG@Z
0000E111 0000E125 ?FirstString@@YGPBDPBD@Z
0000E12A 0000E14E ?NextString@@YGPBDPBD@Z
0000E153 0000E177 ?MStringCount@@YGKPBD@Z
0000E17C 0000E2A4 ?ParseAtr@@YGHPBEPAK11K@Z
0000E2B9 0000E367 ?AtrCompare@@YGHPBE00K@Z
0000E36C 0000E3C8 ?MoveString@@YGKAAVCBuffer@@PBDK@Z
0000E3CD 0000E49A ?MoveString@@YGKAAVCBuffer@@PBGK@Z
0000E49F 0000E4ED ?MoveToAnsiString@@YGKPADPBDK@Z
0000E4F2 0000E580 ?MoveToUnicodeString@@YGKPAGPBDK@Z
0000E585 0000E5C9 ?MoveToAnsiMultiString@@YGKPADPBDK@Z
0000E5CE 0000E600 ?MoveToUnicodeMultiString@@YGKPAGPBDK@Z
0000E605 0000E666 ?StringFromGuid@@YGXPBU_GUID@@PAD@Z
0000E6A5 0000E755 ?MStrAdd@@YGKAAVCBuffer@@PBD@Z
0000E75A 0000E80A ?MStrAdd@@YGKAAVCBuffer@@PBG@Z
0000E81F 0000E846 ??_E?$CDynamicArray@$$CBD@@UAEPAXI@Z
0000E84B 0000EA13 ?MStringSort@@YGKPBDAAVCBuffer@@@Z
0000EA18 0000EAB0 ?MStringMerge@@YGKPBD0AAVCBuffer@@@Z
0000EAB5 0000EBD3 ?MStringCommon@@YGKPBD0AAVCBuffer@@@Z
0000EBD8 0000ED0E ?MStringRemove@@YGKPBD0AAVCBuffer@@@Z
0000ED13 0000ED4A ?IntroduceReaderGroup@@YGXKPBD@Z
0000ED4F 0000EE4C ?IntroduceReader@@YGXKPBD0@Z
0000EE59 0000EEE9 ?ForgetReader@@YGXKPBD@Z
0000EEEE 0000F099 ?IntroduceCard@@YGXKPBDPBU_GUID@@1KPBE2K@Z
0000F0D9 0000F175 ?ForgetCard@@YGXKPBD@Z
0000F245 0000F411 ?ForgetReaderGroup@@YGXKPBD@Z
0000F416 0000F56B ?AddReaderToGroup@@YGXKPBD0@Z
0000F570 0000F6C5 ?RemoveReaderFromGroup@@YGXKPBD0@Z
0000F6CA 0000F7FF ?SetCardTypeProviderName@@YGXKPBDK0@Z
0000F811 0000F836 ?Close@CRegistry@@QAEXXZ
0000F83B 0000F862 ?Status@CRegistry@@QBEJH@Z
0000F867 0000F90C ?Subkey@CRegistry@@QAEPBDK@Z
0000F911 0000F9B4 ?GetValue@CRegistry@@QAEXPBDAAVCBuffer@@PAK@Z
0000F9B9 0000F9FA ?GetValue@CRegistry@@QAEXPBDPAPAEPAK2@Z
0000F9FF 0000FA46 ?SetValue@CRegistry@@QBEXPBD0K@Z
0000FA4B 0000FA85 ?SetValue@CRegistry@@QBEXPBDPBEKK@Z
0000FA8A 0000FAB5 ?GetBinaryValue@CRegistry@@QAEPBEPBDPAK1@Z
0000FABA 0000FADD ?GetValueLength@CRegistry@@QBEKXZ
0000FAE2 0000FB05 ?GetDisposition@CRegistry@@QBEKXZ
0000FB0A 0000FB4F ?SetMultiStringValue@CRegistry@@QBEXPBD0K@Z
0000FB54 0000FB72 ??0CRegistry@@QAE@XZ
0000FB77 0000FBB0 ??1CRegistry@@QAE@XZ
0000FBB5 0000FC0C ?Open@CRegistry@@QAEXPAUHKEY__@@PBDKKPAU_SECURITY_ATTRIBUTES@@@Z
0000FC11 0000FD78 ?GetValue@CRegistry@@QAEXPBDPAPADPAK@Z
0000FD7D 0000FD98 ?GetStringValue@CRegistry@@QAEPBDPBDPAK@Z
0000FD9D 0000FDF1 ??0CRegistry@@QAE@PAUHKEY__@@PBDKKPAU_SECURITY_ATTRIBUTES@@@Z
0000FDF6 0000FED6 ?DeleteKey@CRegistry@@QBEXPBDH@Z
