00011FAE 00011FEA _RegisterServicesProcess@4
00011FEF 00011FFE _NtUserSetLogonNotifyWindow@4
0001200B 0001201A _NtUserChildWindowFromPointEx@16
0001201F 00012044 _ChildWindowFromPoint@12
00012156 000123FC _AnimateWindow@12
00012401 000124B6 _TakeWindowSnapshot@12
000124BB 000124F7 _ShowWindowNoRepaint@4
000124F7 00012514 __allmul
00012519 0001273D _AnimateBlend@24
00012753 0001279C __alldiv
000127A1 0001285F _bCheckIfDualBootingWithWin31@0
00012864 0001288D _vNullTermWideString@12
00012892 000128D8 _bCheckFontEntry@8
000128DD 000128E3 _bMakePathNameW@16
000128E8 000128EE _bInitSystemAndFontsDirectoriesW@8
000128F3 00012906 ___ClientFontSweep@4
0001290B 0001295E _vFontSweep@0
00012963 00012A7A _vProcessFontEntry@20
00012B73 00012B9F _RegisterLogonProcess@8
00012BA4 00012BC9 _CallUserpRegisterLogonProcess@4
00012BCE 00012CA0 _vCleanConvertedTTFs@0
00012CA5 00012D6D _bCleanConvertedTTFs@0
00012D9B 00012E01 _LoadCursorsAndIcons@0
00012E06 00012F26 _InitOemXlateTables@0
00012F58 00012F67 _NtUserInitializeClientPfnArrays@16
00012FC9 00012FD8 _NtUserProcessConnect@12
00013281 000132B5 _SetMenuItemInfoW@16
000132BA 000132F2 _AppendMenuW@16
0001337D 0001338C _NtUserShowWindowAsync@8
000133D7 00013462 _SizeBoxHwnd@4
00013467 000134AE _CharToOemW@8
00013563 00013625 _EnumDisplaySettingsExW@16
0001362A 0001364F _EnumDisplaySettingsW@12
00013654 00013676 _BroadcastSystemMessageExW@24
0001367B 000136E5 _CsrBroadcastSystemMessageExW@24
000136EA 000136F9 _NtUserSetInformationThread@16
000137C3 000137FD _GetNextDlgTabItem@12
00013810 0001381F _NtUserPrintWindow@12
00013843 00013849 _GdiConvertToDevmodeW@4
0001384E 000138DA _ChangeDisplaySettingsExA@20
000138DF 000138EE _NtUserChangeDisplaySettings@20
000138F3 00013A62 _EnumDisplaySettingsExA@16
00013A67 00013A8C _EnumDisplaySettingsA@12
00013A91 00013AAC _ValidateDialogPwnd@4
00013AB1 00013C2A _DefDlgProcWorker@20
00013C2F 00013D03 _UserCallDlgProcCheckWow@32
00013D3A 00013D60 _DefDlgProcW@16
00013E6C 00013E9A _GetParentDialog@4
00013E9F 00013EAE _NtUserSetWindowFNID@8
00013EB3 00013EFD _FreeLookasideEntry@8
00013F02 00013F2F _xxxSaveDlgFocus@4
00013F89 00013F98 _NtUserSetThreadState@8
00013F9D 00014009 __NextControl@12
0001400E 0001404C __GetChildControl@8
00014051 000140D1 __GetNextDlgTabItem@12
0001416E 000141D2 _AllocLookasideEntry@4
000142A8 000142D9 _DDEMLMotherWndProc@16
000142ED 00014300 _SetForegroundWindow@4
00014305 0001432D _GetDlgItemTextW@16
00014332 00014369 __GetDlgItem@8
0001436E 000143A2 _GetDlgItem@8
000143E4 00014400 __NextSibblingOrAncestor@8
000144F7 0001451A _xxxRestoreDlgFocus@4
000145BB 000146F2 _DrawStateW@40
000146F7 00014737 _LoadBmp@20
0001473C 00014763 _LoadBitmapA@8
000147AB 000147F3 _DialogBoxParamW@20
000147F8 0001481D _GetCursorFrameInfo@20
00014822 00014831 _NtUserGetCursorFrameInfo@16
0001489A 000148A9 _NtUserSetWindowsHookAW@12
0001490E 000149CB _InternalDialogBox@24
000149D0 00014A0A _DialogBoxIndirectParamAorW@24
00014A4E 00014B36 _EndDialog@8
00014B3B 00014B5F __FindDlgItem@8
00014B92 00014C02 _xxxCheckDefPushButton@12
00014C07 00014C2B _DlgSetFocus@4
00014C58 00014CCE _xxxRemoveDefaultButton@8
00014DCA 00014DF5 _CheckDlgButton@12
00014DFA 00014E25 _IsDlgButtonChecked@8
00014E2A 00014F39 _StaticWndProcWorker@20
00014F3E 00014F90 _IsVisible@4
00014F95 00014FA4 _NtUserGetControlBrush@12
00015053 00015072 _RepaintButton@4
000150C4 00015162 _PaintRect@20
00015167 000151A1 _StaticRepaint@4
000151A6 000151CC _StaticWndProcW@16
000151D1 00015233 _ButtonWndProcW@16
00015238 000153BE _ButtonWndProcWorker@20
000153C3 000153E5 _xxxBNGetDC@8
00015491 000154C4 _xxxBNReleaseCapture@8
000154C9 000155A0 _StaticCallback@20
000155A5 00015AF4 _xxxStaticPaint@12
00016024 00016033 _NtUserAlterWindowStyle@12
00016048 000165B2 _InternalCreateDialog@28
000165B7 000165D1 _DefShortToInt@4
000165D6 000165EE _WordSkipSz@4
000165F3 00016614 _SkipSz@4
00016664 000166B5 _GetDialogMonitor@8
000166BA 0001673A _RepositionRect@16
0001676F 000167E1 _GetSizeDialogTemplate@8
000167E6 00016806 _SkipIDorString@4
0001680B 00016842 _CreateDialogIndirectParamAorW@24
00016A9D 00016C75 _CreateDlgFont@20
00016CF5 00016D26 _wcsncpycch@12
00016D2B 00016D45 _DWordSkipSz@4
00016D65 00016D96 _FixupDlgLogFont@20
00016D9B 00016DD3 _FixupDlgFaceName@16
00016E93 00016EAB _GetACPCharSet@0
000170C8 000170E8 _BNSetFont@12
000170ED 0001717D _InitLookaside@12
00017296 000172B2 _InSendMessage@0
0001736C 00017391 _SetDlgItemTextW@12
000173CC 00017406 _SendDlgItemMessageW@20
00017424 00017509 _IsDialogMessageW@8
0001750E 00017572 _CallMsgFilterW@8
0001757B 00017726 _DialogBox2@16
0001772B 0001779F _GetMessageA@16
000177A4 000177B3 _NtUserPostThreadMessage@16
000177B8 000177C0 _PostThreadMessageW@16
000177C5 000177FD _PostThreadMessageA@16
00017822 00017831 _NtUserSetActiveWindow@4
00017836 00017873 _GetWindowTextLengthW@4
000178AB 000178E4 ___fnHkINLPMSG@4
0001792D 00017966 __DefSetText@12
0001796B 0001797A _NtUserDefSetText@8
00017A95 00017AC7 _SplFreeResource@12
00017ACC 00017B25 _GetIconIdEx@24
00017B97 00017C03 _LoadImageW@24
00017C08 00017C34 _LoadImageA@24
00017C39 00017C5D _RegisterClassExA@4
00017D18 00017D27 _NtUserCloseWindowStation@4
00017D2C 00017D3B _NtUserSetThreadDesktop@4
00017D40 00017D4F _NtUserSetProcessWindowStation@4
00017DC1 00017E0B _CopyMsgMask@16
00017EDA 00017F17 _InitUserApiHook@8
00017F28 00017F37 _NtUserGetGUIThreadInfo@8
00017F3C 00017F92 ___fnCOPYDATA@4
00018023 0001808C ___ClientLoadLibrary@4
00018091 0001812A _ResetUserApiHook@4
0001812F 0001813E _NtUserCloseDesktop@4
00018157 000181BA _SetWindowsHookExAW@20
000181BF 000181F6 __SetWindowsHookEx@24
000181FB 0001820A _NtUserSetWindowsHookEx@24
0001820F 0001822B _SetWindowsHookExW@16
00018242 000182DC _InternalFindWindowExA@20
000182E1 000182FA _FindWindowA@8
000182FF 0001833F ___ClientFreeLibrary@4
00018344 0001839D _ClearUserApiHook@4
000183A2 000184A0 _InternalEnumObjects@16
000184A5 000184B4 _NtUserBuildNameList@16
000184B9 00018501 _CommonOpenDesktop@16
00018506 00018515 _NtUserOpenDesktop@12
0001851A 00018536 _EnumDesktopWindows@12
0001853B 00018554 _EnumDesktopsW@12
00018559 00018583 _OpenDesktopW@16
00018588 000185BC _ForceResetUserApiHook@4
000185C1 00018646 ___fnPOUTLPINT@4
0001864B 0001865A _NtUserPaintDesktop@4
0001865F 0001866E _NtUserSetConsoleReserveKeys@8
00018673 00018682 _NtUserActivateKeyboardLayout@8
00018687 00018696 _NtUserCallHwnd@8
000186F8 0001870B _ReplyMessage@4
00018717 000187AA _CharLowerA@4
00018845 000188F2 _CharLowerBuffA@8
000188F7 00018911 _UserRtlAllocMem@4
00018968 00018977 _NtUserEnumDisplayDevices@16
000189A3 00018A6F _UnregisterClassA@8
00018A74 00018BB9 _EnumDisplayDevicesA@16
00018BFB 00018D1B _RealDefWindowProcWorker@20
00018D20 00018D8E _DefWindowProcW@16
00018DB2 00018DDD _RealDefWindowProcW@16
00018E17 00018E4E _TestWindowProcess@4
00018E53 00018EAE _DispatchClientMessage@20
00018EC8 00018F00 ___fnDWORD@4
00018F1F 00018FA1 _IntersectRect@12
00018FA6 00018FD0 _SetRect@20
00018FD5 00018FE4 _NtUserInvalidateRect@12
00018FE9 00018FF8 _NtUserBeginPaint@8
00018FFD 0001900C _NtUserEndPaint@8
00019011 00019035 _OffsetRect@12
0001903A 00019089 __GetClientRect@8
0001908E 000190AF _GetClientRect@8
000190B4 000190D5 _GetWindowRect@8
000190DA 0001910A __GetWindowRect@8
0001910F 00019168 _GetParent@4
00019179 000191AE __GetParent@4
000191B3 00019295 _SendMessageWorker@20
0001929A 000192E8 _SendMessageW@16
000192ED 0001930E @ValidateHwndNoRip@4
00019313 0001934E _IsWindow@4
00019361 000193F4 @HMValidateHandleNoRip@8
00019400 0001942C __GetProp@12
00019431 00019448 _MapPropertyKey@4
00019455 000194AE __FindProp@12
000194B3 000194E7 _GetPropW@8
00019507 00019551 _MapWindowPoints@16
00019556 00019602 __MapWindowPoints@16
0001960E 00019650 _SetWindowTextW@8
00019655 0001967D _GetWindow@8
00019682 000196EE __GetWindow@8
00019701 00019707 _wcslen
00019719 00019749 _PtInRect@12
0001974E 00019761 _GetCursorPos@4
00019766 00019775 _NtUserWindowFromPoint@8
0001977A 0001979B _IsWindowEnabled@4
000197A0 000197C1 _ScreenToClient@8
000197C6 000197FA __ScreenToClient@8
000197FF 0001981E _IsIconic@4
00019823 00019830 _NtUserGetForegroundWindow@0
00019835 00019844 _NtUserCallHwndParamLock@12
00019849 0001985F _EnableWindow@8
00019864 000198A1 _RtlWCSMessageWParamCharToMB@8
000198A6 000198B5 _NtUserGetThreadState@4
000198C8 000198D0 _GetFocus@0
000198D5 000198F9 _InflateRect@12
000198FE 0001992B _IsRectEmpty@4
00019930 0001993F _NtUserSetCursor@4
00019944 00019953 _NtUserRedrawWindow@16
0001996C 00019974 _GetMessagePos@0
000199CB 000199EE _NotifyWinEvent@16
000199F3 00019A02 _NtUserSetWindowPos@28
00019A1D 00019A47 __GetClassLong@12
00019A4C 00019AE4 __GetClassData@16
00019AE9 00019B20 _GetClassLongW@8
00019B35 00019B5B _MapClientNeuterToClientPfn@12
00019B60 00019B81 _ClientToScreen@8
