0000587A 00005986 ?ContributorCallback@CDllRedir@@QAEXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
00005A1F 00005B14 ?SxspComInterfaceRedirectionContributorCallback@@YGXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
00005C0F 00005D41 ?SxspComTypeLibRedirectionContributorCallback@@YGXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
00005E0D 00005EF5 ?SxspClrInteropContributorCallback@@YGXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
00005FBD 00006063 ?parseElement@XMLStream@@AAEJXZ
00006063 00006074 ?UnFreeze@BufferedStream@@QAEJXZ
00006085 000061F3 ?SxspComClassRedirectionContributorCallback@@YGXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
000064A9 000064EC ?FusionpCompareStrings@@YGHPBGK0K_N@Z
0000650A 000067D6 ?EndChildren@CNodeFactory@@UAGJPAUIXMLNodeSource@@HPAU_XML_NODE_INFO@@@Z
000073CF 00007532 _SxsComputeAssemblyIdentityEncodedSize@20
00007598 00007616 ?parseEndTag@XMLStream@@AAEJXZ
0000761B 0000763B _SxsAddStringToStringSectionGenerationContext@24
00007640 00007785 ?Add@CSSGenCtx@@QAEHPBGKPAXKK@Z
0000778A 0000781F ?Initialize@Entry@CSSGenCtx@@QAEHPBGKKPAXK@Z
000078BA 00007969 ?Fire_PCDATAParsed@CActivationContextGenerationContextContributor@@QAEHPAU_ACTCTXGENCTX@@PBU_ACTCTXCTB_ASSEMBLY_CONTEXT@@PBU_ACTCTXCTB_PARSE_CONTEXT@@PBGK@Z
000079C7 000079E8 ??_GXMLParser@@UAEPAXI@Z
000079ED 00007AC4 ??1XMLParser@@UAE@XZ
00007AC9 00007AF5 ??1?$CSmartRef@VCAssemblyCacheItem@@@@QAE@XZ
00007B0C 00007B7B ?pop@XMLParser@@AAEJPBGK@Z
00007B80 00007BA1 ??_GEncodingStream@@MAEPAXI@Z
00007BA6 00007C08 ??1EncodingStream@@MAE@XZ
00007C49 00007C96 ?Release@?$_unknown@UIStream@@$1?IID_IStream@@3U_GUID@@B@@UAGKXZ
00007C9B 00007D65 ?OnEndChildren@CXMLNamespaceManager@@QAEJPAUIXMLNodeSource@@HPAU_XML_NODE_INFO@@@Z
00007D6A 00007D8B ??_GCNamespacePrefix@CXMLNamespaceManager@@QAEPAXI@Z
00007D90 00007D98 ??1_COM_FILE_CONTEXT@@QAE@XZ
00007D9D 00007DA5 ?Release@XMLParser@@UAGKXZ
00007DAA 00007DEE ?Release@?$_unknown@UIXMLParser@@$1?IID_IXMLParser@@3U_GUID@@B@@UAGKXZ
0000831C 00008391 ??1CProbedAssemblyInformation@@QAE@XZ
00008396 000083B8 ??1CAssemblyReference@@QAE@XZ
000083BD 00008478 _SxsDestroyAssemblyIdentity@4
0000867B 0000877B ?Close@CFileStreamBase@@QAEHXZ
0000884D 00008853 ?AddRef@CNodeFactory@@UAGKXZ
00008858 00008879 ??_GXMLStream@@QAEPAXI@Z
0000887E 000088E8 ??1XMLStream@@QAE@XZ
000088ED 000088F7 ??1RawStack@@QAE@XZ
000088FC 00008972 ?Reset@XMLParser@@UAGJXZ
00008977 00008995 ??3@YAXPAX@Z
000089F2 00008A72 ?parseName@XMLStream@@AAEJXZ
00008A77 00008A9D ?isNameChar@@YGHG@Z
00008AA2 00009212 ?SxspIncorporateAssembly@@YGHPAU_ACTCTXGENCTX@@PAU_ASSEMBLY@@@Z
00009229 00009244 ??1?$CSxsPointerBase@VCTeeStreamWithHash@@V?$CSxsPointer@VCTeeStreamWithHash@@$E?ms_szTypeName@CTeeStreamWithHash@@2PBDB@@@@QAE@XZ
00009249 0000926A ?Delete@?$CSxsPointerBase@VCFileStreamBase@@V?$CSxsPointer@VCFileStreamBase@@$E?ms_szTypeName@CFileStreamBase@@2PBDB@@@@QAEXXZ
0000926F 00009283 ?Delete@?$CSxsPointer@VCFileStreamBase@@$E?ms_szTypeName@CFileStreamBase@@2PBDB@@SGXPAVCFileStreamBase@@@Z
000092A9 00009360 ?XMLParser_Element_doc_assembly_dependency@CNodeFactory@@QAEHGPBU_SXS_NODE_INFO@@@Z
00009399 000094E2 ?BeginChildren@CNodeFactory@@UAGJPAUIXMLNodeSource@@PAU_XML_NODE_INFO@@@Z
00009551 0000960C ?Read@EncodingStream@@UAGJPAXKPAK@Z
00009611 00009673 ?FusionpDbgWouldPrintAtFilterLevel@@YG_NK@Z
0000967D 0000969E ??_GEncoding@@UAEPAXI@Z
000096A3 000096B8 ??1Encoding@@UAE@XZ
000096BD 0000973C ?Win32ResizeBuffer@?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@QAEHKW4EPreserveContents@@@Z
000097A8 000097C2 ?DeallocateBuffer@?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@MBEXPAG@Z
000097C7 000097E0 ?Win32Append@?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@QAEHABV1@@Z
000097E5 000098B4 ?Win32Append@?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@QAEHPBGK@Z
0000990D 00009964 ?Left@?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@QAEXK@Z
000099B2 00009A17 ?SxspDllRedirectionContributorCallback@@YGXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
00009A9A 00009B21 ?Win32Equals@?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@QBEHPBGKAA_N_N@Z
00009B7D 00009C29 ?SxspAssemblyMetadataContributorCallback@@YGXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
00009C69 00009F5D _SxsGenerateActivationContext@4
00009F75 0000A02B ?SxspCloseManifestGraph@@YGHPAU_ACTCTXGENCTX@@@Z
0000A06D 0000A1EE ?SxspGetAttributeValue@@YGHKPBU_ATTRIBUTE_NAME_DESCRIPTOR@@PBU_SXS_NODE_INFO@@KPBU_ACTCTXCTB_PARSE_CONTEXT@@AA_NKPAXAAKP6GHKABV?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@3K45@ZK@Z
0000A21B 0000A311 ?SxspGetAssemblyIdentityAttributeValue@@YGHKPBU_ASSEMBLY_IDENTITY@@PBU_SXS_ASSEMBLY_IDENTITY_ATTRIBUTE_REFERENCE@@PAPBGPAK@Z
0000A34F 0000A438 ?Map@CXMLNamespaceManager@@QAEJKPBU_XML_NODE_INFO@@PAV?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@PAK@Z
0000A467 0000A5CA ?ValidateElementAttributes@CNodeFactory@@QAEHPBU_SXS_NODE_INFO@@KPBU_ELEMENT_LEGAL_ATTRIBUTE@@E@Z
0000A609 0000A6AC ?Fire_BeginChildren@CActivationContextGenerationContextContributor@@QAEHPAU_ACTCTXGENCTX@@PBU_ACTCTXCTB_ASSEMBLY_CONTEXT@@PBU_ACTCTXCTB_PARSE_CONTEXT@@PBU_SXS_NODE_INFO@@@Z
0000A708 0000A7B1 ?Fire_EndChildren@CActivationContextGenerationContextContributor@@QAEHPAU_ACTCTXGENCTX@@PBU_ACTCTXCTB_ASSEMBLY_CONTEXT@@PBU_ACTCTXCTB_PARSE_CONTEXT@@HPBU_SXS_NODE_INFO@@@Z
