00004E20 00004E34 ?AfxSetNewHandler@@YGP6AHI@ZP6AHI@Z@Z
00004E39 00004E71 ?CreateObject@CRuntimeClass@@QAEPAVCObject@@XZ
00004E84 00004EA5 ?SetWindowTextA@CWnd@@QAEXPBD@Z
00004EAA 000050C2 ?_AfxCbtFilterHook@@YGJHIJ@Z
000050C7 00005121 ?_AfxMsgFilterHook@@YGJHIJ@Z
00005126 00005267 ?ProcessMessageFilter@CWinThread@@UAEHHPAUtagMSG@@@Z
0000526C 0000528A ?Empty@CString@@QAEXXZ
0000528F 000052D1 ?OnEnterIdle@CWnd@@IAEXIPAV1@@Z
000052D6 00005309 ?OnEnterIdle@CFrameWnd@@IAEXIPAVCWnd@@@Z
0000530E 0000534C ?SetWindowPos@CWnd@@QAEHPBV1@HHHHI@Z
00005351 00005389 ?Attach@CDC@@QAEHPAUHDC__@@@Z
0000538E 00005394 _memcmp
00005399 0000540B ?GetNextAssoc@CMapPtrToPtr@@QBEXAAPAU__POSITION@@AAPAX1@Z
00005410 00005426 ?DestroyMenu@CMenu@@QAEHXZ
0000542B 00005470 ?RemoveKey@CMapPtrToWord@@QAEHPAX@Z
00005475 000054E7 ?afxMapHDC@@YGPAVCHandleMap@@H@Z
000054EC 0000551E ?Detach@CDC@@QAEPAUHDC__@@XZ
00005523 00005528 ?ReleaseAttribDC@CDC@@UAEXXZ
0000552D 0000553B ?FromHandle@CMenu@@SGPAV1@PAUHMENU__@@@Z
00005540 000055B2 ?afxMapHMENU@@YGPAVCHandleMap@@H@Z
000055B7 000055D6 ?IsTracking@CFrameWnd@@QBEHXZ
000055DB 00005700 ?OnMenuSelect@CFrameWnd@@IAEXIIPAUHMENU__@@@Z
00005705 0000579C ?OnSysCommand@CFrameWnd@@IAEXIJ@Z
000057A1 000057D5 ?OnInitMenu@CFrameWnd@@IAEXPAVCMenu@@@Z
000057DA 000058A0 ?OnSetMessageString@CFrameWnd@@IAEJIJ@Z
000058A5 000058B5 ?GetMessageBar@CFrameWnd@@UAEPAVCWnd@@XZ
000058BA 00005933 ?GetDescendantWindow@CWnd@@SGPAV1@PAUHWND__@@HH@Z
00005938 0000597D ?GetMessageString@CFrameWnd@@UBEXIAAVCString@@@Z
00005982 000059B0 ?OnSetText@CStatusBar@@IAEJIJ@Z
000059B5 000059E2 ?CommandToIndex@CStatusBar@@QBEHI@Z
000059E7 000059FE ?SetMessageText@CFrameWnd@@QAEXI@Z
00005A03 00005B8E ?OnInitMenuPopup@CFrameWnd@@IAEXPAVCMenu@@IH@Z
00005B93 00005C0C ?AfxCancelModes@@YGXPAUHWND__@@@Z
00005C11 00005C6C ?_AfxIsComboBoxControl@@YGHPAUHWND__@@I@Z
00005C71 00005CF6 ?Enable@CCmdUI@@UAEXH@Z
00005CFB 00005D16 ??0CTestCmdUI@@QAE@XZ
00005D1B 00005D25 ?OnCancelEditCntr@CRichEditView@@IAEXXZ
00005D2A 00005D91 ?SetCheck@CCmdUI@@UAEXH@Z
00005D96 00005DA7 ?Enable@CTestCmdUI@@UAEXH@Z
00005DAC 00005DC7 ?OnEditUndo@CRichEditView@@IAEXXZ
00005DCC 00005DD0 ?GetStartPosition@COleDocument@@UBEPAU__POSITION@@XZ
00005DD5 00005E0F ?GetNextItemOfKind@COleDocument@@IBEPAVCDocItem@@AAPAU__POSITION@@PAUCRuntimeClass@@@Z
00005E14 00005E25 ?GetNextServerItem@COleDocument@@QBEPAVCOleServerItem@@AAPAU__POSITION@@@Z
00005E2A 00005E3B ?GetNextClientItem@COleDocument@@QBEPAVCOleClientItem@@AAPAU__POSITION@@@Z
00005E40 00005E5B ?GetStartPosition@CRichEditDoc@@UBEPAU__POSITION@@XZ
00005E60 00005ED2 ?afxMapHGDIOBJ@@YGPAVCHandleMap@@H@Z
00005ED7 00005EEC ?BeginWaitCursor@CCmdTarget@@QAEXXZ
00005EF1 00005F52 ?DoWaitCursor@CWinApp@@UAEXH@Z
00005F57 00005F6C ?EndWaitCursor@CCmdTarget@@QAEXXZ
00005F6C 00005F7D __tailMerge_comdlg32
00005F82 00005FE5 ?_AfxHandleActivate@@YGXPAVCWnd@@I0@Z
00005FEA 00005FEE ?GetSuperWndProcAddr@CWnd@@MAEPAP6GJPAUHWND__@@IIJ@ZXZ
00005FF3 00006011 ?OnActivateView@CView@@MAEXHPAV1@0@Z
00006016 0000602C ?DeleteObject@CGdiObject@@QAEHXZ
00006031 00006034 ?OnNewWindow2@CHtmlView@@UAEXPAPAUIDispatch@@PAH@Z
00006039 00006072 ?OnNcActivate@CFrameWnd@@IAEHH@Z
