0000AAC1 0000AB2C ?Select@CHTMLEditor@@UAGJPAUISegmentList@@@Z
0000AB31 0000AB6B ?IsPointerInSelection@CHTMLEditor@@UAGJPAUIDisplayPointer@@PAHPAUtagPOINT@@PAUIHTMLElement@@@Z
0000AB70 0000AB93 ?EmptySelection@CHTMLEditor@@UAGJXZ
0000AB98 0000ABB7 ?DestroySelection@CHTMLEditor@@UAGJXZ
0000ABBC 0000ABF9 ?DestroyAllSelection@CHTMLEditor@@UAGJXZ
0000ABFE 0000AC1A ?IsElementUIActivatable@CHTMLEditor@@UAGJPAUIHTMLElement@@@Z
0000AC1F 0000AC36 ?IsElementAtomic@CHTMLEditor@@UAGJPAUIHTMLElement@@@Z
0000AC3B 0000AC52 ?PositionPointersInMaster@CHTMLEditor@@UAGJPAUIHTMLElement@@PAUIMarkupPointer@@1@Z
0000AC57 0000AC9B ?SkipCRLF@@YGHPAPAG@Z
0000ACA0 0000ACBF ?IsEditContextUIActive@CHTMLEditor@@UAGJXZ
0000ACC4 0000ACE1 ?ShouldUpdateAnchorText@CHTMLEditor@@UAGJPAG0PAH@Z
0000ACE6 0000ACF0 ?IsContextEditable@CHTMLEditor@@QAEHXZ
0000ACF5 0000AD03 ?GetPrimarySpringLoader@CHTMLEditor@@QAEPAVCSpringLoader@@XZ
0000AD08 0000AD28 ?InsertElement@CHTMLEditor@@QAEJPAUIHTMLElement@@PAUIMarkupPointer@@1@Z
0000AD2D 0000AD52 ?GetComposeSettings@CHTMLEditor@@QAEPAUCOMPOSE_SETTINGS@@H@Z
0000AD57 0000AD78 ?EnsureComposeSettings@CHTMLEditor@@QAEPAUCOMPOSE_SETTINGS@@XZ
0000AD7D 0000AE78 ?AdjustIntoPhrase@CHTMLEditor@@IAEJPAUIMarkupPointer@@HH@Z
0000AE7D 0000AEDC ?IsNonTextBlock@CHTMLEditor@@QAEHW4_ELEMENT_TAG_ID@@@Z
0000AEE1 0000AEF9 ?GetCachedString@CHTMLEditor@@QAEPAGI@Z
0000AEFE 0000AF05 ?GetStartEditContext@CHTMLEditor@@QAEPAUIMarkupPointer@@XZ
0000AF0A 0000AF11 ?GetEndEditContext@CHTMLEditor@@QAEPAUIMarkupPointer@@XZ
0000AF16 0000AF49 ?IsPhraseElement@CHTMLEditor@@QAEJPAUIHTMLElement@@@Z
0000AF4E 0000B004 ?IsPassword@CHTMLEditor@@QAEJPAUIHTMLElement@@PAH@Z
0000B009 0000B0D6 ?Invoke@CCaptureHandler@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0000B0DB 0000B14F ?CurrentScopeOrMaster@CHTMLEditor@@QAEJPAUIDisplayPointer@@PAPAUIHTMLElement@@PAUIMarkupPointer@@@Z
0000B154 0000B1EF ?AdjustOut@CHTMLEditor@@IAEJPAUIMarkupPointer@@H@Z
0000B1F4 0000B201 ?IsIE50CompatiblePasteMode@CHTMLEditor@@QAEHXZ
0000B206 0000B220 ?IsContentElement@CHTMLEditor@@QAEJPAUIHTMLElement@@@Z
0000B225 0000B242 ?GetMasterElement@CHTMLEditor@@QAEJPAUIHTMLElement@@PAPAU2@@Z
0000B247 0000B263 ?GetDoc4@CHTMLEditor@@QAEPAUIHTMLDocument4@@XZ
0000B268 0000B2B7 ?IsContainer@CHTMLEditor@@QAEHPAUIHTMLElement@@@Z
0000B2BC 0000B2D6 ?IsMasterElement@CHTMLEditor@@QAEJPAUIHTMLElement@@@Z
0000B2DB 0000B2F8 ?IsPointerInMasterElementShadow@CHTMLEditor@@QAEJPAUIMarkupPointer@@@Z
0000B2FD 0000B314 ?EnableModeless@CHTMLEditor@@UAGJH@Z
0000B319 0000B33F ?IgnoreGlyphs@CHTMLEditor@@UAEHH@Z
0000B344 0000B36C ?MoveToSelectionAnchor@CHTMLEditor@@UAGJPAUIMarkupPointer@@@Z
