0000E267 0000E28B ?GetSecurityInfo@HTTP_REQUEST_HANDLE_OBJECT@@QAEKPAUINTERNET_SECURITY_INFO@@@Z
0000E290 0000E2A8 ?GetPropA@HTTP_REQUEST_HANDLE_OBJECT@@QAEPADK@Z
0000E2AD 0000E2C8 ?SetPropA@HTTP_REQUEST_HANDLE_OBJECT@@QAEHKPAD@Z
0000E2CD 0000EC40 _InternetQueryOptionA@16
0000EC45 0000F0FB _WinHttpQueryOption@16
0000F100 0000F277 _WinHttpSetTimeouts@20
0000F27C 0000F2B6 ?SetCertContextArray@SECURITY_CACHE_LIST_ENTRY@@QAEXPAVCERT_CONTEXT_ARRAY@@@Z
0000F2BB 0000F2D4 ?SetCertContextArray@HTTP_REQUEST_HANDLE_OBJECT@@QAEXPAVCERT_CONTEXT_ARRAY@@@Z
0000F2D9 0000FB12 _InternetSetOptionA@16
0000FB17 0000FEA3 _WinHttpSetOption@16
0000FEA8 0000FF7B ??0CFsm_HttpSendRequest@@QAE@PAXKPAVHTTP_REQUEST_HANDLE_OBJECT@@W4AR_TYPE@@@Z
0000FF80 00010175 ?HttpWrapSendRequest@@YGHPAXPBDK0KKW4AR_TYPE@@PAPAVHTTP_REQUEST_HANDLE_OBJECT@@K@Z
0001017A 000101D1 ?GetStatusValues@CFsm_HttpSendRequest@@UAEHPAKPAPAX0PAUWINHTTP_ASYNC_RESULT@@0@Z
000101D6 000101F7 ??_GCFsm_HttpSendRequest@@UAEPAXI@Z
000101FC 00010253 ??1CFsm_HttpSendRequest@@UAE@XZ
00010258 0001027C _HttpSendRequestA@20
00010281 0001052A _WinHttpSendRequest@28
0001052F 0001064B _WinHttpReceiveResponse@8
00010650 00010669 _IsHttp1_1@0
0001066E 00010682 ??1BAD_PROXY_LIST_ENTRY@@QAE@XZ
00010687 000106A0 ??0BAD_PROXY_LIST@@QAE@XZ
000106A5 000106D1 ??_I@YGXPAXIHP6EX0@Z@Z
000106D6 00010725 _GlobalDllInitialize@0
0001072A 000107AC _GlobalDllTerminate@0
000107B1 00010800 ?UnloadMlang@@YGHXZ
00010805 0001080C ??0CGlobalServerInfoPool@@QAE@XZ
00010811 00010846 ??0PROXY_INFO@@QAE@XZ
0001084B 00010854 ?IsProxySettingsConfigured@PROXY_INFO@@UAEHXZ
00010859 0001088D ??1PROXY_INFO@@QAE@XZ
00010892 000108C4 ??0PROXY_INFO_GLOBAL@@QAE@XZ
000108C9 00010BEE _GlobalDataInitialize@0
00010BF3 00010C1A ??_GPROXY_INFO_GLOBAL@@QAEPAXI@Z
00010C1F 00010C43 ??_GCGlobalServerInfoPool@@QAEPAXI@Z
00010C48 00010CC8 _GlobalDataTerminate@0
00010CCD 00010CFD _InternetFreeThreadInfo@4
00010D02 00010D1F _InternetSetThreadInfo@4
00010D24 00010DDD _InternetCreateThreadInfo@8
00010DE2 00010E07 _InternetDestroyThreadInfo@0
00010E0C 00010E68 _InternetTerminateThreadInfo@0
00010E6D 00010EA7 _InternetGetThreadInfo@0
00010EAC 00011122 _InternetIndicateStatus@20
00011127 000111B5 __InternetSetLastError@20
000111BA 000111D8 _InternetSetObjectHandle@8
000111DD 000111ED _InternetGetMappedObjectHandle@0
000111F2 00011227 _InternetIndicateStatusString@16
0001122C 00011288 _InternetIndicateStatusNewHandle@4
0001128D 000112B8 _InternetSetLastError@16
000112BD 0001133D _InternetIndicateStatusAddress@12
00011342 00011367 ??0CRegBlob@@QAE@H@Z
0001136C 00011425 ?Init@CRegBlob@@QAEKPAUHKEY__@@PBD1@Z
0001142A 00011457 ?Commit@CRegBlob@@QAEKXZ
0001145C 00011501 ?WriteBytes@CRegBlob@@QAEKPBXK@Z
00011506 00011550 ?ReadBytes@CRegBlob@@QAEKPAXK@Z
00011555 00011599 ?CleanProxyStruct@@YGXPAUINTERNET_PROXY_INFO_EX@@@Z
0001159E 0001160A ?CleanWinInetProxyStruct@@YGXPAUWININET_PROXY_INFO_EX@@@Z
0001160F 00011635 ??1CRegBlob@@QAE@XZ
0001163A 00011683 ?WriteString@CRegBlob@@QAEKPBD@Z
00011688 000116E0 ?ReadString@CRegBlob@@QAEKPAPBD@Z
000116E5 000117CE ?ReadProxySettings@@YGKPAUINTERNET_PROXY_INFO_EX@@@Z
000117D3 00011897 ?WriteProxySettings@@YGKPAUINTERNET_PROXY_INFO_EX@@@Z
0001189C 00011995 ?InitClientUserString@@YGHPAG@Z
0001199A 00011A3D ?GetClientUserHandle@@YGPAUHKEY__@@K@Z
00011A42 00011AFA ?FindWinInetBaseProxyKey@@YGPAUHKEY__@@XZ
00011AFF 00011CC5 ?ReadWinInetProxySettings@@YGKPAUWININET_PROXY_INFO_EX@@@Z
00011CCA 00011D1D ?LoadProxySettings@@YGKXZ
00011D22 00011D43 ??_GRasEnumHelp@@QAEPAXI@Z
00011D48 00011D69 ??_GRasEnumConnHelp@@QAEPAXI@Z
00011D6E 00011D8F ??_GRasEntryPropHelp@@QAEPAXI@Z
00011D94 00011DAA ?_RasEnumEntriesW@@YGKPAG0PAUtagRASENTRYNAMEW@@PAK2@Z
00011DAF 00011DC5 ?_RasGetConnectStatusW@@YGKPAUHRASCONN__@@PAUtagRASCONNSTATUSW@@@Z
00011DCA 00011DE0 ?_RasGetEntryPropertiesW@@YGKPAG0PAUtagRASENTRYW@@PAKPAE2@Z
00011DE5 00011DFB ?_RasEnumConnectionsW@@YGKPAUtagRASCONNW@@PAK1@Z
00011E00 00011E61 ?EnsureRasLoaded@@YGHXZ
00011E66 00011F97 ?IsRasInstalled@@YGHXZ
00011F9C 00012173 ?DoConnectoidsExist@@YGHXZ
00012178 0001220D ?InitAutodialModule@@YGHXZ
00012212 0001226A ?ExitAutodialModule@@YGXXZ
0001226F 000123EF ?GetActiveConnectionName@@YGPADXZ
000123F4 0001241B ?ByteCountForLeadUtf8Byte@@YGHD@Z
00012420 00012450 ?Utf8StrChr@@YGPADPAD0D@Z
00012455 0001248A ?Utf8StrChrEx@@YGPADPAD0DD@Z
0001248F 000124D6 ?ScanSchemes@@YGHPADKPAK@Z
000124DB 00012584 _IsValidHostNameW@8
00012589 00012629 _IsValidHostNameA@8
0001262E 00012670 _DoesSchemeRequireSlashes@12
00012675 0001275B _EncodeUrlPath@24
00012760 00012787 ?HexCharToNumber@@YGDD@Z
0001278C 00012824 _DecodeUrl@16
00012829 0001285F _DecodeUrlInSitu@8
00012864 0001295B _GetUrlAddressInfo@32
00012960 00012B44 _GetUrlAddress@44
00012B49 00012B86 _MapUrlSchemeName@8
00012B8B 00012BC2 _MapUrlScheme@8
00012BC7 0001348F _ConvertUnicodeToMultiByte@16
00013494 00013605 _CrackUrl@76
0001360A 000136A0 ?ReleaseCredHandle@CERT_CONTEXT_ARRAY@@QAEXU_SecHandle@@@Z
000136A5 000136D6 ?GetCredHandle@CERT_CONTEXT_ARRAY@@QAE?AU_SecHandle@@XZ
000136DB 00013701 ?SetCredHandle@CERT_CONTEXT_ARRAY@@QAEXU_SecHandle@@@Z
00013706 00013796 ?Reset@CERT_CONTEXT_ARRAY@@QAEXXZ
0001379B 00013914 ?CliAuthSelectCredential@@YGKPAU_SecHandle@@PADPAVCERT_CONTEXT_ARRAY@@0PAKKH@Z
00013919 00013969 ??0CERT_CONTEXT_ARRAY@@QAE@H@Z
0001396E 00013989 ??1CERT_CONTEXT_ARRAY@@QAE@XZ
0001398E 000139E7 ?ReadRegistryOemString@@YGKPAUHKEY__@@PBDPADPAK@Z
000139EC 00013A3A _ReadRegistryDword@12
00013A3F 00013AA3 _InternetReadRegistryDwordKey@16
00013AA8 00013B1C _InternetReadRegistryStringKey@20
00013B21 00013B5B ??0GetOSVersion@@QAE@XZ
00013B60 00013C30 ??0RasEnumHelp@@QAE@XZ
00013C35 00013C44 ??1RasEnumHelp@@QAE@XZ
00013C49 00013C4D ?GetConnectionsCount@RasEnumConnHelp@@QAEKXZ
00013C52 00013C9F ??0RasEnumConnHelp@@QAE@XZ
00013CA4 00013CBD ??1RasEnumConnHelp@@QAE@XZ
00013CC2 00013D3A ?Enum@RasEnumConnHelp@@QAEKXZ
00013D3F 00013D85 ?GetEntryW@RasEnumConnHelp@@QAEPAGK@Z
00013D8A 00013DC9 ?GetHandle@RasEnumConnHelp@@QAEPAUHRASCONN__@@K@Z
00013DCE 00013E33 ??0RasEntryPropHelp@@QAE@XZ
00013E38 00013E51 ??1RasEntryPropHelp@@QAE@XZ
00013E56 00013E92 ?GetW@RasEntryPropHelp@@QAEKPAG@Z
00013E97 00013ED7 ?GetDeviceTypeA@RasEntryPropHelp@@QAEPADXZ
00013EDC 00013F4B ??0RasGetConnectStatusHelp@@QAE@PAUHRASCONN__@@@Z
00013F50 00013F6C ??1RasGetConnectStatusHelp@@QAE@XZ
00013F71 00013F74 ?GetError@RasEnumConnHelp@@QAEKXZ
00013F79 00013F86 ?ConnState@RasGetConnectStatusHelp@@QAE?AW4tagRASCONNSTATE@@XZ
00013F8B 0001502D _InternetMapError@4
000154D2 00015621 _InternetMapStatus@4
00015626 00015669 _InternetMapRequestError@4
0001566E 00015678 ?DLOleInitialize@@YGHXZ
0001567D 0001573F ?DelayLoad@@YGHPAUDL_MODULE@@@Z
00015744 000157A7 ?DelayUnload@@YGHPAUDL_MODULE@@@Z
000157AC 000157CF ?DLOleTerminate@@YGXXZ
000157D4 000157FE ??0LIST_ELEMENT@@QAE@PAVCFsm@@JHK@Z
00015803 00015836 ?IsTimedOut@LIST_ELEMENT@@QAEHK@Z
0001583B 0001585E ?Dereference@CWrapOverlapped@@QAEHXZ
00015863 0001589A ?DestroySelectSocket@ICAsyncThread@@QAEXXZ
0001589F 00015904 ?InterruptSelect@ICAsyncThread@@QAEXXZ
00015909 0001592A ?Add@CAsyncCount@@QAEXPAUINFO_THREAD@@@Z
0001592F 00015945 ?GetAndSetCurrentFsm@ICSocket@@QAEPAVCFsm@@PAV2@@Z
0001594A 00015984 ?SetTimeout@CFsm@@QAEXK@Z
00015989 000159BC ?IsTimedOut@CFsm@@QAEHK@Z
000159C1 000159D7 ?StartTimer@CFsm@@QAEXXZ
000159DC 000159FF ?TestAndSetValidForTimeoutEnforce@CFsm_SocketIOCP@@QAEHJ@Z
00015A04 00015A19 ?TestAndSetValidForIOCPProcessing@CFsm_SocketIOCP@@QAEHXZ
00015A1E 00015A59 ?AddRef@CAsyncCount@@QAEKXZ
00015A5E 00015AC7 ?Purge@CAsyncCount@@QAEHH@Z
00015ACC 00015B94 ?TerminateIOCPSupport@@YGXXZ
00015B99 00015BCE ?PrepareForTermination@ICAsyncThread@@QAEXXZ
00015BD3 00015C6F ?QueueTimeoutFsm@ICAsyncThread@@QAEKPAVCFsm@@IH@Z
00015C74 00015CBC ?QueueSocketWorkItem@ICAsyncThread@@QAEKPAVCFsm@@@Z
00015CC1 00015D08 ?BlockWorkItem@ICAsyncThread@@QAEKPAVCFsm@@KK@Z
00015D0D 00015DA3 ?UnblockWorkItems@ICAsyncThread@@QAEKKKKJ@Z
00015DA8 00015EED ?ProcessSendRecvTimeouts@ICAsyncThread@@QAEKPAK@Z
00015EF2 00016077 ?ProcessResolveTimeouts@ICAsyncThread@@QAEKPAK@Z
0001607C 00016106 ?ReleaseAllSocketHandles@ICAsyncThread@@QAEKXZ
0001610B 000161CF ?CreateSelectSocket@ICAsyncThread@@QAEKXZ
000161D4 00016221 ?RecreateSelectSocket@ICAsyncThread@@QAEXXZ
00016226 00016281 ?DrainSelectSocket@ICAsyncThread@@QAEXXZ
00016286 00016299 ??0CPriorityList@@QAE@XZ
0001629E 000162B3 ??1CPriorityList@@QAE@XZ
000162B8 000162DD ??1ICAsyncThread@@QAE@XZ
000162E2 00016344 _TerminateAsyncSupport@8
00016349 000164A4 ?ThreadExitCleanup@ICAsyncThread@@AAEXXZ
000164A9 0001698B ?SelectThread@ICAsyncThread@@QAEKXZ
00016990 000169D4 ?Release@CAsyncCount@@QAEXXZ
000169D9 000169FA ??_GICAsyncThread@@QAEPAXI@Z
000169FF 00016A2B ?Dereference@ICAsyncThread@@QAEHXZ
00016A30 00016A7D _QueueTimeoutFsm@12
00016A82 00016AD0 _QueueSocketWorkItem@8
00016AD5 00016B00 _InterruptSelect@0
00016B05 00016B49 _BlockWorkItem@12
00016B4E 00016B92 _UnblockWorkItems@16
00016B97 00016BF8 ?SelectThreadWrapper@ICAsyncThread@@SGKPAV1@@Z
00016BFD 00016D0B ??0ICAsyncThread@@QAE@PAUHINSTANCE__@@@Z
00016D10 00016ED9 ?IOCompletionThreadFunc@@YGKK@Z
00016EDE 00017094 ?InitializeIOCPSupport@@YGKXZ
00017099 000171B8 _InitializeAsyncSupport@0
000171BD 000171DB _INITIALIZE_MEMORY_MANAGER@0
000171E0 00017207 _TERMINATE_MEMORY_MANAGER@4
0001720C 0001721E _MEMORY_MANAGER_ON_THREAD_DETACH@0
00017223 00017249 _ALLOCATOR@8
0001724E 00017286 _DEALLOCATOR@4
0001728B 000172C0 _REALLOCATOR@12
000172C5 00017317 _NewString@8
0001731C 0001736B _ResizeBuffer@12
00017370 000173FE _strnistr@12
00017403 00017419 @PrivateStrChr@8
0001741E 00017424 _GetTickCountWrap@0
00017429 000174BC _PlatformType@4
000174C1 0001759B _GetTimeoutValue@4
000175A0 00017611 _ProbeReadBuffer@8
00017616 00017690 _ProbeWriteBuffer@8
00017695 000176C9 _ProbeAndSetDword@8
000176CE 000176F3 _CalculateHashValue@4
000176F8 0001771B _GetCurrentGmtTime@4
00017720 00017872 _ConvertSecurityInfoIntoCertInfoStruct@12
00017877 00017930 _StrTokEx@8
00017935 000179A2 ?WideCharToAscii_UsingGlobalAlloc@@YGKPBGPAPAD@Z
000179A7 00017A14 ?AsciiToWideChar_UsingGlobalAlloc@@YGKPBDPAPAG@Z
00017A19 00017A26 ??0XSTRING@@QAE@XZ
00017A2B 00017A5B ??1CAdminOnlySecurityDescriptor@@QAE@XZ
00017A60 00017B28 ?Initialize@CAdminOnlySecurityDescriptor@@QAEJXZ
00017B2D 00017B31 ?GetSecurityDecriptor@CAdminOnlySecurityDescriptor@@QAEPAXXZ
00017B36 00017BE2 ?CopyClientCertIssuerList@@YGKPBU_SecPkgContext_IssuerListInfoEx@@PAPAU1@@Z
00017BE7 00017BF8 ??2@YAPAXI@Z
00017BFD 00017C0C ??3@YAXPAX@Z
00017C11 00017C80 _UnloadDllEntryPoints@8
00017C85 00017E37 _MapInternetError@8
00017E99 00017F73 ?WideCharToAscii@@YGKPBGPAPADKH@Z
00017F78 00018019 _LoadDllEntryPoints@8
0001801E 0001803C ?ReadTraceSettingsDwordKey@CTracer@@CGKPBDPAK@Z
