00068F0E 00068F16 RpcSsDisableAllocate
00068F1B 00068F23 RpcSsFree
00068F28 00068F59 RpcSsGetThreadHandle
00068F5E 00068F8E RpcSsSetClientAllocFree
00068F93 00069015 RpcSsSetThreadHandle
0006901A 00069059 RpcSsSwapClientAllocFree
0006905E 000690B6 RpcSmAllocate
000690C9 00069110 RpcSmClientFree
00069121 00069163 RpcSmDisableAllocate
00069179 000691C0 RpcSmFree
000691D1 00069226 RpcSmGetThreadHandle
00069239 00069283 RpcSmSetClientAllocFree
00069299 000692E0 RpcSmSetThreadHandle
000692F1 00069341 RpcSmSwapClientAllocFree
00069359 0006937A NdrRpcSsDisableAllocate
0006937F 00069399 NdrRpcSmSetClientToOsf
000694B5 000694BD RpcSsEnableAllocate
000694C2 00069504 RpcSmEnableAllocate
00069519 0006953A NdrRpcSsEnableAllocate
00069989 00069A86 NdrServerMarshall
00074203 000743ED I_RpcProxyNewConnection
0008208B 00082091 DbgPrintEx
00082096 0008209C memmove
000820A1 000820A7 swprintf
000820AC 000820B2 wcsrchr
000820B7 000820BD wcstoul
000820C2 000820C8 wcsncpy
000820CD 000820D3 wcschr
000820D8 000820DE DbgBreakPoint
000820E3 000820E9 _ultow
000820EE 000820F4 DbgPrint
000820F9 000820FF sprintf
00082104 0008210A _itow
0008210F 00082115 wcsstr
0008211A 00082120 strchr
00082125 0008212B atoi
00082130 00082136 _ltoa
0008213B 00082141 strtol
00082146 0008214C _ultoa
00082151 00082157 _wtol
0008215C 00082162 atol
00082167 0008216D GetUserNameExW
00082172 00082178 TraceMessage
0008217D 00082183 SystemFunction041
00082188 0008218E SystemFunction040
00084005 000842F7 NdrStubCall2
00084460 0008449B NdrUnmarshallBasetypeInline
000844D0 000846A9 NdrClientCall2
000846D5 000846F2 NdrServerCall2
0008475D 000847C3 NdrDllGetClassObject
0008485D 00084871 NdrDllCanUnloadNow
00084876 00084890 CStdStubBuffer_AddRef
00084A2C 00084A60 NdrCStdStubBuffer_Release
00084A65 00084A87 CStdStubBuffer_Disconnect
00084AD7 00084AEC IUnknown_Release_Proxy
00084B52 00084B6C IUnknown_QueryInterface_Proxy
00084B71 00084C02 CStdStubBuffer_Invoke
00084C07 00084C48 NdrStubInitialize
00084CCA 00084D11 NdrStubGetBuffer
00084D16 00084D70 RpcAsyncInitializeHandle
00084D75 00084DE0 NdrProxySendReceive
00084ECA 00084F1A NdrProxyInitialize
00084F30 00084F8E NdrProxyGetBuffer
00084F93 00084FD7 NdrProxyFreeBuffer
00085039 0008504E IUnknown_AddRef_Proxy
000852A3 000852C7 RpcAsyncCompleteCall
00085433 000855D8 NdrAsyncClientCall
00085BBD 00085C40 NdrpCreateStub
00085C45 00085C95 NdrCStdStubBuffer2_Release
00085F48 00085FEE NdrpCreateProxy
000863A6 00086560 NdrAsyncServerCall
000865F6 000866CB NdrProxyErrorHandler
000873EF 000874B3 CStdStubBuffer_QueryInterface
0008766A 0008767E CStdStubBuffer_CountRefs
000876AF 000876D1 CStdStubBuffer_DebugServerQueryInterface
000876D6 000876D9 CStdStubBuffer_DebugServerRelease
000876DE 0008770C NdrStubInitializeMarshall
00087711 00087736 NdrStubForwardingFunction
0008773B 00087780 CStdStubBuffer_Connect
00087864 0008789C CStdStubBuffer_IsIIDSupported
000884C4 00088502 RpcAsyncAbortCall
00088507 000885B0 NdrClearOutParameters
000885B5 00088B7B NdrClientCall
000892D2 0008962B NdrDcomAsyncStubCall
0008A02A 0008A04D NdrDcomAsyncClientCall
0008A0BC 0008A2D2 NdrStubCall
0008A364 0008A37D NdrServerCall
