00009325 0000937A ?CloseStore@CLdapStore@@QAEXK@Z
0000937F 00009394 ?DeleteCert@CLdapStore@@QAEHPBU_CERT_CONTEXT@@K@Z
00009399 000093AE ?DeleteCrl@CLdapStore@@QAEHPBU_CRL_CONTEXT@@K@Z
000093B3 000093C8 ?DeleteCtl@CLdapStore@@QAEHPBU_CTL_CONTEXT@@K@Z
000093CD 000093E3 ?WriteCert@CLdapStore@@QAEHPBU_CERT_CONTEXT@@K@Z
000093E8 000093FE ?WriteCrl@CLdapStore@@QAEHPBU_CRL_CONTEXT@@K@Z
00009403 00009419 ?WriteCtl@CLdapStore@@QAEHPBU_CTL_CONTEXT@@K@Z
0000941E 00009449 ?Commit@CLdapStore@@QAEHK@Z
0000944E 000094F8 ?FillCacheStore@CLdapStore@@AAEHH@Z
000094FD 00009521 ?LdapProvCloseStore@@YGXPAXK@Z
00009526 0000953D ?LdapProvDeleteCert@@YGHPAXPBU_CERT_CONTEXT@@K@Z
00009542 00009559 ?LdapProvDeleteCrl@@YGHPAXPBU_CRL_CONTEXT@@K@Z
0000955E 00009575 ?LdapProvDeleteCtl@@YGHPAXPBU_CTL_CONTEXT@@K@Z
0000957A 00009591 ?LdapProvWriteCert@@YGHPAXPBU_CERT_CONTEXT@@K@Z
00009596 000095AD ?LdapProvWriteCrl@@YGHPAXPBU_CRL_CONTEXT@@K@Z
000095B2 000095C9 ?LdapProvWriteCtl@@YGHPAXPBU_CTL_CONTEXT@@K@Z
000095CE 000097E4 ?OpenStore@CLdapStore@@QAEHPBDKKKPBXPAXPAU_CERT_STORE_PROV_INFO@@@Z
00009831 00009855 ?Resync@CLdapStore@@QAEHXZ
0000985A 000098D8 ?LdapProvOpenStore@@YGHPBDKKKPBXPAXPAU_CERT_STORE_PROV_INFO@@@Z
000098DD 0000990B ?StoreControl@CLdapStore@@QAEHKKPAX@Z
00009910 0000992A ?LdapProvStoreControl@@YGHPAXKK0@Z
0000992F 0000993B ?DeleteCryptRetrieveObjectByUrl@@YGXXZ
00009940 00009950 _CryptCancelAsyncRetrieval@4
00009955 00009C37 ?I_CryptNetOutputDebugStringA@@YGXPBD@Z
00009CA7 00009D36 ?I_CryptNetDebugPrintfA@@YAXPBDZZ
00009D49 00009D6B ?DebugPrintUrlRetrievalError@@YGXPBGKK@Z
00009DBF 00009E53 _CryptRetrieveObjectByUrlA@36
00009E58 00009EB4 _CryptFlushTimeValidObject@20
00009EB9 00009EC5 ??1CTVOCache@@QAE@XZ
00009ECA 00009EEC ?RemoveCacheEntry@CTVOCache@@QAEXPAU_TVO_CACHE_ENTRY@@H@Z
00009EF1 00009EFD ?RemoveAllCacheEntries@CTVOCache@@QAEXXZ
00009F02 00009F1F ??1CTVOAgent@@QAE@XZ
00009F24 00009F68 ?ObjectContextFreeTVOCacheEntry@@YGXPAU_TVO_CACHE_ENTRY@@@Z
00009F6D 00009F8E ??_GCTVOAgent@@QAEPAXI@Z
00009F93 00009FA4 ?TVOCacheOnRemoval@@YGXPAX0@Z
00009FA9 0000A19D ?FlushTimeValidObject@CTVOAgent@@QAEHPBDPAX0PBU_CERT_CONTEXT@@K1@Z
0000A1A2 0000A1C7 ?CtlFlushTimeValidObject@@YGHPBDPAXPBU_CERT_CONTEXT@@K1@Z
0000A1CC 0000A1F1 ?FreshestCrlFromCertFlushTimeValidObject@@YGHPBDPAXPBU_CERT_CONTEXT@@K1@Z
0000A1F6 0000A227 ?CtlGetTimeValidObject@@YGHPBDPAXPBU_CERT_CONTEXT@@PAU_FILETIME@@KKPAPAXPAU_CRYPT_CREDENTIALS@@1@Z
0000A22C 0000A255 _CryptUninstallCancelRetrieval@8
0000A25A 0000A3A3 _RPORDllRegisterServer@4
0000A3BB 0000A4C4 _RPORDllUnregisterServer@4
0000A4C9 0000A4E7 ?RPORDllRegUnregServer@@YGJPAUHINSTANCE__@@H@Z
0000A4EC 0000A55F _CryptInstallCancelRetrieval@16
0000A564 0000A621 ?I_SchemeReadAndValidateMetaDataFile@@YGPAU_SCHEME_CACHE_META_DATA_HEADER@@PAXPAPAKPAPBG@Z
0000A626 0000A67D ?I_SchemeDeleteFile@@YGHPBG@Z
0000A682 0000A7A1 _SchemeDeleteUrlCacheEntry@4
0000A7A6 0000A7B7 _SchemeFreeEncodedCryptBlobArray@12
0000A7BC 0000A8EA _SchemeGetPasswordCredentialsW@12
0000A8EF 0000A947 _SchemeFreePasswordCredentialsW@4
0000A94C 0000AA45 _SchemeGetAuthIdentityFromPasswordCredentialsW@8
0000AA4A 0000AA78 _SchemeFreeAuthIdentityFromPasswordCredentialsW@8
0000AA7D 0000AAA3 _SchemeRetrieveUncachedAuxInfo@4
0000AAA8 0000AE01 _I_CryptNetEnumUrlCacheEntry@16
0000AE0F 0000AE1A ?AddRef@CFileSynchronousRetriever@@UAEXXZ
0000AE1F 0000AE41 ??_GCLdapSynchronousRetriever@@QAEPAXI@Z
0000AE46 0000AEFE _LdapParseCrackedHost@8
0000AF09 0000AF4D _LdapParseCrackedDN@8
0000AF52 0000B02D _LdapParseCrackedAttributeList@8
0000B039 0000B0D0 _LdapParseCrackedScopeAndFilter@12
0000B0E5 0000B125 _LdapFreeUrlComponents@4
0000B12A 0000B143 _LdapFreeBindings@4
0000B148 0000B3C7 _LdapConvertLdapResultMessage@20
