0001DD87 0001DDBF ?InvalidFileNameWch@@YGHG@Z
0001DDC4 0001DF94 ?GetFileNameFromCert@@YGHKPBU_CERT_CONTEXT@@PAG@Z
0001DF99 0001E1CD _GetFileNameAndContent@32
0001E1D2 0001E2D3 ?GetAllSelectedItem@@YGHPAUHWND__@@KPAX@Z
0001E2D8 0001E39F ?IsAdvancedSelected@@YGHPAUHWND__@@@Z
0001E3A4 0001E674 ?IsValidUsage@@YGHPBU_CERT_CONTEXT@@PAUHWND__@@PAU_CERT_MGR_INFO@@@Z
0001E679 0001E7A8 ?IsCertificateEndEntity@@YGHPBU_CERT_CONTEXT@@@Z
0001E7B7 0001E7F3 ?AddCertToCertMgrInfo@@YGHPBU_CERT_CONTEXT@@PAU_CERT_MGR_INFO@@@Z
0001E7F8 0001E89A ?RefreshCertDetails@@YGHPAUHWND__@@PBU_CERT_CONTEXT@@@Z
0001E89F 0001EAED ?AddCertToListView@@YGHPAUHWND__@@PBU_CERT_CONTEXT@@H@Z
0001EAF2 0001EB28 ?IsAdvancedOID@@YGHPAU_CTL_USAGE@@PBD@Z
0001EB2D 0001EB74 _FreeUsageOID@8
0001EB79 0001EBC0 _FreeCerts@4
0001EBC5 0001EDC8 ?InitPurposeCombo@@YGXPAUHWND__@@PAU_CERT_MGR_INFO@@@Z
0001EDCD 0001EE54 ?RepopulatePurposeCombo@@YGXPAUHWND__@@PAU_CERT_MGR_INFO@@@Z
0001EE59 0001EFFD _SaveAdvValueToReg@4
0001F002 0001F254 ?GetInitValueFromReg@@YGXPAU_CERT_MGR_INFO@@@Z
0001F259 0001F5B0 _RefreshCertListView@8
0001F607 0001F666 ?InitPurposeOID@@YGHPBDPAKPAPAU_PURPOSE_OID_INFO@@@Z
0001F66B 0001FBDD ?CertMgrAdvancedProc@@YGHPAUHWND__@@IIJ@Z
0001FBFD 0001FC5A _IsolationAwareLoadLibraryExA@12
0001FCB1 0001FCCC _GetXPSP2ResModuleHandle@0
0001FCDE 0001FE13 ?InitTabControl@@YGXPAUHWND__@@PBU_CRYPTUI_CERT_MGR_STRUCT@@@Z
0001FE18 00020BFA ?CertMgrDialogProc@@YGHPAUHWND__@@IIJ@Z
00020C75 00020DC2 _CryptUIDlgCertMgr@4
00020DD9 00020E03 _CryptUIStartCertMgr@16
00020E08 00020E59 ?CompareCA@@YGHJJJ@Z
00020E5E 00020F51 ?AddCAToList@@YGHPAUHWND__@@PAU_SELECT_CA_INFO@@@Z
00020F56 00020F8B _CryptUIDlgFreeCAContext@4
00020F90 00021017 ?CopyCAContext@@YGHPAU_CRYPTUI_CA_CONTEXT@@PAPAU1@@Z
0002101C 00021655 ?SelectCADialogProc@@YGHPAUHWND__@@IIJ@Z
00021665 00021B6D _CryptUIDlgSelectCA@4
00021B72 00021BFE ?SetStoreName@@YGXPAUHWND__@@PAX@Z
00021C03 00021C44 ?SameCert@@YGHPBU_CERT_CONTEXT@@0@Z
00021C49 00021D11 ?DeleteCertFromBuildCTL@@YGHPAU_CERT_BUILDCTL_INFO@@PBU_CERT_CONTEXT@@@Z
00021D16 00021DA2 ?AddCertToBuildCTL@@YGHPBU_CERT_CONTEXT@@PAU_CERT_BUILDCTL_INFO@@@Z
00021DA7 00021E8B ?CertMatchCTL@@YGHPAU_CERT_BUILDCTL_INFO@@PBU_CERT_CONTEXT@@@Z
00021E90 00021F1B ?IsValidCert@@YGHPAUHWND__@@PBU_CERT_CONTEXT@@PAU_CERT_BUILDCTL_INFO@@HH@Z
00022217 0002245B ?GetCertForCTL@@YGXPAUHWND__@@HPAU_CERT_BUILDCTL_INFO@@PAX@Z
00022460 000224A7 ?FreeCerts@@YGXPAU_CERT_BUILDCTL_INFO@@@Z
000224AC 00022634 ?CTLOIDDialogProc@@YGHPAUHWND__@@IIJ@Z
00022639 0002269D _FreePurposeInfo@8
000226A2 00022802 ?SearchAndAddOID@@YGHPADPAKPAPAPAU_ENROLL_PURPOSE_INFO@@PAHHHH@Z
000228B5 000229A4 ?GetOIDForCTL@@YGHPAU_CERT_BUILDCTL_INFO@@KPAPAD@Z
000229A9 00022B0E ?InitBuildCTLOID@@YGHPAUHWND__@@PAU_CERT_BUILDCTL_INFO@@@Z
00022B13 00022BE0 ?BuildCTL_Welcome@@YGHPAUHWND__@@IIJ@Z
00022BE5 00022D7D ?BuildCTL_Name@@YGHPAUHWND__@@IIJ@Z
00022D82 00022E39 ?IsValidSigningCTLCert@@YGHPBU_CERT_CONTEXT@@@Z
