0001CF3A 0001CF60 _PkiAsn1SetEncodingRule@8
0001CF65 0001CF8C _PkiAsn1ReverseBytes@8
0001CF91 0001CFB0 _PkiAsn1ErrToHr@4
0001CFB5 0001D08F _PkiAsn1FromObjectIdentifier@16
0001D094 0001D0AA _PkiAsn1FreeEncoded@8
0001D0AF 0001D166 _PkiAsn1Encode2@20
0001D16B 0001D250 _PkiAsn1EncodeInfoEx@28
0001D255 0001D276 _PkiAsn1EncodeInfo@20
0001D27B 0001D2B9 _PkiAsn1DecodeAndAllocInfo@20
0001D2BE 0001D2E7 _PkiNonzeroAlloc@4
0001D2EC 0001D30D _PkiGetEncodeAllocFunction@4
0001D312 0001D318 _memmove
0001D31D 0001D323 _iswctype
0001D328 0001D32E _wcscat
0001D333 0001D339 _wcslen
0001D33E 0001D344 __except_handler3
0001D349 0001D34F _wcschr
0001D354 0001D35A _wcscpy
0001D35F 0001D365 __ltow
0001D36A 0001D370 _wcscmp
0001D375 0001D37B _time
0001D380 0001D386 __ltoa
0001D38B 0001D391 _I_CryptGetAsn1Encoder@4
0001D396 0001D39C _I_CryptGetAsn1Decoder@4
0001D3A1 0001D3A7 _I_CryptInstallAsn1Module@12
0001D3AC 0001D3B2 _I_CryptUninstallAsn1Module@4
0001D3B7 0001D3BD _MD5Final@4
0001D3C2 0001D3C8 _MD5Update@12
0001D3CD 0001D3D3 _MD5Init@4
0001D3D8 0001D3DE _A_SHAFinal@8
0001D3E3 0001D3E9 _A_SHAUpdate@12
0001D3EE 0001D3F4 _A_SHAInit@4
0001D3F9 0001D400 __imp_load__DnsNameCompare_W@8
0001D400 0001D411 __tailMerge_DNSAPI
0001D416 0001D41C _DnsNameCompare_W@8
0001D421 0001D47C _NetpWriteEventlogEx@32
0001D481 0001D520 _NetpRaiseAlert@12
0001D531 0001D5B8 _NetpEventlogOpen@8
0001D5C9 0001D8FC _NetpEventlogWriteEx@32
0001D907 0001D941 _NetpEventlogClearList@4
0001D946 0001D963 _NetpEventlogClose@4
0001D968 0001D9B7 _NetpLogonTimeHasElapsed@12
0001D9BC 0001D9FC _ultow@12
0001DA01 0001DA54 _NetpCopyStrToWStr@8
0001DA59 0001DA65 _NetpInitOemString@8
0001DA6A 0001DA70 _NetAlertRaiseEx@16
0001DA75 0001DAC8 _SslFreeCredentialManager@0
0001DACD 0001DB17 _SslCheckForGPEvent@0
0001DB1C 0001DB3A _IsValidThumbprint@4
0001DB3F 0001DB63 _IsSameThumbprint@8
0001DB68 0001DBBA _GenerateCertThumbprint@8
0001DBBF 0001DBD2 _GenerateRandomThumbprint@4
0001DBD7 0001DC1D _DoesCredThumbprintMatch@8
0001DC22 0001DD05 _SPDeleteCred@4
0001DD0A 0001DD29 _SPReferenceCredential@4
0001DD2E 0001DE74 _UpdateCredentialFormat@8
0001DE79 0001E1AD _GetIisPrivateFromCert@8
0001E1C0 0001E278 _LocalCryptAcquireContext@16
0001E27D 0001E3BE _GetPrivateFromCert@12
0001E3C3 0001E428 _SslInitCredentialManager@0
0001E42D 0001E4D9 _SPCreateCred@16
0001E4DE 0001E606 _SPDeleteCredential@4
0001E60B 0001E646 _SPDereferenceCredential@4
0001E64B 0001EA2F _SPCreateCredential@12
0001EA34 0001EACA _SPContextCreate@4
0001EACF 0001EB89 _SPContextClean@4
0001EB8E 0001ED46 _SPContextDelete@4
0001ED4B 0001EE0F _SPContextSetCredentials@8
0001EE14 0001EE5C _DetermineClientCSP@4
0001EE61 0001EED0 _ContextInitCiphers@12
0001EED5 0001EFBE _SPContextDoMapping@4
0001EFC3 0001F10E _RemoveDuplicateIssuers@8
0001F113 0001F283 _SPContextGetIssuers@4
0001F288 0001F2EE _SPPickClientCertificate@8
0001F2F3 0001F397 _SPPickServerCertificate@8
0001F39C 0001F44B _LsaContextDelete@4
0001F450 0001F50B _ContextInitCiphersFromCache@4
0001F510 0001F550 _GetCipherInfo@8
0001F555 0001F58D _GetHashInfo@4
0001F592 0001F5CA _GetKeyExchangeInfo@4
0001F5CF 0001F607 _GetKeyExchangeInfoByAlg@4
0001F60C 0001F643 _GetCertSysInfo@4
0001F648 0001F680 _GetSigInfo@4
0001F685 0001F6A9 _KeyExchangeFromSpec@8
0001F6AE 0001F726 _GetBaseCipherSizes@8
0001F72B 0001F7CC _GetDisplayCipherSizes@12
0001F7D1 0001F82F _IsAlgAllowed@8
0001F834 0001FA73 _BuildAlgList@12
0001FAAD 0001FB87 _IsAlgSupportedCapi@16
0001FB8C 0001FBCF _IsCipherAllowed@16
0001FBD4 0001FC14 _IsCipherSuiteAllowed@20
0001FC19 0001FC47 _IsHashAllowed@12
0001FC4C 0001FC7A _IsExchAllowed@12
0001FC7F 0001FC9F _SafeAllocaAllocateFromHeap@4
0001FCA4 0001FCC4 _SafeAllocaFreeToHeap@4
0001FCC9 0001FD82 _SafeAllocaInitialize@16
0001FD82 0001FE7A ___report_gsfailure
0001FE7F 0001FE85 _LsaLookupAuthenticationPackage@12
0001FE8A 0001FE90 _LsaConnectUntrusted@4
0001FE95 0001FE9B _LsaFreeReturnBuffer@4
0001FEA0 0001FEA6 _LsaCallAuthenticationPackage@28
0001FEAB 0002002B _ServerProtocolHandler@12
00020032 00020275 ___delayLoadHelper2@8
