0000CB64 0000CB6F _phoneGetID@12
0000CB74 0000CBCF _phoneGetLamp@12
0000CBD4 0000CC3D _phoneGetRing@12
0000CC42 0000CC95 _phoneGetStatusW@8
0000CC9A 0000CCC5 _phoneGetStatusA@8
0000CCCA 0000CCD2 _phoneGetStatus@8
0000CCD7 0000CD53 _phoneGetStatusMessages@16
0000CD58 0000CDB3 _phoneGetVolume@12
0000CDB8 0000CE59 _phoneNegotiateAPIVersion@24
0000CE5E 0000CEE8 _phoneNegotiateExtVersion@24
0000CEED 0000CFCB _phoneOpen@28
0000CFD0 0000D02B _phoneSetButtonInfoW@12
0000D030 0000D13F _phoneSetButtonInfoA@12
0000D1B1 0000D1BC _phoneSetButtonInfo@12
0000D1C1 0000D225 _phoneSetData@16
0000D22A 0000D29D _phoneSetDisplay@20
0000D2A2 0000D300 _phoneSetGain@12
0000D305 0000D391 _phoneSetHookSwitch@12
0000D396 0000D3F4 _phoneSetLamp@12
0000D3F9 0000D457 _phoneSetRing@12
0000D45C 0000D4C2 _phoneSetStatusMessages@16
0000D4C7 0000D525 _phoneSetVolume@12
0000D52A 0000D57D _tapiRequestDrop@8
0000D582 0000D7FC _tapiRequestMakeCallW@16
0000D8D9 0000D9B4 _tapiRequestMakeCallA@16
0000D9B9 0000D9C4 _tapiRequestMakeCall@16
0000D9C9 0000DAF1 _tapiRequestMediaCallW@40
0000DAF6 0000DC82 _tapiRequestMediaCallA@40
0000DC87 0000DC92 _tapiRequestMediaCall@40
0000DC97 0000DDF5 _xxxShutdown@8
0000DE6E 0000DEE1 _TUISPIDLLCallback@16
0000DEE6 0000E002 _UIThread@4
0000E0AA 0000E0FF _internalPerformance@4
0000E104 0000E99E _AsyncEventsThread@4
0000EC2D 0000EF9F _lineXxxProvider@20
0000F06C 0000F7AA _xxxInitialize@32
0000F9A0 0000FA3C _lineAddProviderA@12
0000FA99 0000FB6B _lineAddProviderW@12
0000FBE6 0000FBF1 _lineAddProvider@12
0000FBF6 0000FC83 _lineConfigDialogW@12
0000FCEC 0000FD3B _lineConfigDialogA@12
0000FD40 0000FD48 _lineConfigDialog@12
0000FD4D 0000FE21 _lineConfigDialogEditW@24
0000FE98 0000FEF0 _lineConfigDialogEditA@24
0000FEF5 0000FEFD _lineConfigDialogEdit@24
0000FF02 0000FF1F _lineConfigProvider@8
0000FF3D 0000FFBD _lineInitialize@20
0000FFED 0001003A _lineInitializeExW@28
00010075 000100E5 _lineInitializeExA@28
0001011D 0001013A _lineRemoveProvider@8
0001013F 00010152 _lineShutdown@4
00010157 000101F2 _phoneConfigDialogW@12
00010290 000102DF _phoneConfigDialogA@12
000102E4 000102EC _phoneConfigDialog@12
000102F1 00010373 _phoneInitialize@20
000103A8 000103F5 _phoneInitializeExW@28
0001042A 00010499 _phoneInitializeExA@28
000104D3 000104E6 _phoneShutdown@4
000104EB 000104FB _NonAsyncEventThread@0
00010500 00010544 _IsValidMmcApp@4
00010559 000105C1 _MMCAddProvider@16
000105C6 00010628 _MMCConfigProvider@12
0001062D 000106D8 _MMCGetAvailableProviders@8
000106DD 00010788 _MMCGetLineInfo@8
0001078D 00010849 _MMCGetLineStatus@24
0001084E 000108F9 _MMCGetPhoneInfo@8
000108FE 000109BA _MMCGetPhoneStatus@24
