00015D3C 00015E7F _GetLocalPtrRecord@4
00015EA1 00015EAC _DnsApiHeapReset@12
00015EB1 00015EBC _DnsApiRealloc@8
00015EC1 00015F19 _DnsFree@8
00015F1E 00015F56 _SearchList_ContainsName@8
00015F5B 00015FA4 _SearchList_AddName@12
00015FA9 00016047 _NetInfo_ConvertToIpArray@4
0001604C 000160A5 _NetInfo_CreateForUpdate@16
000160AA 000160BB _NetInfo_UpdateZoneName@4
000160C0 000160D2 _NetInfo_UpdateServerName@4
000160D7 00016106 _NetInfo_IsForUpdate@4
0001610B 0001619F _IsDnsReachableOnAlternateInterface@12
000161A4 000161D1 _NetInfo_MarkDirty@0
000161D6 00016234 _GetDnsServerList@4
00016239 000162DC _NetInfo_CreateFromIpArray@16
000162E1 00016357 _QueryDirectEx@40
0001635C 000163F8 _Query_InProcess@4
000163FD 00016532 _ShimDnsQueryEx@4
00016537 00016604 _CombinedQueryEx@8
00016609 0001661C _DnsQueryExW@4
00016621 00016634 _DnsQueryExA@4
00016639 0001664C _DnsQueryExUTF8@4
00016651 000166D4 _DnsWriteQuestionToBuffer_W@24
000166D9 0001675B _DnsWriteQuestionToBuffer_UTF8@24
00016760 00016790 _CombineRecordsInBlob@8
00016795 00016846 _BreakRecordsIntoBlob@12
0001684B 0001686D _DnsQuery_A@24
00016872 000168BF _HostAddrCmp@40
000168C4 00016936 _InitializeQueues@8
0001693B 00016972 _DequeueNoCrit@4
00016977 000169A3 _Dequeue@4
000169A8 000169DF _GetEarliestRetryTime@4
000169E4 00016A57 _DeleteListEntry@8
00016A5C 00016ABF _FreeQueue@4
00016AC4 00016C9E _ProcessQDependencies@8
00016CA3 00016D28 _AddToTimedOutQueueNoCrit@12
00016D2D 00016D5F _AddToTimedOutQueue@12
00016D64 00016DFC _Enqueue@12
00016E01 00016E99 @Dns_WriteStringToPacket@16
00016E9E 00016EFF _Dns_WriteRecordStructureToMessage@20
00016F04 00016FAF _Dns_WriteRecordStructureToPacket@12
00016FB4 00016FF3 _Dns_WriteRecordStructureToPacketEx@20
00016FF8 00017010 _Dns_SetRecordDatalength@8
00017015 00017058 _Dns_WriteOptToMessage@24
0001705D 0001721A _Dns_AddRecordsToMessage@12
0001721F 00017244 @Dns_SkipPacketRecord@8
00017249 000172C4 _Dns_SkipToRecord@12
000172C9 00017377 @Dns_ReadPacketNameAllocate@28
0001737C 000173A5 _Dns_ParsePacketRecord@12
000173AA 000173B4 _Reg_RefreshUpdateConfig@0
000173B9 000173F4 _Reg_SetDwordPropertyAndAlertCache@12
000173F9 0001749C _Reg_ReadDwordEnvar@8
000174A9 000174FA _Reg_SetDwordValueByName@20
000174FF 00017526 _Reg_SetDwordValue@20
0001752B 00017575 _Reg_GetIpArray@24
0001757A 000175C5 _DnsFlushResolverCache@0
000175D9 00017634 _DnsFlushResolverCacheEntry_W@4
00017649 000176A8 _FlushResolverCacheEntryNarrow@8
000176AD 000176C0 _DnsFlushResolverCacheEntry_A@4
000176C5 000176D8 _DnsFlushResolverCacheEntry_UTF8@4
000176DD 00017722 _DnsNotifyResolverEx@16
00017739 000177C2 _DnsRegisterClusterAddress@16
000177D9 0001786A _TimeoutDnsServers@8
0001786F 000178AB _resetOnFinalTimeout@4
000178B0 00017919 _MatchQueryIp@8
0001791E 0001793B _Dns_InitializeMsgRemoteSockaddr@8
00017940 00017ABB _Dns_RecvTcp@4
00017AC0 00017B13 _Dns_IsServerOptExclude@4
00017B18 00017B73 _Dns_SetServerOptExclude@4
00017B78 00017B98 _Dns_SendEx@12
