0000F285 0000F2AA ?FindChar@@YGPAGPAGG@Z
0000F2AF 0000F2DA ?FindReverseChar@@YGPAGPAGG@Z
0000F2DF 0000F3B3 ?Atol@@YGJPAG@Z
0000F3B8 0000F3D7 ?IsValidClassID@@YGHABU_GUID@@@Z
0000F3DC 0000F44D ?PopupMessage@@YGHPAUHWND__@@III@Z
0000F452 0000F498 ?IsValidMetaPict@@YGHPAX@Z
0000F49D 0000F611 ?Browse@@YGHPAUHWND__@@PAG1IIKIP6GI0IIJ@Z@Z
0000F616 0000F6C1 ?ErrorWithFile@@YGHPAUHWND__@@PAUHINSTANCE__@@IPAGI@Z
0000F6C6 0000F722 ?OpenFileError@@YGXPAUHWND__@@IPAG@Z
0000F727 0000F7B8 ?FormatStrings@@YGXPAGPBGPAPBGHH@Z
0000F7BD 0000F7DA ?FormatString1@@YGXPAGPBG1H@Z
0000F7DF 0000F80A ?FormatString2@@YGXPAGPBG11H@Z
0000F80F 0000F9E5 ?DiffPrefix@@YGXPBG0PAPAG1@Z
0000F9EA 0000FA4C ?GetFileName@@YGIPBGPAGI@Z
0000FBC5 0000FC8B ?ChopText@@YGPAGPAUHWND__@@HPAGH@Z
0000FC90 0000FE20 ?DoesFileExist@@YGHPAGI@Z
0000FE25 0000FE4D ?PointerToNthField@@YGPAGPAGHG@Z
0000FE52 0000FFC1 ?GetAssociatedExecutable@@YGHPAG0I@Z
0000FFC6 0001004E _OleUIAddVerbMenuA@36
00010053 000101C2 _OleUIInsertObjectA@4
000101C7 000104D2 _OleUIPasteSpecialA@4
000104D7 000104DF ?QueryInterface@WrappedIOleUILinkInfo@@UAGJABU_GUID@@PAPAX@Z
000104E4 000104FC ?GetNextLink@WrappedIOleUILinkInfo@@UAGKK@Z
00010501 0001051C ?SetLinkUpdateOptions@WrappedIOleUILinkContainer@@UAGJKK@Z
00010521 00010662 ?GetLinkSource@WrappedIOleUILinkInfo@@UAGJKPAPAGPAK00PAH2@Z
00010667 00010677 ??1WrappedIOleUILinkContainer@@QAE@XZ
0001067C 0001076D _OleUIChangeIconA@4
00010772 00010965 _OleUIConvertA@4
0001096A 00010A21 _OleUIBusyA@4
00010A26 00010A3B ?AddRef@WrappedIOleUIObjInfo@@UAGKXZ
00010A40 00010BD8 ?GetObjectInfo@WrappedIOleUIObjInfo@@UAGJKPAKPAPAG111@Z
