000034D4 000034E8 ?Reset@CSetForegroundWindowHelper@@AAEXXZ
000034E8 000034FA ?UnRegHotKey@CSetForegroundWindowHelper@@AAEXXZ
000035A0 000035A1 ?PropMgrClient_Uninit@@YGXXZ
000035A1 000035DF ?InitImports@@YGXXZ
000035DF 00003644 ?InitWindowClasses@@YGXXZ
00003644 00003811 ?accLocation@CCaret@@UAGJPAJ000UtagVARIANT@@@Z
00003811 0000389E fn
000038AB 000038EA ?ImportFromModule@@YGXPAPAUHINSTANCE__@@PAUImportInfo@@H@Z
000038EA 0000392A ?InitOleacc@@YGHXZ
0000392A 00003975 _Oleacc_DllRegisterServer@0
00003975 00003988 ?MyNtQueryInformationProcess@@YGJPAXH0KPAK@Z
00005F51 00005F87 ?StaticWndProc@CPropMgrImpl@@SGJPAUHWND__@@IIJ@Z
00005F87 00005F9C ?CheckRef@CPropMgrImpl@@QAEXXZ
00005F9C 00005FC9 ?_Inc@iterator@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAEXXZ
00005FD2 00006019 ?Clean@CPropMgrImpl@@QAEXXZ
00006019 00006045 ?IsKeyAlive@@YGHPBEK@Z
0000606A 0000608A ?Release@?$CComObject@VCPropMgr@@@ATL@@UAGKXZ
0000608A 000060AB ?Release@?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@UAGKXZ
000060AB 000060DE ?ValidateArray@CPropMgrImpl@@QAEJPBXHHPBG11@Z
000060DE 000060FF ?ClearProp@AccInfo@@QAEXH@Z
000060FF 0000610C ?Alloc_32BitCompatible@@YGPAXK@Z
0000610C 00006127 ??0?$CComContainedObject@VCPropMgr@@@ATL@@QAE@PAX@Z
