000065E2 000065FA ?CopyInfo@CLimitationMapping@@IAEXAAVCPropertyInformation@@ABV2@@Z
000065FF 00006604 ?Reset@CLimitationMapping@@QAEXXZ
00006609 00006621 ?SetVtableLength@CLimitationMapping@@QAEXKH@Z
00006626 0000662A ?GetVtableLength@CLimitationMapping@@QAEKXZ
0000662F 0000663E ?SetFlags@CLimitationMapping@@QAEXJ@Z
00006643 00006647 ?GetStart@CClassAndMethods@@QAEPAEXZ
0000664C 00006650 ?ShouldIncludeServer@CLimitationMapping@@QAEHXZ
00006655 00006664 ?SetIncludeNamespace@CLimitationMapping@@QAEXH@Z
00006669 0000666D ?ShouldIncludeNamespace@CLimitationMapping@@QAEHXZ
00006672 00006681 ?SetIncludeDerivation@CLimitationMapping@@QAEXH@Z
00006686 0000668A ?ShouldIncludeDerivation@CLimitationMapping@@QAEHXZ
0000668F 0000669E ?SetAddChildKeys@CLimitationMapping@@QAEXH@Z
000066A3 000066A7 ?ShouldAddChildKeys@CLimitationMapping@@QAEHXZ
000066AC 000066B5 ?ArePropertiesLimited@CLimitationMapping@@QAEHXZ
000066BA 00006738 ??0CLimitationMapping@@QAE@AAV0@@Z
0000673D 000067A0 ??4CLimitationMapping@@QAEAAV0@AAV0@@Z
000067A5 000067A9 ?GetThreadToken@CWbemThreadSecurityHandle@@QAEPAXXZ
000067AE 000067B4 ?GetNullnessLength@CDataTable@@QAEKXZ
000067B9 000067C2 ?GetDataLength@CDataTable@@QAEKXZ
000067C7 000067DF ?Rebase@CDataTable@@QAEXPAE@Z
000067E4 000067F3 ?GetOffset@CDataTable@@QAEPAVCUntypedValue@@K@Z
000067F8 00006804 ?CreateEmpty@CDataTable@@SGPAEPAE@Z
00006809 00006822 ??4CDataTable@@QAEAAV0@ABV0@@Z
00006827 00006830 ??1CInternalString@@QAE@XZ
00006835 00006847 ?Empty@CInternalString@@QAEXXZ
0000684C 00006854 ?IsEmpty@CInternalString@@QAE_NXZ
00006859 00006873 ?AcquireCompressedString@CInternalString@@QAEXPAVCCompressedString@@@Z
00006878 0000687C ?Unbind@CInternalString@@QAEXXZ
00006881 00006888 ?GetLength@CInternalString@@QBEHXZ
0000688D 000068A5 ??8CInternalString@@QBE_NPBG@Z
000068AA 000068C4 ??8CInternalString@@QBE_NABV0@@Z
000068C9 000068E4 ??9CInternalString@@QBE_NABV0@@Z
000068E9 00006907 ??MCInternalString@@QBE_NABV0@@Z
0000690C 0000692A ??OCInternalString@@QBE_NABV0@@Z
0000692F 00006944 ?Compare@CInternalString@@QBEHABV1@@Z
00006949 00006956 ?Compare@CInternalString@@QBEHPBG@Z
0000695B 0000695F ?GetText@CInternalString@@QBEPBDXZ
00006964 00006968 ?GetNumDecorationIndependentProperties@CSystemProperties@@SGHXZ
0000696D 000069C5 ?GetPropertyType@CSystemProperties@@SGJPBGPAJ1@Z
000069CA 000069D8 ??0SHARED_LOCK_DATA@@QAE@XZ
000069DD 00006AB1 ?Lock@CSharedLock@@QAEHK@Z
00006AB6 00006AD6 ?Unlock@CSharedLock@@QAEHXZ
00006ADB 00006AE9 ?SetSize@?$CPointerArray@VCWmiTextSource@@V?$CReferenceManager@VCWmiTextSource@@@@VCFlexArray@@@@QAEXH@Z
00006AEE 00006B00 ??4CUntypedArray@@QAEAAV0@ABV0@@Z
00006B05 00006B16 ??0CHiPerfLock@@QAE@XZ
00006B1B 00006B29 ?Lock@CHiPerfLock@@QAEHK@Z
00006B2E 00006B36 ?Unlock@CHiPerfLock@@QAEHXZ
00006B66 00006BBF ?ValidateBuffer@CDecorationPart@@SGIPAEI@Z
00006BC4 00006BCD ?IsDecorated@CDecorationPart@@QAEHXZ
00006BD2 00006BFD ?GetLength@CDecorationPart@@QAEKXZ
00006C02 00006C2A ?Rebase@CDecorationPart@@QAEXPAE@Z
00006C2F 00006C3D ?IsInstance@CDecorationPart@@QAEHXZ
00006C42 00006C50 ?IsLimited@CDecorationPart@@QAEHXZ
00006C55 00006C63 ?IsClientOnly@CDecorationPart@@QAEHXZ
00006C68 00006C76 ?AreKeysRemoved@CDecorationPart@@QAEHXZ
00006C7B 00006C86 ?SetClientOnly@CDecorationPart@@QAEXXZ
00006C8B 00006C96 ?SetLimited@CDecorationPart@@QAEXXZ
00006C9B 00006CBC ?ComputeNecessarySpace@CDecorationPart@@SGKPBG0@Z
00006CC1 00006CE0 ?CreateEmpty@CDecorationPart@@QAEPAEEPAE@Z
00006CE5 00006D25 ?Create@CDecorationPart@@QAEXEPBG0PAE@Z
00006D2A 00006D91 ?CompareTo@CDecorationPart@@QAEHAAV1@@Z
00006D96 00006DA5 ?MarkKeyRemoval@CDecorationPart@@SGXPAE@Z
00006DAA 00006DC1 ??4SHARED_LOCK_DATA@@QAEAAU0@ABU0@@Z
00006DC6 00006DDE ??4SHMEM_HANDLE@@QAEAAU0@ABU0@@Z
00006DE3 00006E0C ?Merge@CDerivationList@@SGPAEAAVCCompressedStringList@@0PAE@Z
00006E11 00006E61 ?Unmerge@CDerivationList@@QAEPAEPAE@Z
00006E66 00006E91 ?GetSystemPropertyByName@CWbemObject@@QAEJPBGPAVCVar@@@Z
00006E96 00006EA1 ?EstimateLimitedRepresentationSpace@CWbemObject@@QAEKJPAVCWStringArray@@@Z
00006EA6 00006EB5 ?IsInstance@CWbemObject@@QAEHXZ
00006EBA 00006EC9 ?IsLimited@CWbemObject@@QAEHXZ
00006ECE 00006EDD ?IsClientOnly@CWbemObject@@QAEHXZ
00006EE2 00006EEF ?SetClientOnly@CWbemObject@@QAEXXZ
00006EF4 00006F10 ?IsObjectInstance@CWbemObject@@UAGJXZ
00006F68 00006F73 ??0CMethodPartContainer@@QAE@ABV0@@Z
00006F78 00006F80 ?GetNumMethods@CMethodPart@@IAEHXZ
00006F85 00006F8B ?GetLength@CMethodPart@@QAEKXZ
00006F90 00006F98 ?GetWbemObjectUnknown@CMethodPart@@QAEPAUIUnknown@@XZ
00006F9D 00006FA1 ?GetHeap@CMethodPart@@QAEPAVCFastHeap@@XZ
00006FA6 00006FAD ?GetHeap@CMethodQualifierSetContainer@@UAEPAVCFastHeap@@XZ
00006FB2 00006FBD ?GetWbemObjectUnknown@CMethodQualifierSetContainer@@UAEPAUIUnknown@@XZ
00006FC2 00006FC8 ?CanContainSingleton@CMethodQualifierSetContainer@@UAEJXZ
00006FCD 00007000 ??0CMethodQualifierSetContainer@@QAE@XZ
00007005 0000702E ??1CMethodQualifierSetContainer@@QAE@XZ
00007033 00007095 ??0CMethodQualifierSetContainer@@QAE@ABV0@@Z
0000709A 000070D8 ??4CMethodQualifierSetContainer@@QAEAAV0@ABV0@@Z
000070DD 00007111 ?Release@CMethodQualifierSet@@UAGKXZ
00007116 00007153 ??0CMethodQualifierSet@@QAE@XZ
00007158 0000718D ??1CMethodQualifierSet@@UAE@XZ
000071E5 000071EE ??0CClassPartContainer@@QAE@XZ
000071F3 000071FE ??0CClassPartContainer@@QAE@ABV0@@Z
00007203 00007208 ??4CSystemProperties@@QAEAAV0@ABV0@@Z
0000720D 00007213 ?GetLength@CClassPart@@QAEKXZ
00007218 00007226 ?ResolveHeapPointer@CClassPart@@QAEPAEK@Z
0000722B 00007239 ?ResolveHeapString@CClassPart@@QAEPAVCCompressedString@@K@Z
0000723E 0000724D ?GetSuperclassName@CClassPart@@QAEPAVCCompressedString@@XZ
00007252 0000726A ?GetClassNameW@CClassPart@@QAEPAVCCompressedString@@XZ
0000726F 0000728A ?GetPropertyLookup@CClassPart@@QAEPAUCPropertyLookup@@H@Z
0000728F 0000729D ?IsTopLevel@CClassPart@@QAEHXZ
000072A2 000072BF ?DeleteProperty@CClassPart@@QAEXH@Z
000072C4 000072CF ?IsLocalized@CClassPart@@QAEHXZ
000072D4 000072F6 ?SetLocalized@CClassPart@@QAEXH@Z
000072FB 000072FF ?GetHeap@CClassPart@@UAEPAVCFastHeap@@XZ
00007304 0000730F ?IsDynamic@CClassPart@@QAEHXZ
00007314 0000731F ?IsSingleton@CClassPart@@QAEHXZ
00007324 0000732F ?IsAbstract@CClassPart@@QAEHXZ
00007334 0000733F ?IsAssociation@CClassPart@@QAEHXZ
00007344 0000734F ?IsAmendment@CClassPart@@QAEHXZ
00007354 0000735F ?IsHiPerf@CClassPart@@QAEHXZ
00007364 0000736F ?IsAutocook@CClassPart@@QAEHXZ
00007374 00007393 ?IsCompressed@CClassPart@@QAEHXZ
00007398 000073C0 ?CanContainKeyedProps@CClassPart@@QAEHXZ
000073C5 000073FC ?CanContainSingleton@CClassPart@@UAEJXZ
00007401 00007409 ?GetWbemObjectUnknown@CClassPart@@UAEPAUIUnknown@@XZ
0000740E 00007420 ?SetDataLength@CClassPart@@QAEXK@Z
00007425 00007428 ?ReduceQualifierSetListSpace@CInstancePart@@UAEXPAEKK@Z
0000742D 00007431 ?GetDataTable@CClassPart@@UAEPAVCDataTable@@XZ
00007436 0000743A ?GetMinLength@CClassPart@@SGHXZ
0000743F 00007456 ?GetHeapPtrByHandle@CClassPart@@QAEKJ@Z
0000745B 00007481 ??1CClassPart@@QAE@XZ
00007486 000074AC ??1CClassAndMethods@@QAE@XZ
000074B1 000074C2 ?GetProperty@CWbemClass@@MAEJPAVCPropertyInformation@@PAVCVar@@@Z
000074C7 000074CB ?GetLength@CWbemClass@@QAEKXZ
000074D0 000074D7 ?GetClassPart@CWbemClass@@MAEPAVCClassPart@@XZ
000074DC 000074E5 ?GetNumProperties@CWbemClass@@UAEHXZ
000074EA 00007523 ?GetPropName@CWbemClass@@UAEJHPAVCVar@@@Z
00007528 00007533 ?IsKeyed@CWbemClass@@UAEHXZ
00007538 00007549 ?IsDynamic@CWbemClass@@QAEHXZ
0000754E 0000755F ?IsSingleton@CWbemClass@@QAEHXZ
00007564 00007575 ?IsAbstract@CWbemClass@@QAEHXZ
0000757A 0000758B ?IsAmendment@CWbemClass@@QAEHXZ
00007590 0000759B ?GetAbstractFlavor@CWbemClass@@QAEEXZ
000075A0 000075AB ?IsCompressed@CWbemClass@@QAEHXZ
000075B0 000075BA ?GetMinLength@CWbemClass@@SGKXZ
000075BF 000075D0 ?GetClassNameW@CWbemClass@@UAEJPAVCVar@@@Z
000075D5 000075E6 ?GetSuperclassName@CWbemClass@@UAEJPAVCVar@@@Z
000075EB 000075FC ?GetPropertyCount@CWbemClass@@UAEJPAVCVar@@@Z
00007601 0000761C ?GetGenus@CWbemClass@@UAEJPAVCVar@@@Z
00007621 00007632 ?GetIndexedProps@CWbemClass@@UAEHAAVCWStringArray@@@Z
00007637 00007648 ?GetKeyProps@CWbemClass@@UAEHAAVCWStringArray@@@Z
0000764D 0000765E ?GetKeyOrigin@CWbemClass@@UAEJAAVWString@@@Z
00007663 00007666 ?SetDataLength@CInstancePart@@QAEXK@Z
0000766B 0000766E ?GetWbemObjectUnknown@CWbemClass@@QAEPAUIUnknown@@XZ
00007673 0000767E ?GetCurrentOrigin@CWbemClass@@QAEKXZ
00007683 0000768B ?GetObjectParts@CWbemClass@@UAGJPAXKKPAK@Z
00007690 00007698 ?StripClassPart@CWbemClass@@UAGJXZ
0000769D 000076A5 ?SetObjectParts@CWbemClass@@UAGJPAXKK@Z
000076AA 000076B2 ?SetClassPart@CWbemClass@@UAGJPAXK@Z
000076B7 000076BF ?MergeClassPart@CWbemClass@@UAGJPAUIWbemClassObject@@@Z
0000771A 00007723 ??0CMethodPartContainer@@QAE@XZ
00007728 00007786 ??0CInstancePart@@QAE@XZ
0000778B 0000778F ?GetStart@CInstancePart@@QAEPAEXZ
00007794 000077A2 ?GetLengthFromData@CBasicQualifierSet@@SGKPAE@Z
000077A7 000077AD ?GetLength@CInstancePart@@QAEHXZ
000077B2 000077BD ?IsLocalized@CInstancePart@@QAEHXZ
000077C2 000077E4 ?SetLocalized@CInstancePart@@QAEXH@Z
000077E9 000077F8 ?GetDataTableData@CInstancePart@@SGPAEPAE@Z
000077FD 00007801 ?GetHeap@CInstancePart@@UAEPAVCFastHeap@@XZ
00007806 0000780E ?GetWbemObjectUnknown@CInstancePart@@UAEPAUIUnknown@@XZ
00007813 00007819 ?ExtendDataTableSpace@CInstancePart@@UAEHPAEKK@Z
0000781E 00007822 ?GetDataTable@CInstancePart@@QAEPAVCDataTable@@XZ
00007827 0000782E ?GetQualifierSetStart@CInstancePart@@UAEPAEXZ
00007833 00007837 ?GetQualifierSetListStart@CInstancePart@@UAEPAEXZ
0000783C 00007862 ??1CInstancePart@@QAE@XZ
00007867 000078EE ??1CWbemInstance@@UAE@XZ
000078F3 000078F7 ?GetStart@CWbemObject@@QAEPAEXZ
000078FC 00007900 ?GetLength@CWbemInstance@@QAEKXZ
00007905 0000790C ?GetClassPart@CWbemInstance@@MAEPAVCClassPart@@XZ
00007911 00007918 ?IsDecorationPartAvailable@CWbemInstance@@IAEHXZ
0000791D 00007924 ?IsInstancePartAvailable@CWbemInstance@@IAEHXZ
00007929 00007930 ?IsClassPartAvailable@CWbemInstance@@IAEHXZ
00007935 00007947 ?IsClassPartInternal@CWbemInstance@@IAEHXZ
0000794C 0000795E ?IsClassPartShared@CWbemInstance@@IAEHXZ
00007963 00007997 ?GetNonsystemPropertyValue@CWbemInstance@@QAEJPBGPAVCVar@@@Z
0000799C 000079C8 ?GetProperty@CWbemInstance@@UAEJPBGPAVCVar@@@Z
000079CD 000079DB ?GetQualifier@CWbemInstance@@UAEJPBGPAVCVar@@PAJ2@Z
000079E0 000079EE ?GetQualifier@CWbemInstance@@UAEJPBGPAJPAVCTypedValue@@PAPAVCFastHeap@@H@Z
