00007E7F 00007E96 ?getQueryFlags@BaseQuery@@UAEKXZ
00007E9B 00007EC9 ?resetScripts@FunctionManager@@QAEXXZ
00007EC9 00007EE6 ?release@ScopeGC@@QAEXXZ
00007F00 00007F0D ?hasNodeParent@Node@@UBE_NXZ
00007F12 00007F1C ??0DocumentWriteLock@@QAE@XZ
00007F2F 00007F4A ?insertNode@Node@@QAEXPAV1@0_N@Z
00007F4F 00007F79 ?ValidateInsertNodeTypes@@YGXW4NodeType@Element@@0@Z
00007FD1 00007FD8 ??0NodeInsertInfo@@QAE@XZ
00007FFC 00008006 ??1NodeInsertInfo@@QAE@XZ
00008021 0000805A ?getAncestorWithNodeType@Node@@QAEPAV1@W4NodeType@Element@@_N@Z
00008088 00008092 ?Release@DOMDocumentWrapper@@WBM@AGKXZ
000088BD 000089AB ?QueryInterface@DOMNamedNodeMapList@@UAGJABU_GUID@@PAPAX@Z
000089D1 00008A6E ?put_onreadystatechange@DOMDocumentWrapper@@UAGJUtagVARIANT@@@Z
00008AA9 00008B46 ?put_ondataavailable@DOMDocumentWrapper@@UAGJUtagVARIANT@@@Z
00008B79 00008C16 ?put_ontransformnode@DOMDocumentWrapper@@UAGJUtagVARIANT@@@Z
00008C49 00008CE2 ?xmlDecl@XMLOutputHelper@@QAEXW4TriState@@PBG@Z
00008D4F 00008D74 ?isNameChar@XmlCharacter@@SGHG@Z
00008D79 00008DD1 ?parseName@ParseNames@@SGPBGPBGPAK@Z
00008DD6 00008E01 ?parseNameThrow@ParseNames@@SGPBGPBGPAK@Z
00008E06 00008E8C ?createNameDef@NamespaceMgr@@QAEPAVNameDef@@PBG0_N11@Z
00008E91 00008EB6 ?xstrlenw@@YGHPBGI@Z
00008EC7 00008F0A ?_addRef@Base@@QAEKXZ
00008F0F 00008F20 ?AddRef@BaseQuery@@UAGKXZ
00008F2D 00008F40 ??0GCObject@@IAE@XZ
00008F45 00008F79 ??0Base@@IAE@XZ
00008F7E 0000902B ??0Node@@IAE@W4NodeType@Element@@PAVNameDef@@PAVDocument@@@Z
00009030 00009060 ??0OMWriteLock@@QAE@PAUTLSDATA@@PAVElement@@@Z
00009065 000091A1 ?setNamedItem@DOMNamedNodeMapList@@UAGJPAUIXMLDOMNode@@PAPAU2@@Z
000091B9 000091CB ?getNameDef@Node@@UBEPAVNameDef@@XZ
000091D0 000091E1 ?getName@Node@@UAEPAVName@@XZ
00009205 00009246 ?notifyChangeContent@Node@@QAEXPAVString@@@Z
0000924B 00009340 ?setInnerText@Node@@QAEXPAVString@@_N@Z
00009351 00009364 ?NotifyListener@Document@@UAEXW4tagXMLNotifyReason@@W4tagXMLNotifyPhase@@PAVNode@@22@Z
0000940F 0000945E ___xsbh_alloc_block_from_page
000095B3 000095E1 ?equals@String@@QAE_NPBGH@Z
000095EF 00009602 ?holdsKey@HashEntry@@QAE_NPBGHH@Z
00009607 0000965E ?find@Hashtable@@IAE?AW4FindResult@1@PBGHHPAPAVHashEntry@@@Z
00009663 00009687 ?hashCode@String@@SGHPBGH@Z
0000968C 00009708 ?get@StringHashtable@@QAEPAUIUnknown@@PBGH@Z
00009714 00009750 ?MemAllocObject@@YGPAXI@Z
0000976A 0000978B ?newString@ArrayString@@SGPAV1@PBGH@Z
0000978B 000097B9 ??0ArrayString@@IAE@PBGH@Z
000097BE 000097DA ??0Model@@QAE@PAUTLSDATA@@PAVObject@@@Z
000097DF 0000980D ??0OMWriteLock@@QAE@PAUTLSDATA@@PAVDocument@@@Z
