00010919 00010A77 _LoadInfFile@48
00010A7C 00010B4F _pSetupWriteLogEntry
00010B61 00010BB1 __WouldLog@4
00010BB6 00010BE2 __WouldNeverLog@4
00010BFC 00010C56 _RefLogContext@4
00010C69 00010C81 _DiamondTlsInit@4
00010C86 00010CEC _DiamondInitialize@0
00010D01 00010D07 _FDICreate
00010D0C 0001116C _LoadPrecompiledInf@40
00011181 000111BC _InitializeStringTableFromPNF@8
000111D1 00011240 __pSpUtilsStringTableInitializeFromMemoryMappedFile@16
00011251 0001129F _pSetupOpenAndMapFileForRead@20
000112A4 00011308 _pSetupMapFileForRead@16
0001143E 0001147B __chkstk
0001147B 000114F0 __aullrem
000114F0 000115A2 __allrem
000115A2 000115D6 __allmul
000116E6 000116E7 nullsub_1
00018BFF 00018CDE _pSetupQueueBackupCopy@28
00018CF1 00018D49 _pSetupGetFullBackupPath@16
00018D5B 00018DA8 _pSetupBackupCopyString@16
00018DAD 00018F7A _pSetupBackupGetTargetByPath@32
00018F91 00018FF6 _pSetupBackupGetTargetByID@12
00019009 0001906E _pSetupBackupSetTargetByID@12
00019081 00019291 _pSetupBackupGetReinstallKeyStrings@16
000192A9 000194BF _pSetupBackupAppendFiles@16
000194D1 0001955F _pSetupDeleteBackup@4
00019564 0001963F _pSetupGetCurrentlyInstalledDriverNode@8
00019644 00019914 _pSetupCompleteBackup@4
00019929 0001998A _pSetupCleanupBackup@4
0001998F 00019A2D _PostDelayedMove@20
00019A32 00019C0C _DoAllDelayedMoves@4
00019C11 00019CE1 __SetupGetBackupInformation@8
00019CE6 00019DAA _SetupGetBackupInformationW@8
00019DCD 00019FCF _RestoreRenamedOrBackedUpFile@16
00019FD4 0001A06A _UnPostDelayedMove@12
0001A06F 0001A55E _pSetupDoLastKnownGoodBackup@16
0001A579 0001AA11 _pSetupRestoreLastKnownGoodFile@12
0001AA16 0001AB00 _SetupPrepareQueueForRestoreW@12
0001AB1D 0001AB45 _pSetupResetTarget@24
