0000A809 0000A97E _CryptEnumOIDFunction@24
0000A983 0000A9FA ?RegNameToEncodingType@@YGHPBDPAK@Z
0000AA61 0000AA84 _ExpandEnvironmentStringsU@12
0000AA89 0000AAF3 ?AddDllProc@@YGPAU_DLL_PROC_ELEMENT@@PBDPBG@Z
0000AAF8 0000ABB4 ?FindDll@@YGPAU_DLL_ELEMENT@@PBG@Z
0000ACA3 0000ACC3 _MkMBStr@16
0000ACC8 0000AD47 _MkMBStrEx@24
0000AD4C 0000AEBF ?GetRegValues@@YGHPAUHKEY__@@PAPAXPAKPAPAKPAPAPAGPAPAPAE3@Z
0000AEC4 0000AEDD _RegEnumValueU@32
0000AEE2 0000B098 ?EnumRegFuncCallback@@YGHKPBD0KQBKQBQBGQBQBE1PAX@Z
0000B09D 0000B0B6 _FreeMBStr@8
0000B121 0000B1B3 ?AddRegOIDFunc@@YGXKPAU_FUNC_SET@@PBD1PBGK@Z
0000B1E9 0000B269 ?EncodingTypeToRegName@@YGPADK@Z
0000B2BF 0000B36A ?_QueryRegisteredIsMyFileType@@YGHPAXPBGPAU_GUID@@@Z
0000B36F 0000B3DC ?_CallIsMyFileType2@@YGHPAU_GUID@@PAG0@Z
0000B3E6 0000B555 _wstr2guid@8
0000B5EB 0000B671 ?_EnumOIDCallback@@YGHKPBD0KQBKQBQBGQBQBE1PAX@Z
0000B676 0000B6AE ?SIPRealloc@@YGPAXPAXI@Z
0000B8A1 0000B8D5 ?BindW@@YGJPAPAGPAPAX@Z
0000B911 0000B932 ?UnbindW@@YGJPAPAGPAPAX@Z
0000B937 0000B93D _NdrClientCall2
0000B942 0000BA76 _CryptProtectData@28
0000BA89 0000BAAB _SSCryptProtectData@52
0000BAB0 0000BAC4 _MIDL_user_allocate@4
0000BAC9 0000BAEB _SSCryptUnprotectData@52
0000BAF0 0000BCC3 _CryptUnprotectData@28
0000BCD9 0000BCDF _SystemFunction041@12
0000BD73 0000BD98 ?I_CryptIsProcessDetachFreeLibrary@@YGHPAX@Z
0000BDB2 0000BDC4 ?I_CertPerfFreeSharedMemory@@YGXXZ
0000BE40 0000BE63 _I_CryptFreeLruCache@12
0000BE68 0000BE89 ??_GCLruCache@@QAEPAXI@Z
0000BE8E 0000BEB2 ??1CLruCache@@QAE@XZ
0000BEB7 0000BECD ??3@YAXPAX@Z
0000BED2 0000BEEC ?FreeGptStoreChangeInfo@@YGXPAPAU_GPT_STORE_CHANGE_INFO@@@Z
0000BEF1 0000BEFD _CryptMemFree@4
0000BF02 0000BF15 _I_CryptUninstallAsn1Module@4
0000BF1A 0000BFAA _I_CryptFreeTls@8
0000BFF0 0000BFFC ?FreeCryptProv@@YGXXZ
0000C001 0000C00F ?Win95StoreProcessDetach@@YGXXZ
0000C014 0000C037 ?RoamingStoreProcessDetach@@YGXXZ
0000C03C 0000C054 ?GptStoreProcessDetach@@YGXXZ
0000C07D 0000C0BA ?FreeFuncSet@@YGXPAU_FUNC_SET@@@Z
0000C192 0000C1B7 ?UninitializeRoamingLogoffNotification@@YGXXZ
0000C1D8 0000C214 ?FreeFuncSetConstAndStrElements@@YGXPAU_FUNC_SET@@@Z
0000C313 0000C31F ?FreeNullCertStore@@YGXXZ
0000C3CE 0000C3E6 ?RegWaitForProcessDetach@@YGXXZ
0000C40A 0000C41E _X509_Module_Cleanup@0
