0000BC13 0000BCB4 ?WSM_NSPLookupServiceBegin@@YGHPAU_GUID@@PAU_WSAQuerySetW@@PAU_WSAServiceClassInfoW@@KPAPAX@Z
0000BCE1 0000BD21 ?InlineIsEqualGUID@@YGHABU_GUID@@0@Z
0000BD38 0000BD93 _RNRPROV_SockThreadInitialize@0
0000BD98 0000BDF5 _NSPStartup@8
0000BDFA 0000BF49 _WSM_NSPStartup@8
0000BF61 0000C042 ?LpcHandlePublicRequest@@YGXPAU_NLA_WORK_ITEM@@@Z
0000C047 0000C14C ?WSM_NSPIoctl@@YGHPAXK0K0KPAKPAU_WSACOMPLETION@@PAU_WSATHREADID@@@Z
0000C161 0000C264 ?RequestChangeNotification@@YGHPAU_WSM_QUERY_HANDLE@@PAU_WSACOMPLETION@@PAU_WSATHREADID@@@Z
0000C49B 0000C650 ?GetMachineNetworks@@YGHPAU_WSM_QUERY_HANDLE@@_N@Z
0000C655 0000C69A ?AcquireLookupHandle@@YGHPAU_WSM_QUERY_HANDLE@@@Z
0000C6B1 0000C712 ?ChangeDiscernable@@YGHPAU_WSM_QUERY_HANDLE@@@Z
0000C717 0000C756 ?FilterDuplicateNames@@YGXPAU_WSM_QUERY_HANDLE@@PAU_WSM_QUERY_NETWORK_SET@@@Z
0000C75B 0000C799 ?LpcRepairErrorConditions@@YG_NXZ
0000C79E 0000C8AB ?LpcHandlePublicConnectionRequest@@YGXPAU_NLA_WORK_ITEM@@@Z
0000C91F 0000CB93 ?WSM_NSPLookupServiceNext@@YGHPAXKPAKPAU_WSAQuerySetW@@@Z
0000CBC1 0000CC4D ?FilterAndFlushPreviousSkip@@YGHPAU_WSM_QUERY_HANDLE@@PAU_WSM_QUERY_NETWORK_SET@@AAK@Z
0000CE36 0000CF35 ?GetUserNetworks@@YGHPAU_WSM_QUERY_HANDLE@@@Z
0000D33A 0000D3DB _SockAsyncThread@4
0000D4CB 0000D540 ?LpcFreeConnection@@YGXPAU_LIST_ENTRY@@@Z
0000D656 0000D6A1 _SockCheckAndReferenceAsyncThread@0
0000D6B3 0000D6D2 _SockHandleAsyncIndication@12
0000D6D7 0000D79B _SockAsyncConnectCompletion@8
0000D869 0000DABF _SockCheckAndInitAsyncConnectHelper@0
0000DC09 0000E035 _WSPStringToAddress@24
00012D1B 00012D1C nullsub_1
00015F51 00015FF0 _getnetbyname@4
00015FF5 00016176 _inet_network@4
0001617B 0001625E _rresvport@4
0001629E 0001660A _rcmd@24
0001666C 00016A9C _rexec@24
00016AF7 00016B05 _sethostname@8
00016B0A 00016B4D _setnetent@4
00016B5E 00016B80 _endnetent@0
00016BB3 00016CD6 _getnetent@0
00017027 0001710B _ruserpass@12
00017110 000171B4 _SockSanGetTcpipCatalogId@0
000171B9 00017208 _GetSanTcpBypassFlag@0
0001721A 0001724E _GetSanResizeFlag@0
00017266 000172A4 _StopWsdpService@0
000172A9 0001743E _SockSanInitialize@0
000174F9 00017687 _StartWsdpService@0
0001768C 000176AF _CloseIcfConnection@4
000176B4 00017702 _CleanupIcfConnection@4
00017707 00017770 _DeleteSockets@8
00017775 000178DC _WSPCleanup@4
00017989 00017A48 _SockProcessAsyncSelect@8
00017A4D 00017AC6 _SockProcessQueuedAsyncSelect@8
00017ACB 00017D11 _SockAsyncSelectCompletion@8
00017D16 00017DC3 _SockReenableAsyncSelectEvent@8
00017DC8 00017EF9 _SockCheckAndInitAsyncSelectHelper@0
00017F37 0001816A _WSPAsyncSelect@20
00018181 0001826C _SockIoCompletion@12
00018281 00018299 _SockCancelIo@4
0001829E 0001832A _SockpWaitForReaders@4
0001832F 000183FE _SockDemandStartAfd@0
0001849A 00018586 _SockIsAddressConsistentWithConstrainedGroup@16
0001858B 000185F4 _SockGetRemoteAddress@4
000185F9 00018717 _SockTerminateAsyncThread@0
00018735 0001881B _AfdRegisterSwitch@12
0001885D 000188AC _AfdCementSocketToSan@12
000188B1 000188DA _AfdSetEvent@8
000188DF 00018908 _AfdResetEvent@8
0001890D 0001895A _AfdReadAvailable@12
0001895F 00018994 _AfdReadMore@12
00018999 000189E6 _AfdNothingToRead@12
000189EB 00018A3C _AfdReadAvailableOob@12
00018A41 00018A7A _AfdReadMoreOob@12
00018A7F 00018AD0 _AfdNothingToReadOob@12
00018AD5 00018B26 _AfdWriteWouldBlock@12
00018B2B 00018B7C _AfdCanWrite@12
00018B81 00018BB0 _AfdConnectFail@12
00018BB5 00018BFC _AfdRemoteDisconnected@12
00018C01 00018C48 _AfdRemoteAborted@12
00018C4D 00018C7A _AfdConnectIndication@28
00018C7F 00018CD2 _AfdCompleteAccept@20
00018CD7 00018D0F _AfdCompleteRequest@12
00018D14 00018D20 _AfdDeregisterSwitch@4
00018D25 00018D7A _AfdCompleteRedirectedRequest@36
00018D7F 00018DB6 _AfdReuseSocket@12
00018DBB 00018E04 _AfdAcquireContext@40
00018E09 00018E64 _AfdTransferContext@36
00018E69 00018E8F _AfdSetServiceProcess@4
00018E94 00018EBA _AfdProviderChange@4
00018EBF 00018F0A _AfdSwitchAddrListChange@12
00018F0F 00018F2E _UseRdma@4
00018F33 00018F51 _GetHeadOfAppRecvQ@4
00018F56 00018F99 _HandleSpecialRecvBufferAux@8
00018F9E 00018FCB _HandleSpecialRecvBuffer@8
00018FD0 00018FF4 _GetIoSize@8
00018FF9 00019067 _OKForRdmaRecv@28
0001906C 000190A6 _CheckTransmitFileSpecialCase@8
000190AB 00019108 _GetApplicationBuffer@4
